Date,rate_TSM_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,8950.0
2022-01-05,0.0,0.0,30.93
2022-01-06,0.0,0.0,87.5
2022-01-07,-0.21,0.0,-68.6
2022-01-10,-0.51,0.0,-14.96
2022-01-11,-0.67,0.0,252.38
2022-01-12,0.02,0.0,787.5
2022-01-13,1.4,0.0,575.52
2022-01-14,3.34,0.0,643.26
2022-01-18,4.37,0.0,236.3
2022-01-19,4.59,0.0,159.13
2022-01-20,4.13,0.0,111.08
2022-01-21,2.42,0.0,69.09
2022-01-24,0.71,0.0,82.96
2022-01-25,-0.69,0.0,48.03
2022-01-26,-1.67,0.0,55.76
2022-01-27,-3.26,0.0,-7.96
2022-01-28,-4.23,0.0,-33.47
2022-01-31,-4.69,-2.9,8.09
2022-02-01,-4.59,-3.04,0.0
2022-02-02,-4.41,-3.13,-1.52
2022-02-03,-3.93,-3.28,-26.75
2022-02-04,-3.45,-3.41,-17.5
2022-02-07,-3.48,-3.55,14.69
2022-02-08,-3.38,-3.64,27.94
2022-02-09,-3.16,-3.7,49.72
2022-02-10,-2.45,-3.85,55.81
2022-02-11,-2.46,-4.04,18.32
2022-02-14,-2.84,-4.25,5.79
2022-02-15,-2.7,-4.32,61.76
2022-02-16,-2.97,-4.34,42.96
2022-02-17,-3.71,-4.43,11.97
2022-02-18,-3.96,-4.47,14.46
2022-02-22,-4.4,-4.58,0.94
2022-02-23,-5.73,-4.71,9.71
2022-02-24,-7.53,-4.78,-45.8
2022-02-25,-8.84,-4.72,-102.58
2022-02-28,-10.73,-4.77,-148.51
2022-03-01,-12.0,-4.96,-91.78
2022-03-02,-12.88,-5.1,-125.63
2022-03-03,-13.27,-5.3,-119.07
2022-03-04,-14.12,-5.44,-137.83
2022-03-07,-15.2,-5.73,-118.54
2022-03-08,-16.41,-6.03,-98.8
2022-03-09,-17.09,-6.26,-108.06
2022-03-10,-17.81,-6.57,-107.29
2022-03-11,-18.35,-6.86,-103.58
2022-03-14,-18.35,-7.09,-107.22
2022-03-15,-18.02,-7.21,-129.67
2022-03-16,-17.89,-7.3,-159.29
2022-03-17,-17.48,-7.34,-206.67
2022-03-18,-16.64,-7.24,-285.68
2022-03-21,-15.44,-7.1,-281.43
2022-03-22,-14.66,-6.86,-433.21
2022-03-23,-14.71,-6.6,-300.51
2022-03-24,-14.48,-6.36,-380.21
2022-03-25,-14.48,-6.18,-518.3
2022-03-28,-14.58,-5.97,-778.7
2022-03-29,-14.22,-5.63,-2510.42
2022-03-30,-14.01,-5.41,-1233.03
2022-03-31,-14.59,-5.23,-542.02
2022-04-01,-15.11,-5.01,-665.62
2022-04-04,-15.26,-4.61,-975.86
2022-04-05,-16.24,-4.25,-564.5
2022-04-06,-17.02,-4.04,-416.53
2022-04-07,-17.51,-3.79,-511.61
2022-04-08,-18.07,-3.5,-498.5
2022-04-11,-19.21,-3.25,-330.97
2022-04-12,-20.0,-3.12,-305.11
2022-04-13,-19.95,-3.03,-329.31
2022-04-14,-20.29,-3.06,-284.73
2022-04-18,-20.37,-3.14,-280.0
2022-04-19,-20.07,-3.15,-410.05
2022-04-20,-19.82,-3.21,-409.87
2022-04-21,-20.43,-3.28,-297.38
2022-04-22,-20.86,-3.53,-190.08
2022-04-25,-21.26,-3.79,-203.39
2022-04-26,-22.33,-4.2,-152.66
2022-04-27,-23.74,-4.66,-179.14
2022-04-28,-24.13,-4.98,-208.11
2022-04-29,-24.57,-5.4,-130.93
2022-05-02,-24.83,-5.78,-136.74
2022-05-03,-24.55,-6.19,-146.88
2022-05-04,-23.49,-6.41,-213.02
2022-05-05,-23.84,-6.74,-146.1
2022-05-06,-23.91,-7.12,-137.49
2022-05-09,-24.94,-7.62,-114.37
2022-05-10,-25.7,-8.04,-108.55
2022-05-11,-27.0,-8.5,-94.51
2022-05-12,-27.71,-9.02,-94.47
2022-05-13,-27.81,-9.39,-103.86
2022-05-16,-27.31,-9.77,-102.39
2022-05-17,-26.58,-10.14,-112.13
2022-05-18,-26.15,-10.68,-78.04
2022-05-19,-25.75,-11.17,-73.22
2022-05-20,-25.77,-11.54,-70.43
2022-05-23,-25.6,-11.86,-85.75
2022-05-24,-26.34,-12.08,-93.56
2022-05-25,-26.36,-12.27,-93.45
2022-05-26,-26.23,-12.49,-116.61
2022-05-27,-25.75,-12.44,-141.25
2022-05-31,-25.14,-12.45,-117.74
2022-06-01,-24.03,-12.5,-107.2
2022-06-02,-22.95,-12.61,-130.35
2022-06-03,-22.38,-12.62,-118.57
2022-06-06,-22.36,-12.6,-128.95
2022-06-07,-22.47,-12.4,-143.51
2022-06-08,-22.68,-12.26,-123.63
2022-06-09,-23.57,-12.15,-103.95
2022-06-10,-24.4,-12.17,-81.51
2022-06-13,-25.63,-12.44,-63.69
2022-06-14,-26.72,-12.7,-54.59
2022-06-15,-27.43,-13.0,-55.65
2022-06-16,-28.46,-13.26,-53.81
2022-06-17,-29.07,-13.47,-53.47
2022-06-21,-28.84,-13.6,-61.04
2022-06-22,-29.21,-13.81,-68.79
2022-06-23,-30.03,-13.94,-80.93
2022-06-24,-29.8,-13.99,-102.06
2022-06-27,-29.66,-14.14,-98.18
2022-06-28,-30.09,-14.48,-84.31
2022-06-29,-30.29,-14.81,-84.46
2022-06-30,-30.68,-15.16,-86.56
2022-07-01,-31.94,-15.52,-118.98
2022-07-05,-33.32,-15.8,-125.22
2022-07-06,-34.55,-16.08,-132.18
2022-07-07,-34.83,-16.34,-122.53
2022-07-08,-34.66,-16.56,-116.94
2022-07-11,-34.3,-16.72,-116.62
2022-07-12,-33.81,-16.79,-106.59
2022-07-13,-32.86,-16.72,-91.23
2022-07-14,-32.36,-16.66,-77.1
2022-07-15,-31.68,-16.57,-84.15
2022-07-18,-30.94,-16.39,-86.93
2022-07-19,-29.77,-16.1,-101.29
2022-07-20,-28.89,-15.89,-106.72
2022-07-21,-28.21,-15.62,-112.59
2022-07-22,-28.1,-15.43,-109.46
2022-07-25,-27.65,-15.37,-110.8
2022-07-26,-27.93,-15.34,-106.81
2022-07-27,-27.75,-15.11,-122.12
2022-07-28,-27.62,-14.82,-136.58
2022-07-29,-27.26,-14.42,-168.62
2022-08-01,-27.11,-14.1,-179.53
2022-08-02,-26.68,-13.8,-169.26
2022-08-03,-26.73,-13.46,-196.6
2022-08-04,-26.7,-13.19,-181.7
2022-08-05,-26.49,-12.92,-168.74
2022-08-08,-26.28,-12.6,-179.19
2022-08-09,-26.36,-12.26,-188.15
2022-08-10,-26.1,-11.84,-209.0
2022-08-11,-25.98,-11.41,-203.12
2022-08-12,-25.87,-11.0,-237.19
2022-08-15,-25.45,-10.54,-244.84
2022-08-16,-24.9,-10.19,-263.46
2022-08-17,-24.83,-9.88,-247.81
2022-08-18,-24.85,-9.61,-256.54
2022-08-19,-25.26,-9.34,-233.04
2022-08-22,-25.96,-9.14,-198.7
2022-08-23,-26.4,-8.9,-189.45
2022-08-24,-26.81,-8.76,-198.04
2022-08-25,-26.99,-8.62,-215.61
2022-08-26,-27.27,-8.66,-168.08
2022-08-29,-27.54,-8.71,-168.21
2022-08-30,-27.9,-8.77,-153.77
2022-08-31,-28.15,-8.91,-141.45
2022-09-01,-28.67,-9.02,-153.25
2022-09-02,-28.95,-9.16,-144.41
2022-09-06,-29.11,-9.3,-144.54
2022-09-07,-29.28,-9.36,-173.58
2022-09-08,-29.46,-9.46,-185.07
2022-09-09,-29.4,-9.5,-212.92
2022-09-12,-29.16,-9.55,-241.07
2022-09-13,-29.38,-9.8,-156.95
2022-09-14,-29.45,-10.04,-157.69
2022-09-15,-29.84,-10.31,-149.8
2022-09-16,-30.45,-10.62,-138.18
2022-09-19,-31.11,-10.85,-147.75
2022-09-20,-31.22,-11.07,-130.79
2022-09-21,-31.64,-11.36,-114.06
2022-09-22,-32.05,-11.69,-112.74
2022-09-23,-32.73,-12.13,-104.61
2022-09-26,-33.63,-12.5,-99.78
2022-09-27,-34.5,-12.87,-97.3
2022-09-28,-35.36,-13.15,-116.08
2022-09-29,-36.45,-13.48,-109.61
2022-09-30,-37.37,-13.91,-99.85
2022-10-03,-37.82,-14.17,-119.86
2022-10-04,-37.66,-14.31,-135.06
2022-10-05,-37.06,-14.52,-123.22
2022-10-06,-35.99,-14.79,-111.7
2022-10-07,-35.59,-15.24,-107.04
2022-10-10,-35.9,-15.77,-111.19
2022-10-11,-37.53,-16.14,-123.58
2022-10-12,-39.33,-16.53,-117.86
2022-10-13,-40.67,-16.77,-130.89
2022-10-14,-41.69,-17.07,-121.4
2022-10-17,-42.14,-17.3,-142.22
2022-10-18,-42.09,-17.44,-162.73
2022-10-19,-42.17,-17.53,-154.11
2022-10-20,-42.71,-17.62,-144.96
2022-10-21,-42.74,-17.54,-174.41
2022-10-24,-43.38,-17.38,-208.07
2022-10-25,-43.83,-17.14,-240.62
2022-10-26,-44.33,-16.99,-227.12
2022-10-27,-44.8,-16.77,-216.17
2022-10-28,-45.11,-16.4,-258.31
2022-10-31,-45.06,-16.18,-245.45
2022-11-01,-44.77,-16.09,-236.31
2022-11-02,-44.6,-16.09,-195.43
2022-11-03,-44.5,-16.1,-180.84
2022-11-04,-44.2,-15.93,-190.07
2022-11-07,-43.77,-15.69,-204.28
2022-11-08,-43.16,-15.4,-199.78
2022-11-09,-42.37,-15.19,-166.36
