Date,rate_LUCD_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-8950.0
2022-01-05,0.0,0.0,-578.35
2022-01-06,0.0,0.0,-524.04
2022-01-07,-4.35,0.0,-467.77
2022-01-10,-5.99,0.0,-545.67
2022-01-11,-6.78,0.0,-815.87
2022-01-12,-6.38,0.0,-1037.5
2022-01-13,-7.08,0.0,-601.4
2022-01-14,-7.69,0.0,-600.71
2022-01-18,-8.69,0.0,-390.37
2022-01-19,-10.8,0.0,-372.17
2022-01-20,-13.11,0.0,-280.42
2022-01-21,-14.33,0.0,-186.5
2022-01-24,-15.89,0.0,-230.71
2022-01-25,-17.22,0.0,-214.22
2022-01-26,-19.31,0.0,-311.06
2022-01-27,-23.0,0.0,-400.14
2022-01-28,-25.94,0.0,-521.98
2022-01-31,-27.95,-2.9,-700.29
2022-02-01,-28.58,-3.04,-726.16
2022-02-02,-28.0,-3.13,-1110.15
2022-02-03,-26.61,-3.28,-590.5
2022-02-04,-25.57,-3.41,-611.94
2022-02-07,-24.64,-3.55,-494.07
2022-02-08,-24.38,-3.64,-591.11
2022-02-09,-23.12,-3.7,-868.51
2022-02-10,-20.8,-3.85,-366.28
2022-02-11,-18.84,-4.04,-202.1
2022-02-14,-17.82,-4.25,-224.59
2022-02-15,-15.97,-4.32,-206.13
2022-02-16,-14.74,-4.34,-186.43
2022-02-17,-13.81,-4.43,-92.24
2022-02-18,-13.93,-4.47,-152.62
2022-02-22,-14.2,-4.58,-157.62
2022-02-23,-16.6,-4.71,-170.53
2022-02-24,-18.35,-4.78,-160.54
2022-02-25,-20.05,-4.72,-242.86
2022-02-28,-19.97,-4.77,-164.74
2022-03-01,-19.17,-4.96,-112.95
2022-03-02,-16.98,-5.1,-143.19
2022-03-03,-16.27,-5.3,-174.96
2022-03-04,-15.86,-5.44,-165.13
2022-03-07,-16.15,-5.73,-86.92
2022-03-08,-16.62,-6.03,-76.95
2022-03-09,-17.4,-6.26,-126.79
2022-03-10,-17.57,-6.57,-115.57
2022-03-11,-19.07,-6.86,-175.46
2022-03-14,-21.47,-7.09,-199.29
2022-03-15,-24.03,-7.21,-284.6
2022-03-16,-26.01,-7.3,-361.66
2022-03-17,-26.91,-7.34,-357.29
2022-03-18,-27.21,-7.24,-613.0
2022-03-21,-28.07,-7.1,-794.16
2022-03-22,-28.2,-6.86,-1060.82
2022-03-23,-28.95,-6.6,-697.69
2022-03-24,-29.97,-6.36,-855.83
2022-03-25,-30.91,-6.18,-1242.98
2022-03-28,-30.3,-5.97,-1714.2
2022-03-29,-29.3,-5.63,-5343.75
2022-03-30,-28.13,-5.41,-2214.68
2022-03-31,-27.44,-5.23,-819.84
2022-04-01,-25.37,-5.01,-845.98
2022-04-04,-23.48,-4.61,-1361.38
2022-04-05,-23.25,-4.25,-854.2
2022-04-06,-23.79,-4.04,-682.07
2022-04-07,-25.32,-3.79,-909.35
2022-04-08,-27.74,-3.5,-900.3
2022-04-11,-30.61,-3.25,-619.64
2022-04-12,-33.91,-3.12,-685.23
2022-04-13,-36.93,-3.03,-917.73
2022-04-14,-39.33,-3.06,-705.96
2022-04-18,-42.28,-3.14,-798.13
2022-04-19,-44.64,-3.15,-1120.62
2022-04-20,-46.23,-3.21,-1151.39
2022-04-21,-47.92,-3.28,-864.23
2022-04-22,-49.38,-3.53,-543.38
2022-04-25,-49.43,-3.79,-555.09
2022-04-26,-49.66,-4.2,-387.54
2022-04-27,-49.61,-4.66,-405.65
2022-04-28,-49.57,-4.98,-581.78
2022-04-29,-49.71,-5.4,-373.41
2022-05-02,-49.39,-5.78,-367.27
2022-05-03,-49.2,-6.19,-394.8
2022-05-04,-48.56,-6.41,-557.94
2022-05-05,-48.06,-6.74,-381.24
2022-05-06,-47.88,-7.12,-371.98
2022-05-09,-49.26,-7.62,-298.96
2022-05-10,-50.17,-8.04,-294.7
2022-05-11,-52.11,-8.5,-281.96
2022-05-12,-52.99,-9.02,-262.84
2022-05-13,-53.12,-9.39,-302.29
2022-05-16,-52.55,-9.77,-290.84
2022-05-17,-51.61,-10.14,-320.46
2022-05-18,-50.11,-10.68,-227.53
2022-05-19,-48.93,-11.17,-209.36
2022-05-20,-48.13,-11.54,-208.2
2022-05-23,-47.33,-11.86,-241.81
2022-05-24,-47.61,-12.08,-242.13
2022-05-25,-47.76,-12.27,-259.75
2022-05-26,-48.47,-12.49,-326.09
2022-05-27,-48.84,-12.44,-400.41
2022-05-31,-49.51,-12.45,-388.11
2022-06-01,-49.65,-12.5,-364.08
2022-06-02,-49.46,-12.61,-429.25
2022-06-03,-49.52,-12.62,-386.48
2022-06-06,-50.3,-12.6,-414.42
2022-06-07,-50.6,-12.4,-448.51
2022-06-08,-50.6,-12.26,-378.4
2022-06-09,-51.03,-12.15,-303.38
2022-06-10,-51.02,-12.17,-242.06
2022-06-13,-51.12,-12.44,-193.93
2022-06-14,-51.85,-12.7,-201.42
2022-06-15,-53.12,-13.0,-225.67
2022-06-16,-54.63,-13.26,-190.77
2022-06-17,-55.9,-13.47,-192.66
2022-06-21,-56.39,-13.6,-214.57
2022-06-22,-56.59,-13.81,-214.26
2022-06-23,-56.15,-13.94,-215.43
2022-06-24,-53.85,-13.99,-217.83
2022-06-27,-51.31,-14.14,-201.35
2022-06-28,-49.31,-14.48,-174.8
2022-06-29,-47.36,-14.81,-174.41
2022-06-30,-45.55,-15.16,-154.67
2022-07-01,-44.68,-15.52,-157.0
2022-07-05,-43.63,-15.8,-144.55
2022-07-06,-41.9,-16.08,-133.63
2022-07-07,-39.58,-16.34,-137.68
2022-07-08,-37.15,-16.56,-121.7
2022-07-11,-35.84,-16.72,-125.77
2022-07-12,-35.21,-16.79,-121.4
2022-07-13,-34.57,-16.72,-101.67
2022-07-14,-34.42,-16.66,-100.53
2022-07-15,-34.82,-16.57,-123.61
2022-07-18,-34.57,-16.39,-111.09
2022-07-19,-34.16,-16.1,-146.09
2022-07-20,-33.96,-15.89,-144.85
2022-07-21,-33.71,-15.62,-161.43
2022-07-22,-33.14,-15.43,-138.36
2022-07-25,-32.47,-15.37,-131.8
2022-07-26,-31.75,-15.34,-115.37
2022-07-27,-30.73,-15.11,-129.66
2022-07-28,-29.71,-14.82,-152.23
2022-07-29,-28.95,-14.42,-187.55
2022-08-01,-28.17,-14.1,-175.31
2022-08-02,-27.28,-13.8,-158.42
2022-08-03,-26.91,-13.46,-183.66
2022-08-04,-25.92,-13.19,-148.47
2022-08-05,-24.21,-12.92,-108.27
2022-08-08,-22.41,-12.6,-89.65
2022-08-09,-21.18,-12.26,-108.63
2022-08-10,-19.99,-11.84,-139.02
2022-08-11,-19.31,-11.41,-133.01
2022-08-12,-19.18,-11.0,-158.4
2022-08-15,-19.51,-10.54,-178.08
2022-08-16,-19.61,-10.19,-198.98
2022-08-17,-20.51,-9.88,-234.38
2022-08-18,-22.02,-9.61,-279.61
2022-08-19,-24.57,-9.34,-295.85
2022-08-22,-27.73,-9.14,-281.17
2022-08-23,-30.85,-8.9,-284.97
2022-08-24,-33.19,-8.76,-292.5
2022-08-25,-34.98,-8.62,-331.33
2022-08-26,-36.11,-8.66,-257.4
2022-08-29,-36.46,-8.71,-242.82
2022-08-30,-36.71,-8.77,-227.15
2022-08-31,-37.25,-8.91,-227.04
2022-09-01,-38.06,-9.02,-250.53
2022-09-02,-38.73,-9.16,-238.06
2022-09-06,-39.07,-9.3,-218.16
2022-09-07,-38.92,-9.36,-235.87
2022-09-08,-38.85,-9.46,-270.33
2022-09-09,-37.86,-9.5,-283.9
2022-09-12,-36.41,-9.55,-303.77
2022-09-13,-35.97,-9.8,-203.91
2022-09-14,-36.76,-10.04,-247.01
2022-09-15,-37.3,-10.31,-225.73
2022-09-16,-39.61,-10.62,-250.9
2022-09-19,-42.78,-10.85,-287.75
2022-09-20,-45.46,-11.07,-266.57
2022-09-21,-47.43,-11.36,-234.62
2022-09-22,-49.46,-11.69,-225.1
2022-09-23,-50.4,-12.13,-199.3
2022-09-26,-51.36,-12.5,-200.39
2022-09-27,-51.92,-12.87,-190.46
2022-09-28,-52.08,-13.15,-202.96
2022-09-29,-52.52,-13.48,-187.54
2022-09-30,-53.37,-13.91,-179.94
2022-10-03,-52.71,-14.17,-191.74
2022-10-04,-51.88,-14.31,-225.86
2022-10-05,-51.44,-14.52,-226.61
2022-10-06,-50.55,-14.79,-208.74
2022-10-07,-49.26,-15.24,-170.02
2022-10-10,-48.98,-15.77,-161.53
2022-10-11,-48.91,-16.14,-149.79
2022-10-12,-48.8,-16.53,-148.26
2022-10-13,-48.74,-16.77,-179.18
2022-10-14,-48.74,-17.07,-154.35
2022-10-17,-48.21,-17.3,-168.71
2022-10-18,-47.57,-17.44,-175.28
2022-10-19,-47.16,-17.53,-174.75
2022-10-20,-46.57,-17.62,-161.01
2022-10-21,-45.92,-17.54,-193.41
2022-10-24,-46.04,-17.38,-221.6
2022-10-25,-45.98,-17.14,-236.62
2022-10-26,-45.56,-16.99,-219.28
2022-10-27,-45.65,-16.77,-222.65
2022-10-28,-45.36,-16.4,-257.9
2022-10-31,-44.53,-16.18,-230.51
2022-11-01,-44.19,-16.09,-230.85
2022-11-02,-44.04,-16.09,-188.48
2022-11-03,-43.61,-16.1,-176.58
2022-11-04,-43.45,-15.93,-194.53
2022-11-07,-43.65,-15.69,-212.76
