Date,rate_VHT_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-3900.0
2022-01-05,0.0,0.0,-44.33
2022-01-06,0.0,0.0,-93.27
2022-01-07,-1.3,0.0,-90.91
2022-01-10,-1.66,0.0,-41.73
2022-01-11,-1.74,0.0,-90.48
2022-01-12,-1.79,0.0,-302.5
2022-01-13,-1.96,0.0,-101.4
2022-01-14,-2.08,0.0,-107.8
2022-01-18,-2.58,0.0,-58.52
2022-01-19,-3.26,0.0,-32.75
2022-01-20,-3.93,0.0,-17.92
2022-01-21,-4.5,0.0,-1.78
2022-01-24,-5.08,0.0,-8.8
2022-01-25,-5.54,0.0,-3.79
2022-01-26,-6.02,0.0,-7.53
2022-01-27,-6.47,0.0,-4.78
2022-01-28,-6.41,0.0,-9.27
2022-01-31,-6.12,-2.9,-26.88
2022-02-01,-5.6,-3.04,-40.86
2022-02-02,-4.82,-3.13,-58.88
2022-02-03,-4.12,-3.28,7.25
2022-02-04,-3.81,-3.41,-7.5
2022-02-07,-3.71,-3.55,-1.29
2022-02-08,-3.56,-3.64,-0.95
2022-02-09,-3.35,-3.7,-14.36
2022-02-10,-3.31,-3.85,-2.33
2022-02-11,-3.51,-4.04,7.44
2022-02-14,-3.88,-4.25,-4.16
2022-02-15,-4.14,-4.32,-10.29
2022-02-16,-4.64,-4.34,-14.32
2022-02-17,-5.19,-4.43,-5.9
2022-02-18,-5.62,-4.47,-7.69
2022-02-22,-5.94,-4.58,1.74
2022-02-23,-6.65,-4.71,11.15
2022-02-24,-7.17,-4.78,7.12
2022-02-25,-6.83,-4.72,21.34
2022-02-28,-6.46,-4.77,14.74
2022-03-01,-6.09,-4.96,23.68
2022-03-02,-5.3,-5.1,26.34
2022-03-03,-4.66,-5.3,33.67
2022-03-04,-4.52,-5.44,43.03
2022-03-07,-4.56,-5.73,42.34
2022-03-08,-4.9,-6.03,28.36
2022-03-09,-5.13,-6.26,31.47
2022-03-10,-5.4,-6.57,33.87
2022-03-11,-5.91,-6.86,30.4
2022-03-14,-6.08,-7.09,36.79
2022-03-15,-5.54,-7.21,44.07
2022-03-16,-5.06,-7.3,50.84
2022-03-17,-4.22,-7.34,76.46
2022-03-18,-3.02,-7.24,89.66
2022-03-21,-1.9,-7.1,83.02
2022-03-22,-1.1,-6.86,83.58
2022-03-23,-1.0,-6.6,38.46
2022-03-24,-1.05,-6.36,51.24
2022-03-25,-1.2,-6.18,50.64
2022-03-28,-1.16,-5.97,76.33
2022-03-29,-1.0,-5.63,166.67
2022-03-30,-0.45,-5.41,133.03
2022-03-31,-0.29,-5.23,77.82
2022-04-01,0.04,-5.01,121.88
2022-04-04,0.11,-4.61,97.24
2022-04-05,0.03,-4.25,95.8
2022-04-06,0.17,-4.04,129.69
2022-04-07,0.8,-3.79,184.52
2022-04-08,1.3,-3.5,188.89
2022-04-11,1.51,-3.25,120.45
2022-04-12,1.57,-3.12,103.98
2022-04-13,1.54,-3.03,121.28
2022-04-14,1.08,-3.06,106.15
2022-04-18,0.3,-3.14,81.87
2022-04-19,0.1,-3.15,101.03
2022-04-20,0.3,-3.21,130.38
2022-04-21,0.1,-3.28,97.94
2022-04-22,-0.67,-3.53,55.09
2022-04-25,-1.05,-3.79,61.19
2022-04-26,-2.04,-4.2,50.75
2022-04-27,-3.3,-4.66,47.79
2022-04-28,-4.08,-4.98,46.14
2022-04-29,-4.64,-5.4,41.64
2022-05-02,-5.35,-5.78,35.84
2022-05-03,-5.61,-6.19,35.76
2022-05-04,-5.44,-6.41,39.48
2022-05-05,-5.89,-6.74,37.61
2022-05-06,-6.02,-7.12,34.86
2022-05-09,-6.68,-7.62,27.77
2022-05-10,-7.26,-8.04,31.09
2022-05-11,-8.43,-8.5,30.93
2022-05-12,-8.99,-9.02,37.7
2022-05-13,-9.15,-9.39,38.8
2022-05-16,-8.65,-9.77,44.65
2022-05-17,-7.96,-10.14,49.69
2022-05-18,-7.6,-10.68,44.05
2022-05-19,-7.36,-11.17,48.0
2022-05-20,-7.18,-11.54,55.15
2022-05-23,-6.96,-11.86,55.34
2022-05-24,-7.05,-12.08,57.17
2022-05-25,-6.61,-12.27,55.63
2022-05-26,-6.12,-12.49,53.78
2022-05-27,-5.51,-12.44,61.11
2022-05-31,-5.32,-12.45,49.71
2022-06-01,-5.39,-12.5,39.66
2022-06-02,-5.26,-12.61,40.51
2022-06-03,-5.43,-12.62,39.52
2022-06-06,-5.96,-12.6,36.94
2022-06-07,-5.97,-12.4,45.0
2022-06-08,-5.84,-12.26,43.78
2022-06-09,-6.37,-12.15,35.35
2022-06-10,-7.02,-12.17,35.77
2022-06-13,-8.21,-12.44,31.29
2022-06-14,-9.82,-12.7,28.06
2022-06-15,-11.1,-13.0,28.81
2022-06-16,-12.22,-13.26,31.22
2022-06-17,-12.97,-13.47,31.86
2022-06-21,-12.72,-13.6,36.98
2022-06-22,-12.05,-13.81,44.8
2022-06-23,-11.19,-13.94,53.46
2022-06-24,-9.74,-13.99,56.09
2022-06-27,-8.29,-14.14,58.96
2022-06-28,-7.61,-14.48,53.34
2022-06-29,-7.04,-14.81,58.33
2022-06-30,-6.94,-15.16,57.69
2022-07-01,-6.88,-15.52,62.59
2022-07-05,-6.91,-15.8,61.4
2022-07-06,-6.51,-16.08,63.79
2022-07-07,-6.11,-16.34,65.6
2022-07-08,-5.57,-16.56,67.76
2022-07-11,-5.41,-16.72,66.11
2022-07-12,-5.45,-16.79,60.79
2022-07-13,-5.73,-16.72,57.42
2022-07-14,-6.22,-16.66,55.92
2022-07-15,-6.35,-16.57,65.07
2022-07-18,-6.76,-16.39,54.46
2022-07-19,-6.61,-16.1,59.3
2022-07-20,-6.44,-15.89,53.21
2022-07-21,-5.91,-15.62,61.12
2022-07-22,-5.92,-15.43,59.08
2022-07-25,-5.46,-15.37,62.08
2022-07-26,-5.25,-15.34,67.65
2022-07-27,-4.75,-15.11,68.43
2022-07-28,-4.44,-14.82,69.97
2022-07-29,-4.08,-14.42,62.45
2022-08-01,-3.93,-14.1,55.76
2022-08-02,-3.88,-13.8,57.04
2022-08-03,-3.85,-13.46,59.98
2022-08-04,-3.95,-13.19,58.5
2022-08-05,-3.97,-12.92,60.04
2022-08-08,-3.79,-12.6,63.61
2022-08-09,-3.68,-12.26,60.4
2022-08-10,-3.54,-11.84,64.59
2022-08-11,-3.46,-11.41,59.06
2022-08-12,-3.23,-11.0,64.6
2022-08-15,-2.99,-10.54,68.48
2022-08-16,-2.73,-10.19,63.32
2022-08-17,-2.74,-9.88,58.63
2022-08-18,-2.72,-9.61,53.59
2022-08-19,-2.87,-9.34,58.67
2022-08-22,-3.25,-9.14,55.19
