Date,rate_PDD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,12.56
2019-03-01,12.68,6.13,6.55,13.74
2019-04-29,-16.0,10.74,-26.74,7.73
2019-06-25,-21.43,9.75,-31.18,6.92
2019-08-21,6.64,9.45,-2.81,12.05
2019-10-17,16.76,11.38,5.38,13.53
2019-12-13,23.03,17.31,5.72,13.59
2020-02-12,22.93,23.26,-0.33,12.5
2020-04-09,35.98,5.35,30.63,18.1
2020-06-08,121.99,21.76,100.23,30.68
2020-08-04,200.56,23.27,177.29,44.61
2020-09-30,144.27,22.35,121.92,34.6
2020-11-25,336.77,30.73,306.04,67.89
2021-01-26,445.82,37.01,408.81,86.47
2021-03-24,276.62,38.04,238.58,55.69
2021-05-20,287.02,45.0,242.02,56.32
2021-07-19,201.9,46.79,155.11,40.6
2021-09-14,175.7,49.47,126.23,35.38
2021-11-09,121.64,55.69,65.95,24.48
2022-01-06,37.5,54.19,-16.69,9.54
2022-03-07,1.04,37.12,-36.08,6.04
2022-05-03,14.47,34.96,-20.49,8.86
2022-06-30,60.55,22.0,38.55,19.53
2022-08-26,40.33,30.79,9.54,14.28
2022-10-24,1.23,22.72,-21.49,8.67
2022-12-20,93.2,22.59,70.61,25.33
2023-02-17,106.17,30.41,75.76,26.26
2023-04-18,53.4,31.87,21.53,16.45
2023-06-14,70.4,38.27,32.13,18.37
2023-08-11,80.14,40.92,39.22,19.65
2023-10-09,117.54,35.51,82.03,27.39
2023-12-05,185.39,42.24,143.15,38.44
2024-02-02,144.51,52.79,91.72,29.14
2024-04-02,129.21,59.09,70.12,25.24
2024-05-29,191.28,60.75,130.53,36.16
2024-07-26,148.64,64.89,83.75,27.7
