Date,rate_OXY,rate_OXY_5D,rate_OXY_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,3.73,,,-0.02,,
2022-01-05,1.2,,,-0.97,,
2022-01-06,2.73,,,-1.04,,
2022-01-07,3.45,2.222,,-1.21,-0.648,
2022-01-10,2.12,2.646,,-1.27,-0.9019999999999999,
2022-01-11,7.64,3.428,,-0.63,-1.024,
2022-01-12,7.76,4.74,,-0.4,-0.9099999999999999,
2022-01-13,6.33,5.46,,-1.43,-0.9879999999999999,
2022-01-14,9.56,6.6819999999999995,,-1.41,-1.028,
2022-01-18,10.8,8.418000000000001,,-2.7,-1.314,
2022-01-19,10.32,8.953999999999999,,-3.45,-1.8780000000000001,
2022-01-20,8.23,9.048,,-4.24,-2.646,
2022-01-21,5.38,8.858,,-5.63,-3.4859999999999998,
2022-01-24,6.0,8.146,,-5.34,-4.272,
2022-01-25,13.58,8.702000000000002,,-6.33,-4.998,
2022-01-26,14.37,9.512,,-6.51,-5.609999999999999,
2022-01-27,14.92,10.85,,-6.91,-6.144,
2022-01-28,15.77,12.928,,-4.96,-6.01,
2022-01-31,16.05,14.937999999999999,7.997,-3.46,-5.634,-2.8954999999999997
2022-02-01,19.86,16.194,8.99,-2.79,-4.926,-3.035
2022-02-02,20.74,17.468,9.8405,-1.97,-4.018,-3.1325
2022-02-03,21.75,18.833999999999996,10.867999999999999,-4.0,-3.436,-3.284
2022-02-04,23.88,20.456,11.9255,-3.6,-3.164,-3.4120000000000004
2022-02-07,24.41,22.128,12.973499999999998,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,20.02,22.16,13.868500000000001,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,22.55,22.522000000000002,14.613999999999999,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,23.56,22.884,15.404,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,29.68,24.044,16.5715,-5.24,-3.504,-4.0409999999999995
2022-02-14,25.02,24.166,17.3445,-5.53,-3.8340000000000005,-4.247
2022-02-15,21.1,24.381999999999998,17.8595,-4.08,-4.0200000000000005,-4.316
2022-02-16,20.53,23.977999999999998,18.37,-3.98,-4.454,-4.3425
2022-02-17,21.12,23.490000000000002,19.0145,-5.93,-4.952,-4.427
2022-02-18,20.27,21.607999999999997,19.759,-6.5,-5.204,-4.4704999999999995
2022-02-22,16.75,19.954,20.2965,-7.48,-5.593999999999999,-4.5775
2022-02-23,17.8,19.294000000000004,20.5075,-9.06,-6.590000000000001,-4.714
2022-02-24,18.45,18.877999999999997,20.7115,-7.73,-7.340000000000001,-4.775
2022-02-25,17.94,18.242,20.8625,-5.81,-7.316,-4.720000000000001
2022-02-28,32.13,20.613999999999997,21.680500000000002,-6.04,-7.224000000000001,-4.774
2022-03-01,37.06,24.676,22.731,-7.18,-7.164,-4.96
2022-03-02,40.11,29.137999999999998,23.7435,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,38.92,33.232000000000006,24.652499999999996,-6.03,-6.128,-5.3025
2022-03-04,55.13,40.67,26.321499999999997,-6.74,-6.314,-5.439500000000001
2022-03-07,53.64,44.972,27.809499999999996,-9.33,-6.9719999999999995,-5.726
2022-03-08,51.81,47.922000000000004,29.1795,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,58.63,51.626,31.110000000000003,-7.69,-7.954000000000001,-6.258
2022-03-10,60.11,55.864,32.988,-8.09,-8.366,-6.572
