Date,rate_RTX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,79.61
2019-01-31,5.62,2.79,2.83,84.23
2019-03-01,9.37,5.82,3.55,85.4
2019-03-29,11.9,6.59,5.31,88.27
2019-04-29,22.56,10.42,12.14,99.41
2019-05-28,11.64,5.19,6.45,90.13
2019-06-25,10.61,9.51,1.1,81.41
2019-07-24,14.73,12.59,2.14,83.1
2019-08-21,8.33,8.26,0.07,79.73
2019-09-19,15.72,11.09,4.63,87.16
2019-10-17,15.92,10.2,5.72,88.94
2019-11-14,23.62,13.63,9.99,95.91
2019-12-13,23.89,16.06,7.83,92.38
2020-01-14,24.99,19.31,5.68,88.88
2020-02-12,27.36,22.17,5.19,88.08
2020-03-12,-15.52,-7.39,-8.13,66.35
2020-04-09,-14.63,4.54,-19.17,48.34
2020-05-08,-22.07,9.68,-31.75,27.83
2020-06-08,-1.38,20.77,-22.15,43.48
2020-07-07,-18.42,16.81,-35.23,22.15
2020-08-04,-22.61,22.24,-44.85,6.46
2020-09-01,-18.76,26.62,-45.38,5.59
2020-09-30,-22.91,22.37,-45.28,5.76
2020-10-28,-29.57,18.79,-48.36,0.73
2020-11-25,-1.62,31.0,-32.62,26.41
2020-12-24,-6.16,32.65,-38.81,16.31
2021-01-26,-10.09,37.29,-47.38,2.33
2021-02-24,3.99,39.48,-35.49,21.73
2021-03-24,1.15,38.31,-37.16,19.0
2021-04-22,5.33,44.93,-39.6,15.02
2021-05-20,13.75,45.12,-31.37,28.45
2021-06-18,14.36,44.74,-30.38,30.06
2021-07-19,7.68,46.9,-39.22,15.64
2021-08-16,15.33,52.69,-37.36,18.68
2021-09-14,11.08,50.65,-39.57,15.07
2021-10-12,19.77,46.96,-27.19,35.26
2021-11-09,21.15,57.28,-36.13,20.68
2021-12-08,15.0,57.14,-42.14,10.88
2022-01-06,19.48,55.71,-36.23,20.52
2022-02-04,23.05,48.73,-25.68,37.73
2022-03-07,29.42,38.56,-9.14,64.7
2022-04-04,30.43,50.04,-19.61,47.63
2022-05-03,24.97,36.37,-11.4,61.02
2022-06-01,23.89,33.73,-9.84,63.56
2022-06-30,25.57,23.28,2.29,83.35
2022-07-29,21.49,34.14,-12.65,58.98
2022-08-26,21.42,32.25,-10.83,61.95
2022-09-26,7.82,20.34,-12.52,59.19
2022-10-24,19.06,24.25,-5.19,71.15
2022-11-21,27.27,29.08,-1.81,76.66
2022-12-20,29.48,24.09,5.39,88.4
2023-01-20,24.06,28.72,-4.66,72.01
2023-02-17,33.05,31.99,1.06,81.34
2023-03-20,27.49,27.76,-0.27,79.17
2023-04-18,36.4,33.44,2.96,84.44
2023-05-16,24.11,31.79,-7.68,67.09
2023-06-14,25.63,39.9,-14.27,56.34
2023-07-14,24.43,43.27,-18.84,48.88
2023-08-11,11.81,42.01,-30.2,30.35
2023-09-11,0.2,42.23,-42.03,11.06
2023-10-09,-4.73,36.77,-41.5,11.92
2023-11-06,7.44,37.4,-29.96,30.75
2023-12-05,7.83,43.51,-35.68,21.42
2024-01-04,11.31,46.32,-35.01,22.51
2024-02-02,19.63,54.14,-34.51,23.32
2024-03-04,16.77,59.08,-42.31,10.6
2024-04-02,26.92,60.46,-33.54,24.91
2024-04-30,30.67,55.27,-24.6,39.49
2024-05-29,34.23,62.08,-27.85,34.19
2024-06-27,28.81,68.1,-39.29,15.53
2024-07-26,45.51,66.24,-20.73,45.8
