Date,rate_MU_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,1650.0
2022-01-05,0.0,0.0,27.84
2022-01-06,0.0,0.0,95.19
2022-01-07,-0.22,0.0,43.8
2022-01-10,-0.42,0.0,23.62
2022-01-11,-0.62,0.0,-14.29
2022-01-12,-0.49,0.0,97.5
2022-01-13,-0.4,0.0,127.27
2022-01-14,0.09,0.0,224.11
2022-01-18,-0.07,0.0,34.44
2022-01-19,-0.73,0.0,-16.52
2022-01-20,-2.31,0.0,-85.85
2022-01-21,-4.45,0.0,-83.84
2022-01-24,-6.71,0.0,-78.84
2022-01-25,-8.69,0.0,-83.73
2022-01-26,-9.97,0.0,-60.68
2022-01-27,-11.1,0.0,-95.37
2022-01-28,-11.63,0.0,-161.9
2022-01-31,-11.75,-2.9,-194.22
2022-02-01,-11.56,-3.04,-282.44
2022-02-02,-11.0,-3.13,-289.34
2022-02-03,-10.33,-3.28,-154.0
2022-02-04,-9.92,-3.41,-203.89
2022-02-07,-10.13,-3.55,-189.43
2022-02-08,-9.57,-3.64,-149.84
2022-02-09,-8.78,-3.7,-105.52
2022-02-10,-6.9,-3.85,79.07
2022-02-11,-5.11,-4.04,61.26
2022-02-14,-3.25,-4.25,65.28
2022-02-15,-0.76,-4.32,212.5
2022-02-16,0.91,-4.34,216.83
2022-02-17,1.49,-4.43,136.76
2022-02-18,1.72,-4.47,85.85
2022-02-22,1.87,-4.58,84.36
2022-02-23,0.02,-4.71,48.9
2022-02-24,-1.51,-4.78,61.06
2022-02-25,-2.28,-4.72,71.26
2022-02-28,-2.69,-4.77,50.66
2022-03-01,-3.58,-4.96,22.01
2022-03-02,-2.31,-5.1,131.0
2022-03-03,-2.22,-5.3,57.55
2022-03-04,-3.91,-5.44,-50.15
2022-03-07,-6.63,-5.73,-77.71
2022-03-08,-8.51,-6.03,-50.5
2022-03-09,-11.37,-6.26,-63.72
2022-03-10,-14.17,-6.57,-104.7
2022-03-11,-16.08,-6.86,-113.36
2022-03-14,-17.42,-7.09,-136.79
2022-03-15,-18.28,-7.21,-143.43
2022-03-16,-18.19,-7.3,-105.74
2022-03-17,-17.13,-7.34,-134.58
2022-03-18,-15.7,-7.24,-230.5
2022-03-21,-13.76,-7.1,-261.01
2022-03-22,-12.46,-6.86,-376.49
2022-03-23,-13.33,-6.6,-324.36
2022-03-24,-13.83,-6.36,-386.22
2022-03-25,-14.11,-6.18,-490.64
2022-03-28,-13.78,-5.97,-607.69
2022-03-29,-13.14,-5.63,-1891.67
2022-03-30,-12.38,-5.41,-1067.89
2022-03-31,-12.45,-5.23,-449.42
2022-04-01,-12.78,-5.01,-592.86
2022-04-04,-13.17,-4.61,-861.38
2022-04-05,-14.71,-4.25,-558.4
2022-04-06,-15.8,-4.04,-408.4
2022-04-07,-16.71,-3.79,-502.9
2022-04-08,-17.59,-3.5,-498.2
2022-04-11,-18.81,-3.25,-305.67
2022-04-12,-19.38,-3.12,-281.06
2022-04-13,-19.69,-3.03,-364.78
2022-04-14,-20.37,-3.06,-311.92
2022-04-18,-20.59,-3.14,-292.52
2022-04-19,-20.43,-3.15,-396.39
2022-04-20,-20.16,-3.21,-374.43
2022-04-21,-20.47,-3.28,-297.94
2022-04-22,-20.63,-3.53,-191.6
2022-04-25,-20.86,-3.79,-200.41
2022-04-26,-22.11,-4.2,-156.18
2022-04-27,-23.59,-4.66,-168.96
2022-04-28,-23.76,-4.98,-193.48
2022-04-29,-24.03,-5.4,-124.1
2022-05-02,-23.8,-5.78,-110.11
2022-05-03,-22.75,-6.19,-110.6
2022-05-04,-21.05,-6.41,-152.93
2022-05-05,-20.69,-6.74,-99.7
2022-05-06,-20.08,-7.12,-99.25
2022-05-09,-20.67,-7.62,-78.03
2022-05-10,-21.18,-8.04,-72.69
2022-05-11,-22.64,-8.5,-71.4
2022-05-12,-23.43,-9.02,-65.03
2022-05-13,-23.08,-9.39,-53.79
2022-05-16,-22.52,-9.77,-62.43
2022-05-17,-21.28,-10.14,-47.48
2022-05-18,-20.37,-10.68,-39.09
2022-05-19,-20.0,-11.17,-45.97
2022-05-20,-20.67,-11.54,-49.84
2022-05-23,-20.87,-11.86,-61.4
