Date,rate_ADBE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,33.18
2019-03-01,8.91,6.13,2.78,36.05
2019-04-29,17.65,10.74,6.91,40.33
2019-06-25,17.71,9.75,7.96,41.41
2019-08-21,18.73,9.45,9.28,42.78
2019-10-17,10.06,11.38,-1.32,31.81
2019-12-13,28.78,17.31,11.47,45.04
2020-02-12,49.3,23.26,26.04,60.12
2020-04-09,26.05,5.35,20.7,54.59
2020-06-08,54.92,21.76,33.16,67.48
2020-08-04,71.02,23.27,47.75,82.58
2020-09-30,77.66,22.35,55.31,90.4
2020-11-25,67.7,30.73,36.97,71.43
2021-01-26,67.31,37.01,30.3,64.53
2021-03-24,56.5,38.04,18.46,52.28
2021-05-20,67.89,45.0,22.89,56.86
2021-07-19,102.25,46.79,55.46,90.55
2021-09-14,108.06,49.47,58.59,93.79
2021-11-09,112.77,55.69,57.08,92.23
2022-01-06,61.81,54.19,7.62,41.06
2022-03-07,36.63,37.12,-0.49,32.67
2022-05-03,26.27,34.96,-8.69,24.19
2022-06-30,13.21,22.0,-8.79,24.08
2022-08-26,20.54,30.79,-10.25,22.57
2022-10-24,1.3,22.72,-21.42,11.02
2022-12-20,8.25,22.59,-14.34,18.34
2023-02-17,13.77,30.41,-16.64,15.96
2023-04-18,19.97,31.87,-11.9,20.87
2023-06-14,51.44,38.27,13.17,46.8
2023-08-11,62.71,40.92,21.79,55.72
2023-10-09,62.37,35.51,26.86,60.97
2023-12-05,80.01,42.24,37.77,72.25
2024-02-02,87.81,52.79,35.02,69.41
2024-04-02,46.8,59.09,-12.29,20.46
2024-05-29,40.07,60.75,-20.68,11.78
2024-07-26,57.94,64.89,-6.95,25.99
