Date,rate_ORCL_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,2750.0
2022-01-05,0.0,0.0,15.46
2022-01-06,0.0,0.0,15.38
2022-01-07,-0.28,0.0,81.82
2022-01-10,-0.12,0.0,161.42
2022-01-11,-0.16,0.0,152.38
2022-01-12,0.05,0.0,157.5
2022-01-13,0.21,0.0,95.8
2022-01-14,0.23,0.0,91.49
2022-01-18,-0.19,0.0,50.74
2022-01-19,-0.77,0.0,25.8
2022-01-20,-1.4,0.0,30.9
2022-01-21,-2.03,0.0,42.81
2022-01-24,-2.63,0.0,41.95
2022-01-25,-3.22,0.0,32.54
2022-01-26,-3.82,0.0,14.59
2022-01-27,-4.31,0.0,22.0
2022-01-28,-4.62,0.0,3.43
2022-01-31,-4.84,-2.9,-21.39
2022-02-01,-4.82,-3.04,-49.82
2022-02-02,-4.26,-3.13,-39.09
2022-02-03,-3.84,-3.28,17.75
2022-02-04,-3.51,-3.41,13.33
2022-02-07,-3.56,-3.55,-15.46
2022-02-08,-3.61,-3.64,-40.63
2022-02-09,-3.37,-3.7,14.92
2022-02-10,-3.37,-3.85,4.65
2022-02-11,-3.86,-4.04,-6.11
2022-02-14,-4.25,-4.25,-16.09
2022-02-15,-4.46,-4.32,-34.56
2022-02-16,-5.38,-4.34,-54.52
2022-02-17,-6.78,-4.43,-73.69
2022-02-18,-7.95,-4.47,-75.23
2022-02-22,-9.05,-4.58,-59.09
2022-02-23,-10.7,-4.71,-51.99
2022-02-24,-11.7,-4.78,-43.86
2022-02-25,-11.51,-4.72,-61.27
2022-02-28,-11.19,-4.77,-62.25
2022-03-01,-10.7,-4.96,-31.75
2022-03-02,-9.33,-5.1,-23.84
2022-03-03,-8.5,-5.3,-15.09
2022-03-04,-8.41,-5.44,-32.34
2022-03-07,-8.72,-5.73,-21.76
2022-03-08,-9.33,-6.03,-25.25
2022-03-09,-9.8,-6.26,-20.94
2022-03-10,-10.15,-6.57,-7.17
2022-03-11,-9.83,-6.86,20.52
2022-03-14,-9.19,-7.09,16.87
2022-03-15,-7.5,-7.21,48.86
2022-03-16,-6.6,-7.3,18.92
2022-03-17,-5.68,-7.34,15.62
2022-03-18,-4.77,-7.24,25.99
2022-03-21,-3.86,-7.1,3.71
2022-03-22,-3.58,-6.86,1.49
2022-03-23,-3.48,-6.6,-10.26
2022-03-24,-3.1,-6.36,25.09
2022-03-25,-3.08,-6.18,-15.74
2022-03-28,-2.46,-5.97,69.23
2022-03-29,-1.87,-5.63,160.42
2022-03-30,-1.17,-5.41,26.61
2022-03-31,-1.06,-5.23,39.69
2022-04-01,-0.98,-5.01,-4.02
2022-04-04,-0.87,-4.61,102.07
2022-04-05,-1.15,-4.25,58.4
2022-04-06,-1.37,-4.04,46.5
2022-04-07,-1.56,-3.79,20.0
2022-04-08,-1.71,-3.5,7.51
2022-04-11,-2.56,-3.25,13.97
2022-04-12,-3.29,-3.12,10.61
2022-04-13,-3.76,-3.03,-0.71
2022-04-14,-4.18,-3.06,14.53
2022-04-18,-4.75,-3.14,-11.03
2022-04-19,-4.78,-3.15,-13.4
2022-04-20,-4.55,-3.21,9.87
2022-04-21,-4.6,-3.28,15.92
2022-04-22,-5.33,-3.53,-4.83
2022-04-25,-5.61,-3.79,0.14
2022-04-26,-6.78,-4.2,-3.12
2022-04-27,-8.06,-4.66,-2.36
2022-04-28,-8.83,-4.98,-10.9
2022-04-29,-9.5,-5.4,-6.74
2022-05-02,-10.13,-5.78,-5.61
2022-05-03,-10.36,-6.19,-18.3
2022-05-04,-10.19,-6.41,-30.62
2022-05-05,-10.91,-6.74,-17.97
2022-05-06,-11.07,-7.12,-15.46
2022-05-09,-11.64,-7.62,0.0
2022-05-10,-11.82,-8.04,7.26
2022-05-11,-12.8,-8.5,3.7
2022-05-12,-13.29,-9.02,1.64
2022-05-13,-13.6,-9.39,-9.38
2022-05-16,-14.04,-9.77,-20.17
2022-05-17,-14.19,-10.14,-15.23
2022-05-18,-14.84,-10.68,-17.54
2022-05-19,-15.72,-11.17,-23.12
2022-05-20,-16.32,-11.54,-10.82
2022-05-23,-16.24,-11.86,-11.18
2022-05-24,-16.92,-12.08,-14.91
2022-05-25,-16.56,-12.27,-13.83
2022-05-26,-15.45,-12.49,-11.33
2022-05-27,-14.46,-12.44,-22.11
2022-05-31,-14.01,-12.45,-26.32
2022-06-01,-13.32,-12.5,-21.33
2022-06-02,-12.45,-12.61,-22.96
2022-06-03,-12.35,-12.62,-21.52
2022-06-06,-12.23,-12.6,-10.53
2022-06-07,-11.98,-12.4,-24.26
2022-06-08,-12.04,-12.26,-27.87
2022-06-09,-12.98,-12.15,-27.78
2022-06-10,-14.11,-12.17,-23.17
2022-06-13,-16.27,-12.44,-22.13
2022-06-14,-16.74,-12.7,23.25
2022-06-15,-17.15,-13.0,11.0
2022-06-16,-17.27,-13.26,16.84
2022-06-17,-17.13,-13.47,9.84
2022-06-21,-16.25,-13.6,-0.17
2022-06-22,-17.27,-13.81,-6.99
2022-06-23,-17.77,-13.94,-4.46
2022-06-24,-17.29,-13.99,3.1
2022-06-27,-16.64,-14.14,2.76
2022-06-28,-16.42,-14.48,-0.12
2022-06-29,-15.77,-14.81,6.09
2022-06-30,-15.23,-15.16,14.07
2022-07-01,-15.11,-15.52,17.08
2022-07-05,-14.66,-15.8,24.54
2022-07-06,-13.85,-16.08,20.63
2022-07-07,-13.14,-16.34,15.56
2022-07-08,-12.59,-16.56,16.12
2022-07-11,-12.43,-16.72,18.86
2022-07-12,-12.81,-16.79,14.02
2022-07-13,-13.21,-16.72,13.18
2022-07-14,-13.79,-16.66,10.12
2022-07-15,-14.06,-16.57,11.38
2022-07-18,-14.39,-16.39,11.15
2022-07-19,-13.95,-16.1,14.79
2022-07-20,-13.33,-15.89,14.55
2022-07-21,-12.09,-15.62,27.65
2022-07-22,-11.08,-15.43,35.14
2022-07-25,-9.95,-15.37,34.37
2022-07-26,-9.51,-15.34,31.93
2022-07-27,-8.71,-15.11,38.19
2022-07-28,-8.11,-14.82,45.04
2022-07-29,-7.39,-14.42,47.84
2022-08-01,-6.74,-14.1,44.34
2022-08-02,-6.07,-13.8,37.04
2022-08-03,-5.68,-13.46,40.02
2022-08-04,-5.56,-13.19,40.74
2022-08-05,-5.64,-12.92,41.03
2022-08-08,-5.82,-12.6,32.87
2022-08-09,-5.75,-12.26,37.21
2022-08-10,-5.73,-11.84,35.29
2022-08-11,-5.78,-11.41,31.45
2022-08-12,-5.49,-11.0,44.35
2022-08-15,-5.05,-10.54,41.55
2022-08-16,-4.59,-10.19,45.56
2022-08-17,-4.31,-9.88,45.75
2022-08-18,-3.95,-9.61,45.01
2022-08-19,-4.03,-9.34,44.22
2022-08-22,-4.46,-9.14,32.47
2022-08-23,-4.97,-8.9,33.05
2022-08-24,-5.47,-8.76,29.67
2022-08-25,-5.86,-8.62,29.29
2022-08-26,-6.52,-8.66,25.87
2022-08-29,-6.89,-8.71,25.02
2022-08-30,-7.26,-8.77,28.81
2022-08-31,-7.59,-8.91,31.59
2022-09-01,-7.81,-9.02,38.68
2022-09-02,-7.76,-9.16,37.48
2022-09-06,-7.78,-9.3,32.87
2022-09-07,-7.65,-9.36,31.28
2022-09-08,-7.49,-9.46,29.58
2022-09-09,-7.27,-9.5,35.49
2022-09-12,-6.69,-9.55,44.47
2022-09-13,-6.21,-9.8,51.71
2022-09-14,-6.8,-10.04,10.77
2022-09-15,-7.87,-10.31,-0.24
2022-09-16,-9.56,-10.62,-7.91
2022-09-19,-11.46,-10.85,-11.07
2022-09-20,-13.34,-11.07,-11.76
2022-09-21,-14.62,-11.36,-11.8
2022-09-22,-15.64,-11.69,-12.42
2022-09-23,-16.68,-12.13,-13.94
2022-09-26,-18.04,-12.5,-16.46
2022-09-27,-19.43,-12.87,-22.0
2022-09-28,-20.32,-13.15,-26.06
2022-09-29,-21.45,-13.48,-25.62
