Date,rate_GOOGL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.8
2019-03-01,5.83,4.45,1.38,5.61
2019-04-29,18.31,7.58,10.73,11.15
2019-06-25,0.68,7.2,-6.52,0.94
2019-08-21,9.47,7.24,2.23,6.12
2019-10-17,14.64,8.87,5.77,8.21
2019-12-13,22.59,13.19,9.4,10.36
2020-02-12,37.1,18.03,19.07,16.08
2020-04-09,10.73,3.89,6.84,8.85
2020-06-08,31.14,14.68,16.46,14.54
2020-08-04,33.27,16.26,17.01,14.86
2020-09-30,32.62,17.41,15.21,13.8
2020-11-25,57.85,24.05,33.8,24.8
2021-01-26,70.0,29.15,40.85,28.97
2021-03-24,80.53,30.35,50.18,34.49
2021-05-20,103.72,36.67,67.05,44.47
2021-07-19,119.31,38.99,80.32,52.32
2021-09-14,149.68,43.6,106.08,67.56
2021-11-09,160.45,49.14,111.31,70.65
2022-01-06,141.57,49.24,92.33,59.42
2022-03-07,122.36,37.68,84.68,54.9
2022-05-03,107.07,36.93,70.14,46.3
2022-06-30,92.93,27.61,65.32,43.44
2022-08-26,95.25,34.27,60.98,40.88
2022-10-24,82.04,27.92,54.12,36.82
2022-12-20,59.22,28.33,30.89,23.07
2023-02-17,68.23,34.71,33.52,24.63
2023-04-18,85.38,36.36,49.02,33.8
2023-06-14,117.78,41.83,75.95,49.73
2023-08-11,127.73,43.86,83.87,54.42
2023-10-09,142.71,40.69,102.02,65.16
2023-12-05,130.15,46.52,83.63,54.28
2024-02-02,149.4,55.53,93.87,60.34
2024-04-02,169.98,61.42,108.56,69.03
2024-05-29,206.05,63.18,142.87,89.33
2024-07-26,191.01,67.5,123.51,77.87
