Date,rate_BLK_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,1600.0
2022-01-05,0.0,0.0,-12.37
2022-01-06,0.0,0.0,14.42
2022-01-07,-0.55,0.0,12.4
2022-01-10,-0.97,0.0,-64.57
2022-01-11,-1.21,0.0,-44.44
2022-01-12,-1.22,0.0,-190.0
2022-01-13,-1.55,0.0,-78.32
2022-01-14,-2.15,0.0,-187.94
2022-01-18,-2.81,0.0,-99.63
2022-01-19,-3.81,0.0,-71.01
2022-01-20,-4.74,0.0,-37.26
2022-01-21,-5.81,0.0,-39.61
2022-01-24,-6.79,0.0,-68.35
2022-01-25,-7.29,0.0,-24.17
2022-01-26,-7.74,0.0,-25.19
2022-01-27,-8.35,0.0,-28.51
2022-01-28,-8.16,0.0,-39.72
2022-01-31,-7.46,-2.9,-58.96
2022-02-01,-6.9,-3.04,-80.29
2022-02-02,-6.34,-3.13,-172.59
2022-02-03,-5.98,-3.28,-76.75
2022-02-04,-5.93,-3.41,-85.0
2022-02-07,-6.01,-3.55,-53.09
2022-02-08,-6.4,-3.64,-120.63
2022-02-09,-6.6,-3.7,-251.38
2022-02-10,-7.19,-3.85,-191.57
2022-02-11,-7.98,-4.04,-103.05
2022-02-14,-9.18,-4.25,-115.55
2022-02-15,-9.72,-4.32,-136.03
2022-02-16,-10.32,-4.34,-135.93
2022-02-17,-10.65,-4.43,-96.96
2022-02-18,-11.0,-4.47,-90.62
2022-02-22,-11.33,-4.58,-81.15
2022-02-23,-12.4,-4.71,-65.23
2022-02-24,-13.53,-4.78,-94.7
2022-02-25,-13.78,-4.72,-123.06
2022-02-28,-14.05,-4.77,-127.15
2022-03-01,-14.62,-4.96,-128.41
2022-03-02,-14.41,-5.1,-149.64
2022-03-03,-14.19,-5.3,-131.51
2022-03-04,-15.27,-5.44,-172.11
2022-03-07,-16.61,-5.73,-118.76
2022-03-08,-17.72,-6.03,-120.24
2022-03-09,-18.66,-6.26,-142.26
2022-03-10,-19.51,-6.57,-124.85
2022-03-11,-19.7,-6.86,-109.66
2022-03-14,-19.25,-7.09,-84.55
2022-03-15,-18.27,-7.21,-115.15
2022-03-16,-17.43,-7.3,-144.09
2022-03-17,-16.47,-7.34,-178.54
2022-03-18,-15.33,-7.24,-261.54
2022-03-21,-14.53,-7.1,-275.33
2022-03-22,-13.66,-6.86,-374.25
2022-03-23,-13.54,-6.6,-255.38
2022-03-24,-13.6,-6.36,-382.69
2022-03-25,-13.55,-6.18,-468.51
2022-03-28,-13.19,-5.97,-632.54
2022-03-29,-12.61,-5.63,-1943.75
2022-03-30,-11.71,-5.41,-757.8
2022-03-31,-11.14,-5.23,-320.62
2022-04-01,-10.45,-5.01,-341.52
2022-04-04,-9.68,-4.61,-490.34
2022-04-05,-9.83,-4.25,-301.91
2022-04-06,-10.49,-4.04,-254.62
2022-04-07,-10.78,-3.79,-295.16
2022-04-08,-11.53,-3.5,-310.51
2022-04-11,-12.73,-3.25,-194.13
2022-04-12,-13.78,-3.12,-199.43
2022-04-13,-14.44,-3.03,-276.6
2022-04-14,-15.78,-3.06,-253.45
2022-04-18,-17.03,-3.14,-271.78
2022-04-19,-17.62,-3.15,-351.03
2022-04-20,-18.02,-3.21,-350.13
2022-04-21,-18.78,-3.28,-269.48
2022-04-22,-19.34,-3.53,-177.1
2022-04-25,-19.6,-3.79,-187.52
2022-04-26,-20.8,-4.2,-136.58
2022-04-27,-22.05,-4.66,-146.56
2022-04-28,-22.72,-4.98,-207.31
2022-04-29,-23.57,-5.4,-140.26
2022-05-02,-24.39,-5.78,-152.95
2022-05-03,-24.59,-6.19,-155.41
2022-05-04,-23.95,-6.41,-197.0
2022-05-05,-24.18,-6.74,-139.49
2022-05-06,-23.94,-7.12,-132.8
2022-05-09,-24.37,-7.62,-104.1
2022-05-10,-24.83,-8.04,-103.25
2022-05-11,-26.28,-8.5,-92.11
2022-05-12,-27.03,-9.02,-91.33
2022-05-13,-27.32,-9.39,-107.33
2022-05-16,-27.48,-9.77,-117.17
2022-05-17,-27.44,-10.14,-136.49
2022-05-18,-27.64,-10.68,-97.08
2022-05-19,-27.81,-11.17,-88.93
2022-05-20,-28.15,-11.54,-83.61
2022-05-23,-27.85,-11.86,-95.39
2022-05-24,-27.7,-12.08,-81.53
2022-05-25,-26.9,-12.27,-83.89
2022-05-26,-25.53,-12.49,-84.65
2022-05-27,-24.01,-12.44,-108.7
2022-05-31,-22.69,-12.45,-95.91
2022-06-01,-21.6,-12.5,-91.77
2022-06-02,-20.1,-12.61,-93.16
2022-06-03,-19.54,-12.62,-82.86
2022-06-06,-19.22,-12.6,-83.14
2022-06-07,-18.86,-12.4,-94.57
