Date,rate_TSM_5D,rate_TSM_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.21400000000000002,,-0.648,
2022-01-10,-0.506,,-0.9019999999999999,
2022-01-11,-0.6680000000000001,,-1.024,
2022-01-12,0.015999999999999924,,-0.9099999999999999,
2022-01-13,1.402,,-0.9879999999999999,
2022-01-14,3.342,,-1.028,
2022-01-18,4.37,,-1.314,
2022-01-19,4.586,,-1.8780000000000001,
2022-01-20,4.130000000000001,,-2.646,
2022-01-21,2.4219999999999997,,-3.4859999999999998,
2022-01-24,0.708,,-4.272,
2022-01-25,-0.686,,-4.998,
2022-01-26,-1.6700000000000004,,-5.609999999999999,
2022-01-27,-3.2560000000000002,,-6.144,
2022-01-28,-4.232,,-6.01,
2022-01-31,-4.686,-0.2125,-5.634,-2.8954999999999997
2022-02-01,-4.586,-0.35200000000000004,-4.926,-3.035
2022-02-02,-4.41,-0.5405,-4.018,-3.1325
2022-02-03,-3.932,-0.7605000000000001,-3.436,-3.284
2022-02-04,-3.4539999999999997,-0.9655000000000001,-3.164,-3.4120000000000004
2022-02-07,-3.4799999999999995,-1.0290000000000001,-3.2479999999999998,-3.5454999999999997
2022-02-08,-3.3760000000000003,-1.0695000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-3.1580000000000004,-1.163,-3.2879999999999994,-3.6985000000000006
2022-02-10,-2.448,-1.3765,-3.1759999999999997,-3.8505000000000003
2022-02-11,-2.458,-1.9305000000000003,-3.504,-4.0409999999999995
2022-02-14,-2.838,-2.5740000000000003,-3.8340000000000005,-4.247
2022-02-15,-2.696,-2.836,-4.0200000000000005,-4.316
2022-02-16,-2.968,-3.0515,-4.454,-4.3425
2022-02-17,-3.7079999999999997,-3.336,-4.952,-4.427
2022-02-18,-3.964,-3.527,-5.204,-4.4704999999999995
2022-02-22,-4.404,-3.8520000000000003,-5.593999999999999,-4.5775
2022-02-23,-5.728,-4.096500000000001,-6.590000000000001,-4.714
2022-02-24,-7.5280000000000005,-4.516,-7.340000000000001,-4.775
2022-02-25,-8.838,-4.7315,-7.316,-4.720000000000001
2022-02-28,-10.728,-5.151000000000001,-7.224000000000001,-4.774
2022-03-01,-12.0,-5.6805,-7.164,-4.96
2022-03-02,-12.882,-6.1705000000000005,-6.467999999999999,-5.099500000000001
2022-03-03,-13.27,-6.731,-6.128,-5.3025
2022-03-04,-14.122000000000003,-7.279000000000001,-6.314,-5.439500000000001
2022-03-07,-15.198000000000002,-8.087,-6.9719999999999995,-5.726
2022-03-08,-16.412,-8.913499999999999,-7.531999999999999,-6.031000000000001
2022-03-09,-17.094,-9.6,-7.954000000000001,-6.258
2022-03-10,-17.806,-10.392999999999999,-8.366,-6.572
2022-03-11,-18.35,-11.2545,-8.86,-6.8605
2022-03-14,-18.35,-12.059999999999999,-8.962,-7.0905000000000005
2022-03-15,-18.020000000000003,-12.709,-8.55,-7.210000000000001
2022-03-16,-17.89,-13.398499999999999,-8.196000000000002,-7.302000000000001
2022-03-17,-17.48,-14.021,-7.537999999999999,-7.343000000000001
2022-03-18,-16.638,-14.487,-6.45,-7.235000000000001
2022-03-21,-15.436000000000002,-14.928,-5.236,-7.0985
2022-03-22,-14.656,-15.272,-4.188,-6.858499999999999
2022-03-23,-14.709999999999999,-15.644,-3.7840000000000003,-6.600500000000001
2022-03-24,-14.484,-15.760000000000002,-3.3899999999999997,-6.3555
2022-03-25,-14.482,-15.898,-3.106,-6.182499999999999
2022-03-28,-14.575999999999999,-15.89,-2.69,-5.965000000000001
2022-03-29,-14.224,-15.828,-2.25,-5.63
