Date,rate_AMD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,0.51
2019-03-01,11.74,4.45,7.29,1.41
2019-04-29,29.98,7.58,22.4,3.28
2019-06-25,35.31,7.2,28.11,3.98
2019-08-21,48.23,7.24,40.99,5.57
2019-10-17,45.68,8.87,36.81,5.06
2019-12-13,91.23,13.19,78.04,10.15
2020-02-12,149.19,18.03,131.16,16.71
2020-04-09,124.12,3.89,120.23,15.36
2020-06-08,145.01,14.68,130.33,16.61
2020-08-04,290.93,16.26,274.67,34.44
2020-09-30,277.05,17.41,259.64,32.59
2020-11-25,298.52,24.05,274.47,34.42
2021-01-26,334.92,29.15,305.77,38.28
2021-03-24,251.98,30.35,221.63,27.89
2021-05-20,259.17,36.67,222.5,28.0
2021-07-19,297.93,38.99,258.94,32.5
2021-09-14,385.07,43.6,341.47,42.69
2021-11-09,581.58,49.14,532.44,66.29
2022-01-06,523.84,49.24,474.6,59.14
2022-03-07,372.42,37.68,334.74,41.86
2022-05-03,318.64,36.93,281.71,35.31
2022-06-30,251.93,27.61,224.32,28.22
2022-08-26,318.86,34.27,284.59,35.67
2022-10-24,171.08,27.92,143.16,18.19
2022-12-20,199.97,28.33,171.64,21.71
2023-02-17,261.17,34.71,226.46,28.49
2023-04-18,312.49,36.36,276.13,34.62
2023-06-14,483.35,41.83,441.52,55.06
2023-08-11,393.44,43.86,349.58,43.7
2023-10-09,390.71,40.69,350.02,43.75
2023-12-05,442.62,46.52,396.1,49.44
2024-02-02,712.35,55.53,656.82,81.65
2024-04-02,717.08,61.42,655.66,81.51
2024-05-29,655.38,63.18,592.2,73.67
2024-07-26,540.95,67.5,473.45,59.0
