Date,rate_ADP_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,1250.0
2022-01-05,0.0,0.0,80.41
2022-01-06,0.0,0.0,49.04
2022-01-07,-0.31,0.0,14.05
2022-01-10,-0.75,0.0,-76.38
2022-01-11,-1.1,0.0,-138.1
2022-01-12,-1.4,0.0,-325.0
2022-01-13,-1.8,0.0,-77.62
2022-01-14,-2.3,0.0,-149.65
2022-01-18,-2.7,0.0,-57.04
2022-01-19,-3.35,0.0,-37.39
2022-01-20,-4.24,0.0,-44.81
2022-01-21,-5.15,0.0,-26.64
2022-01-24,-5.81,0.0,-26.97
2022-01-25,-6.41,0.0,-15.01
2022-01-26,-8.34,0.0,-120.74
2022-01-27,-10.06,0.0,-113.46
2022-01-28,-11.38,0.0,-176.41
2022-01-31,-12.26,-2.9,-223.41
2022-02-01,-13.02,-3.04,-296.77
2022-02-02,-12.18,-3.13,-416.75
2022-02-03,-11.48,-3.28,-181.0
2022-02-04,-10.9,-3.41,-200.28
2022-02-07,-10.84,-3.55,-181.19
2022-02-08,-10.61,-3.64,-214.92
2022-02-09,-10.34,-3.7,-386.74
2022-02-10,-10.31,-3.85,-222.38
2022-02-11,-10.51,-4.04,-125.19
2022-02-14,-10.83,-4.25,-126.76
2022-02-15,-11.18,-4.32,-186.27
2022-02-16,-11.74,-4.34,-191.21
2022-02-17,-12.16,-4.43,-122.09
2022-02-18,-12.43,-4.47,-102.77
2022-02-22,-12.61,-4.58,-79.28
2022-02-23,-13.25,-4.71,-64.68
2022-02-24,-13.59,-4.78,-71.67
2022-02-25,-13.26,-4.72,-98.62
2022-02-28,-12.93,-4.77,-90.56
2022-03-01,-12.65,-4.96,-67.55
2022-03-02,-11.75,-5.1,-86.38
2022-03-03,-11.31,-5.3,-83.25
2022-03-04,-10.9,-5.44,-41.1
2022-03-07,-10.51,-5.73,-2.25
2022-03-08,-10.26,-6.03,-8.32
2022-03-09,-9.98,-6.26,-16.91
2022-03-10,-9.59,-6.57,-12.48
2022-03-11,-9.69,-6.86,-8.69
2022-03-14,-9.81,-7.09,-2.95
2022-03-15,-9.22,-7.21,0.63
2022-03-16,-8.98,-7.3,-31.76
2022-03-17,-8.6,-7.34,-49.58
2022-03-18,-7.97,-7.24,-81.7
2022-03-21,-7.49,-7.1,-106.1
2022-03-22,-7.24,-6.86,-147.01
2022-03-23,-7.24,-6.6,-98.97
2022-03-24,-6.97,-6.36,-107.42
2022-03-25,-6.6,-6.18,-111.91
2022-03-28,-5.9,-5.97,-153.85
2022-03-29,-5.07,-5.63,-408.33
2022-03-30,-3.76,-5.41,-12.84
2022-03-31,-2.85,-5.23,48.25
2022-04-01,-1.62,-5.01,153.57
2022-04-04,-0.38,-4.61,231.03
2022-04-05,0.73,-4.25,217.94
2022-04-06,1.57,-4.04,184.03
2022-04-07,2.5,-3.79,206.45
2022-04-08,2.85,-3.5,189.19
2022-04-11,2.49,-3.25,102.02
2022-04-12,1.9,-3.12,102.65
2022-04-13,1.52,-3.03,126.24
2022-04-14,0.76,-3.06,90.13
2022-04-18,-0.09,-3.14,76.45
2022-04-19,-0.17,-3.15,92.01
2022-04-20,-0.02,-3.21,122.53
2022-04-21,-0.26,-3.28,98.5
2022-04-22,-0.7,-3.53,65.39
2022-04-25,-0.71,-3.79,82.23
2022-04-26,-1.3,-4.2,67.04
2022-04-27,-1.66,-4.66,90.44
2022-04-28,-1.69,-4.98,96.94
2022-04-29,-2.14,-5.4,54.11
2022-05-02,-2.76,-5.78,56.26
2022-05-03,-2.79,-6.19,64.14
2022-05-04,-2.68,-6.41,94.28
2022-05-05,-3.58,-6.74,53.7
2022-05-06,-3.65,-7.12,49.77
2022-05-09,-4.45,-7.62,37.97
2022-05-10,-5.21,-8.04,45.16
2022-05-11,-6.9,-8.5,39.23
2022-05-12,-7.82,-9.02,36.48
2022-05-13,-8.5,-9.39,30.99
2022-05-16,-8.6,-9.77,32.02
2022-05-17,-8.37,-10.14,45.79
2022-05-18,-8.37,-10.68,39.7
2022-05-19,-8.43,-11.17,37.33
2022-05-20,-8.44,-11.54,42.23
2022-05-23,-8.07,-11.86,49.05
2022-05-24,-8.26,-12.08,50.52
2022-05-25,-7.8,-12.27,51.66
2022-05-26,-6.82,-12.49,60.74
2022-05-27,-5.45,-12.44,80.14
2022-05-31,-4.59,-12.45,73.88
2022-06-01,-4.0,-12.5,61.46
2022-06-02,-3.13,-12.61,75.17
2022-06-03,-2.91,-12.62,66.19
2022-06-06,-3.33,-12.6,60.43
2022-06-07,-3.37,-12.4,69.57
2022-06-08,-3.31,-12.26,62.87
2022-06-09,-4.0,-12.15,54.11
2022-06-10,-4.79,-12.17,49.97
2022-06-13,-6.06,-12.44,42.44
2022-06-14,-7.63,-12.7,41.54
2022-06-15,-8.74,-13.0,45.29
2022-06-16,-10.11,-13.26,36.86
2022-06-17,-11.09,-13.47,36.95
2022-06-21,-10.91,-13.6,46.19
2022-06-22,-10.62,-13.81,48.04
2022-06-23,-10.33,-13.94,53.52
2022-06-24,-8.7,-13.99,69.92
2022-06-27,-7.14,-14.14,69.14
2022-06-28,-6.51,-14.48,61.46
2022-06-29,-6.1,-14.81,57.33
2022-06-30,-6.15,-15.16,53.59
2022-07-01,-6.59,-15.52,59.52
2022-07-05,-7.05,-15.8,57.25
2022-07-06,-6.74,-16.08,69.34
2022-07-07,-6.34,-16.34,64.64
2022-07-08,-5.68,-16.56,66.94
2022-07-11,-5.54,-16.72,62.4
2022-07-12,-5.56,-16.79,57.32
2022-07-13,-6.09,-16.72,55.1
2022-07-14,-6.55,-16.66,56.03
2022-07-15,-6.82,-16.57,59.83
2022-07-18,-7.13,-16.39,53.97
2022-07-19,-6.55,-16.1,70.35
2022-07-20,-6.12,-15.89,59.85
2022-07-21,-5.53,-15.62,64.14
2022-07-22,-4.99,-15.43,73.5
2022-07-25,-4.38,-15.37,66.92
2022-07-26,-4.47,-15.34,67.86
2022-07-27,-2.92,-15.11,119.64
2022-07-28,-1.08,-14.82,142.95
2022-07-29,0.71,-14.42,155.86
2022-08-01,2.66,-14.1,155.25
2022-08-02,4.61,-13.8,150.64
2022-08-03,5.4,-13.46,169.41
2022-08-04,5.7,-13.19,167.86
2022-08-05,6.07,-12.92,177.98
2022-08-08,6.54,-12.6,182.39
2022-08-09,7.09,-12.26,182.22
2022-08-10,7.49,-11.84,200.12
2022-08-11,7.84,-11.41,195.8
2022-08-12,8.2,-11.0,224.52
2022-08-15,8.56,-10.54,236.25
2022-08-16,8.88,-10.19,238.86
2022-08-17,9.13,-9.88,231.37
2022-08-18,9.46,-9.61,235.16
2022-08-19,9.55,-9.34,219.6
2022-08-22,9.5,-9.14,200.0
2022-08-23,9.41,-8.9,197.01
2022-08-24,9.33,-8.76,199.89
2022-08-25,9.34,-8.62,216.09
2022-08-26,9.01,-8.66,175.67
2022-08-29,8.67,-8.71,169.51
2022-08-30,8.17,-8.77,157.79
2022-08-31,7.58,-8.91,152.91
2022-09-01,6.96,-9.02,157.28
2022-09-02,6.29,-9.16,137.9
2022-09-06,5.68,-9.3,136.57
2022-09-07,5.5,-9.36,152.29
2022-09-08,5.4,-9.46,155.78
2022-09-09,5.44,-9.5,173.6
2022-09-12,5.85,-9.55,179.95
2022-09-13,5.54,-9.8,124.23
2022-09-14,4.93,-10.04,122.82
2022-09-15,4.0,-10.31,108.79
2022-09-16,3.12,-10.62,117.47
2022-09-19,2.44,-10.85,125.14
2022-09-20,2.31,-11.07,116.61
2022-09-21,1.96,-11.36,106.23
2022-09-22,1.93,-11.69,106.08
2022-09-23,1.64,-12.13,105.13
2022-09-26,1.04,-12.5,101.0
2022-09-27,0.54,-12.87,98.62
2022-09-28,0.68,-13.15,109.52
2022-09-29,0.44,-13.48,98.93
2022-09-30,0.09,-13.91,95.61
2022-10-03,0.4,-14.17,109.76
2022-10-04,1.16,-14.31,123.84
2022-10-05,1.75,-14.52,130.54
2022-10-06,2.36,-14.79,117.74
2022-10-07,2.43,-15.24,97.3
2022-10-10,2.13,-15.77,100.96
2022-10-11,1.25,-16.14,95.54
2022-10-12,-0.03,-16.53,90.84
2022-10-13,-0.45,-16.77,104.0
2022-10-14,-0.56,-17.07,94.77
2022-10-17,-0.18,-17.3,111.91
2022-10-18,0.57,-17.44,117.75
2022-10-19,1.36,-17.53,112.6
2022-10-20,1.32,-17.62,102.85
2022-10-21,1.9,-17.54,112.22
2022-10-24,2.23,-17.38,125.36
2022-10-25,2.47,-17.14,130.75
2022-10-26,2.63,-16.99,121.22
2022-10-27,3.11,-16.77,120.07
2022-10-28,3.96,-16.4,149.92
2022-10-31,4.38,-16.18,144.53
2022-11-01,4.85,-16.09,149.69
2022-11-02,5.03,-16.09,125.48
2022-11-03,5.11,-16.1,120.54
2022-11-04,4.59,-15.93,124.32
2022-11-07,4.46,-15.69,136.35
2022-11-08,4.58,-15.4,152.17
2022-11-09,4.83,-15.19,133.31
2022-11-10,6.43,-14.86,204.44
2022-11-11,7.49,-14.39,188.88
2022-11-14,8.31,-14.06,186.42
2022-11-15,9.02,-13.74,206.73
2022-11-16,10.16,-13.43,201.22
2022-11-17,10.04,-13.09,198.62
2022-11-18,10.63,-12.84,212.39
2022-11-21,11.28,-12.64,215.46
2022-11-22,12.02,-12.46,248.96
2022-11-23,12.79,-12.22,260.84
2022-11-25,13.69,-11.96,267.14
2022-11-28,13.89,-11.86,221.81
2022-11-29,13.84,-11.75,214.82
2022-11-30,14.03,-11.5,291.84
2022-12-01,14.41,-11.13,313.02
2022-12-02,14.84,-10.73,319.9
2022-12-05,15.29,-10.46,258.88
2022-12-06,15.35,-10.29,216.88
2022-12-07,14.85,-10.16,217.81
2022-12-08,14.18,-9.91,229.09
2022-12-09,13.11,-9.91,210.33
2022-12-12,13.11,-9.89,256.61
2022-12-13,13.42,-9.8,257.25
2022-12-14,13.49,-9.78,238.74
2022-12-15,12.52,-9.83,171.32
2022-12-16,11.65,-9.92,159.64
2022-12-19,9.98,-10.07,150.0
2022-12-20,8.41,-10.22,145.41
2022-12-21,7.29,-10.36,160.75
2022-12-22,6.46,-10.59,130.67
2022-12-23,5.93,-10.79,137.53
2022-12-27,5.59,-10.94,136.91
2022-12-28,5.06,-11.14,124.86
2022-12-29,4.51,-11.39,136.77
2022-12-30,4.49,-11.67,130.5
2023-01-03,4.19,-11.94,125.98
2023-01-04,3.98,-12.1,130.97
2023-01-05,3.6,-12.25,112.67
2023-01-06,3.55,-12.29,138.76
2023-01-09,3.59,-12.37,136.19
2023-01-10,3.86,-12.39,143.11
2023-01-11,4.41,-12.41,166.07
2023-01-12,5.32,-12.45,164.82
2023-01-13,5.77,-12.45,172.16
2023-01-17,5.54,-12.34,132.39
2023-01-18,4.97,-12.26,118.12
2023-01-19,3.96,-12.16,113.71
2023-01-20,3.34,-11.98,132.57
2023-01-23,2.96,-11.8,154.7
2023-01-24,3.17,-11.57,145.46
2023-01-25,2.63,-11.36,92.23
2023-01-26,1.95,-11.09,77.42
2023-01-27,0.53,-10.75,51.03
2023-01-30,-1.08,-10.54,64.73
2023-01-31,-2.23,-10.26,78.46
2023-02-01,-2.33,-9.92,81.13
2023-02-02,-2.02,-9.55,94.86
2023-02-03,-1.62,-9.18,70.69
2023-02-06,-1.51,-8.93,61.37
2023-02-07,-1.42,-8.62,79.27
2023-02-08,-1.65,-8.39,63.88
2023-02-09,-2.08,-8.25,66.76
2023-02-10,-2.04,-8.12,77.34
2023-02-13,-1.7,-7.96,84.79
2023-02-14,-1.89,-7.79,65.7
2023-02-15,-1.56,-7.54,87.75
2023-02-16,-1.26,-7.31,87.39
2023-02-17,-1.01,-7.16,94.98
2023-02-21,-1.24,-7.15,75.7
2023-02-22,-1.38,-7.13,67.2
2023-02-23,-1.82,-7.1,65.11
2023-02-24,-2.33,-7.15,62.31
2023-02-27,-2.94,-7.2,61.36
2023-02-28,-3.36,-7.21,54.26
2023-03-01,-3.63,-7.29,54.55
2023-03-02,-3.64,-7.4,66.05
2023-03-03,-3.35,-7.51,72.74
2023-03-06,-3.01,-7.56,76.91
2023-03-07,-2.87,-7.66,59.54
2023-03-08,-2.67,-7.8,62.32
2023-03-09,-2.98,-7.97,55.46
2023-03-10,-3.94,-8.17,39.66
2023-03-13,-4.96,-8.39,40.32
2023-03-14,-5.62,-8.58,32.1
2023-03-15,-6.36,-8.8,34.19
