Date,rate_NXPI,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.35,0.0,0.0
2022-01-05,-1.42,0.0,0.0
2022-01-06,-0.91,0.0,0.0
2022-01-07,-2.12,-0.82,0.0
2022-01-10,-2.01,-1.222,0.0
2022-01-11,-0.14,-1.3199999999999998,0.0
2022-01-12,0.34,-0.968,0.0
2022-01-13,-2.0,-1.186,0.0
2022-01-14,-0.88,-0.938,0.0
2022-01-18,-3.45,-1.2260000000000002,0.0
2022-01-19,-5.57,-2.3120000000000003,0.0
2022-01-20,-9.28,-4.236,0.0
2022-01-21,-9.17,-5.67,0.0
2022-01-24,-8.14,-7.122,0.0
2022-01-25,-11.35,-8.702,0.0
2022-01-26,-10.5,-9.687999999999999,0.0
2022-01-27,-13.97,-10.626,0.0
2022-01-28,-13.4,-11.472,0.0
2022-01-31,-7.23,-11.290000000000001,-5.0424999999999995
2022-02-01,-5.89,-10.198,-5.337
2022-02-02,-5.03,-9.104000000000001,-5.606
2022-02-03,-9.86,-8.282,-6.0280000000000005
2022-02-04,-9.95,-7.5920000000000005,-6.4799999999999995
2022-02-07,-10.43,-8.232,-6.8955
2022-02-08,-8.04,-8.661999999999999,-7.197
2022-02-09,-4.95,-8.645999999999999,-7.4375
2022-02-10,-9.52,-8.578,-7.9305
2022-02-11,-14.77,-9.542,-8.568999999999999
2022-02-14,-15.14,-10.484,-9.282
2022-02-15,-10.43,-10.962,-9.631
2022-02-16,-9.09,-11.790000000000001,-9.806999999999999
2022-02-17,-14.38,-12.762,-10.062000000000001
2022-02-18,-14.61,-12.73,-10.334
2022-02-22,-14.54,-12.61,-10.654
2022-02-23,-15.46,-13.616,-10.8595
2022-02-24,-12.71,-14.34,-10.97
2022-02-25,-11.49,-13.762,-10.846
2022-02-28,-13.28,-13.496,-10.84
2022-03-01,-16.75,-13.937999999999999,-11.315999999999999
2022-03-02,-13.64,-13.574000000000002,-11.7035
2022-03-03,-15.23,-14.078,-12.2135
2022-03-04,-18.8,-15.540000000000001,-12.6605
2022-03-07,-21.72,-17.228,-13.249
2022-03-08,-18.52,-17.582,-13.6535
2022-03-09,-15.65,-17.984,-14.034
2022-03-10,-16.92,-18.322,-14.632499999999999
2022-03-11,-17.78,-18.118000000000002,-15.0455
2022-03-14,-20.83,-17.94,-15.348499999999998
2022-03-15,-17.78,-17.792,-15.480500000000001
2022-03-16,-13.31,-17.324,-15.624500000000001
2022-03-17,-12.65,-16.47,-15.8025
2022-03-18,-11.45,-15.203999999999999,-15.656
2022-03-21,-12.31,-13.5,-15.541
2022-03-22,-13.56,-12.656,-15.491999999999999
2022-03-23,-15.45,-13.084,-15.491499999999998
2022-03-24,-12.06,-12.966,-15.459
2022-03-25,-12.34,-13.144,-15.501500000000002
2022-03-28,-12.81,-13.244,-15.478
2022-03-29,-10.4,-12.612,-15.160499999999999
2022-03-30,-13.76,-12.274,-15.1665
2022-03-31,-14.77,-12.815999999999999,-15.1435
2022-04-01,-15.69,-13.485999999999999,-14.988000000000003
2022-04-04,-15.43,-14.01,-14.6735
2022-04-05,-18.83,-15.695999999999998,-14.689000000000002
2022-04-06,-19.3,-16.804000000000002,-14.871500000000001
2022-04-07,-19.8,-17.81,-15.015499999999998
2022-04-08,-22.24,-19.119999999999997,-15.238499999999998
2022-04-11,-23.14,-20.662,-15.354000000000003
2022-04-12,-22.81,-21.458,-15.605500000000001
2022-04-13,-20.63,-21.723999999999997,-15.9715
2022-04-14,-21.1,-21.984,-16.394
2022-04-18,-19.62,-21.46,-16.802500000000002
2022-04-19,-17.14,-20.26,-17.044
2022-04-20,-17.08,-19.113999999999997,-17.220000000000002
2022-04-21,-18.89,-18.766000000000002,-17.392000000000003
2022-04-22,-20.77,-18.7,-17.8275
2022-04-25,-19.81,-18.738,-18.201
2022-04-26,-22.14,-19.738,-18.667499999999997
2022-04-27,-20.76,-20.473999999999997,-19.1855
2022-04-28,-17.78,-20.252,-19.3865
2022-04-29,-20.7,-20.238,-19.683
2022-05-02,-17.39,-19.753999999999998,-19.768
2022-05-03,-16.9,-18.706,-19.8415
2022-05-04,-13.35,-17.224,-19.5675
2022-05-05,-16.77,-17.022,-19.441
2022-05-06,-17.12,-16.306,-19.307
2022-05-09,-19.25,-16.678,-19.157500000000002
2022-05-10,-16.71,-16.64,-18.836
2022-05-11,-20.17,-18.003999999999998,-18.704
2022-05-12,-18.9,-18.43,-18.6175
2022-05-13,-15.09,-18.024,-18.317
2022-05-16,-17.38,-17.65,-18.205000000000002
2022-05-17,-13.39,-16.986,-18.017500000000002
2022-05-18,-18.11,-16.574,-18.069
2022-05-19,-17.93,-16.38,-18.021
2022-05-20,-15.94,-16.55,-17.779500000000002
2022-05-23,-15.67,-16.208,-17.572499999999998
2022-05-24,-16.4,-16.81,-17.285500000000003
2022-05-25,-13.86,-15.959999999999999,-16.940499999999997
2022-05-26,-10.17,-14.408000000000001,-16.56
2022-05-27,-8.65,-12.95,-15.957500000000001
2022-05-31,-11.5,-12.116,-15.663
2022-06-01,-13.5,-11.536000000000001,-15.493
2022-06-02,-11.97,-11.158000000000001,-15.424000000000001
2022-06-03,-14.52,-12.028,-15.311499999999999
2022-06-06,-15.61,-13.419999999999998,-15.235999999999999
2022-06-07,-14.77,-14.073999999999998,-15.011999999999997
2022-06-08,-16.97,-14.768,-15.025
2022-06-09,-13.67,-15.107999999999999,-14.7
2022-06-10,-16.28,-15.460000000000003,-14.568999999999999
2022-06-13,-20.92,-16.522000000000002,-14.860499999999998
2022-06-14,-21.03,-17.774,-15.043000000000001
2022-06-15,-20.73,-18.526000000000003,-15.41
2022-06-16,-25.64,-20.92,-15.786499999999998
2022-06-17,-25.86,-22.836,-16.183
2022-06-21,-25.28,-23.708,-16.65
2022-06-22,-26.27,-24.756,-17.18
2022-06-23,-27.86,-26.182,-17.753
2022-06-24,-25.18,-26.089999999999996,-18.319000000000003
2022-06-27,-25.39,-25.996000000000002,-19.080000000000002
2022-06-28,-27.55,-26.45,-20.025
2022-06-29,-29.51,-27.098000000000003,-20.9255
2022-06-30,-30.43,-27.612000000000002,-21.772
2022-07-01,-30.49,-28.674,-22.698
2022-07-05,-30.57,-29.71,-23.500500000000002
2022-07-06,-30.65,-30.330000000000002,-24.2525
2022-07-07,-27.72,-29.971999999999998,-24.900000000000002
2022-07-08,-26.65,-29.215999999999998,-25.384
