Date,rate_PANW_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,8.82
2019-03-01,18.72,6.13,12.59,13.4
2019-04-29,20.39,10.74,9.65,12.33
2019-06-25,-4.27,9.75,-14.02,3.73
2019-08-21,1.27,9.45,-8.18,5.85
2019-10-17,6.57,11.38,-4.81,7.07
2019-12-13,12.2,17.31,-5.11,6.96
2020-02-12,20.27,23.26,-2.99,7.73
2020-04-09,-8.59,5.35,-13.94,3.75
2020-06-08,21.64,21.76,-0.12,8.78
2020-08-04,29.03,23.27,5.76,10.91
2020-09-30,24.31,22.35,1.96,9.53
2020-11-25,45.21,30.73,14.48,14.08
2021-01-26,70.79,37.01,33.78,21.1
2021-03-24,53.57,38.04,15.53,14.47
2021-05-20,61.77,45.0,16.77,14.92
2021-07-19,81.75,46.79,34.96,21.53
2021-09-14,118.53,49.47,69.06,33.92
2021-11-09,127.64,55.69,71.95,34.97
2022-01-06,130.75,54.19,76.56,36.65
2022-03-07,127.14,37.12,90.02,41.54
2022-05-03,133.53,34.96,98.57,44.65
2022-06-30,105.28,22.0,83.28,39.09
2022-08-26,122.74,30.79,91.95,42.24
2022-10-24,91.89,22.72,69.17,33.96
2022-12-20,75.29,22.59,52.7,27.98
2023-02-17,96.6,30.41,66.19,32.88
2023-04-18,129.09,31.87,97.22,44.16
2023-06-14,169.54,38.27,131.27,56.53
2023-08-11,153.79,40.92,112.87,49.85
2023-10-09,178.74,35.51,143.23,60.88
2023-12-05,220.26,42.24,178.02,73.53
2024-02-02,271.56,52.79,218.77,88.34
2024-04-02,190.28,59.09,131.19,56.5
2024-05-29,223.46,60.75,162.71,67.96
2024-07-26,239.42,64.89,174.53,72.26
