Date,rate_HD_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,2650.0
2022-01-05,0.0,0.0,82.47
2022-01-06,0.0,0.0,66.35
2022-01-07,-0.37,0.0,-51.24
2022-01-10,-0.88,0.0,-103.15
2022-01-11,-1.53,0.0,-331.75
2022-01-12,-1.94,0.0,-455.0
2022-01-13,-2.4,0.0,-86.01
2022-01-14,-3.12,0.0,-285.11
2022-01-18,-3.89,0.0,-137.04
2022-01-19,-4.88,0.0,-123.19
2022-01-20,-6.35,0.0,-125.71
2022-01-21,-7.75,0.0,-71.4
2022-01-24,-8.05,0.0,-29.96
2022-01-25,-8.37,0.0,-26.22
2022-01-26,-8.5,0.0,-28.42
2022-01-27,-8.3,0.0,-23.73
2022-01-28,-7.64,0.0,-27.82
2022-01-31,-7.5,-2.9,-80.64
2022-02-01,-7.03,-3.04,-102.87
2022-02-02,-6.26,-3.13,-129.44
2022-02-03,-5.86,-3.28,-63.75
2022-02-04,-6.14,-3.41,-114.44
2022-02-07,-6.54,-3.55,-112.37
2022-02-08,-6.86,-3.64,-130.48
2022-02-09,-7.27,-3.7,-262.43
2022-02-10,-7.71,-3.85,-155.52
2022-02-11,-8.16,-4.04,-89.69
2022-02-14,-8.44,-4.25,-74.14
2022-02-15,-8.83,-4.32,-125.74
2022-02-16,-9.51,-4.34,-151.26
2022-02-17,-9.86,-4.43,-77.57
2022-02-18,-10.03,-4.47,-66.0
2022-02-22,-11.79,-4.58,-145.99
2022-02-23,-14.01,-4.71,-124.17
2022-02-24,-15.83,-4.78,-147.48
2022-02-25,-17.38,-4.72,-214.63
2022-02-28,-18.92,-4.77,-206.13
2022-03-01,-18.61,-4.96,-134.68
2022-03-02,-17.57,-5.1,-170.79
2022-03-03,-16.91,-5.3,-162.69
2022-03-04,-16.43,-5.44,-135.46
2022-03-07,-15.98,-5.73,-73.95
2022-03-08,-16.16,-6.03,-77.66
2022-03-09,-16.66,-6.26,-129.0
2022-03-10,-16.97,-6.57,-115.45
2022-03-11,-17.34,-6.86,-92.29
2022-03-14,-17.56,-7.09,-76.12
2022-03-15,-16.97,-7.21,-86.36
2022-03-16,-16.28,-7.3,-139.19
2022-03-17,-15.35,-7.34,-166.46
2022-03-18,-14.14,-7.24,-209.81
2022-03-21,-13.59,-7.1,-285.94
2022-03-22,-13.53,-6.86,-439.55
2022-03-23,-14.23,-6.6,-352.82
2022-03-24,-15.27,-6.36,-535.34
2022-03-25,-16.78,-6.18,-719.57
2022-03-28,-17.54,-5.97,-985.8
2022-03-29,-18.15,-5.63,-3543.75
2022-03-30,-18.58,-5.41,-1718.35
2022-03-31,-19.41,-5.23,-760.7
2022-04-01,-19.73,-5.01,-830.8
2022-04-04,-20.04,-4.61,-1275.17
2022-04-05,-20.57,-4.25,-667.94
2022-04-06,-20.95,-4.04,-508.4
2022-04-07,-20.66,-3.79,-566.45
2022-04-08,-20.2,-3.5,-457.06
2022-04-11,-20.14,-3.25,-297.98
2022-04-12,-20.07,-3.12,-274.43
2022-04-13,-19.47,-3.03,-342.32
2022-04-14,-19.38,-3.06,-276.54
2022-04-18,-19.94,-3.14,-298.5
2022-04-19,-19.88,-3.15,-399.48
2022-04-20,-19.43,-3.21,-343.04
2022-04-21,-19.43,-3.28,-250.56
2022-04-22,-19.65,-3.53,-171.63
2022-04-25,-19.41,-3.79,-172.86
2022-04-26,-19.81,-4.2,-114.97
2022-04-27,-20.51,-4.66,-115.52
2022-04-28,-20.44,-4.98,-144.15
2022-04-29,-20.42,-5.4,-96.4
2022-05-02,-20.2,-5.78,-90.49
2022-05-03,-19.84,-6.19,-103.22
2022-05-04,-19.02,-6.41,-141.63
2022-05-05,-19.56,-6.74,-107.8
2022-05-06,-19.76,-7.12,-108.81
2022-05-09,-20.27,-7.62,-60.69
2022-05-10,-20.98,-8.04,-74.81
2022-05-11,-22.65,-8.5,-73.11
2022-05-12,-23.14,-9.02,-60.45
2022-05-13,-23.05,-9.39,-72.24
2022-05-16,-23.11,-9.77,-68.21
2022-05-17,-22.6,-10.14,-82.11
2022-05-18,-22.48,-10.68,-67.64
2022-05-19,-22.58,-11.17,-57.11
2022-05-20,-23.04,-11.54,-58.3
2022-05-23,-23.56,-11.86,-78.65
2022-05-24,-24.24,-12.08,-67.6
2022-05-25,-23.8,-12.27,-65.42
2022-05-26,-23.02,-12.49,-68.46
2022-05-27,-21.91,-12.44,-90.48
2022-05-31,-21.04,-12.45,-95.81
2022-06-01,-20.44,-12.5,-95.88
2022-06-02,-19.69,-12.61,-106.51
2022-06-03,-19.45,-12.62,-80.19
2022-06-06,-19.58,-12.6,-87.43
2022-06-07,-19.52,-12.4,-110.43
2022-06-08,-19.5,-12.26,-101.35
2022-06-09,-19.82,-12.15,-63.29
2022-06-10,-20.64,-12.17,-54.32
2022-06-13,-21.72,-12.44,-35.87
2022-06-14,-22.92,-12.7,-40.78
2022-06-15,-23.85,-13.0,-48.49
2022-06-16,-25.22,-13.26,-36.86
2022-06-17,-26.18,-13.47,-41.95
2022-06-21,-26.91,-13.6,-59.51
2022-06-22,-27.41,-13.81,-58.33
2022-06-23,-27.64,-13.94,-56.28
2022-06-24,-27.14,-13.99,-69.72
2022-06-27,-26.52,-14.14,-66.71
2022-06-28,-26.47,-14.48,-68.37
2022-06-29,-26.21,-14.81,-59.75
2022-06-30,-26.27,-15.16,-53.36
2022-07-01,-26.34,-15.52,-53.5
2022-07-05,-26.15,-15.8,-47.52
2022-07-06,-25.32,-16.08,-50.47
2022-07-07,-24.52,-16.34,-57.2
2022-07-08,-23.75,-16.56,-57.07
2022-07-11,-23.38,-16.72,-47.76
2022-07-12,-23.3,-16.79,-42.93
2022-07-13,-23.11,-16.72,-36.55
2022-07-14,-22.97,-16.66,-31.19
2022-07-15,-22.65,-16.57,-39.2
2022-07-18,-22.3,-16.39,-32.28
2022-07-19,-21.53,-16.1,-40.49
2022-07-20,-20.73,-15.89,-41.12
2022-07-21,-19.91,-15.62,-45.02
2022-07-22,-19.16,-15.43,-33.48
2022-07-25,-18.47,-15.37,-35.2
2022-07-26,-18.56,-15.34,-40.35
2022-07-27,-18.74,-15.11,-64.13
2022-07-28,-19.02,-14.82,-78.53
2022-07-29,-19.32,-14.42,-98.25
2022-08-01,-19.24,-14.1,-80.14
2022-08-02,-18.95,-13.8,-82.46
2022-08-03,-18.47,-13.46,-90.9
2022-08-04,-17.99,-13.19,-87.91
2022-08-05,-17.49,-12.92,-79.91
2022-08-08,-17.25,-12.6,-73.96
2022-08-09,-17.05,-12.26,-82.12
2022-08-10,-16.84,-11.84,-96.52
2022-08-11,-16.7,-11.41,-98.56
2022-08-12,-16.5,-11.0,-117.36
2022-08-15,-16.41,-10.54,-126.79
2022-08-16,-15.62,-10.19,-97.67
2022-08-17,-15.12,-9.88,-90.0
2022-08-18,-14.6,-9.61,-96.34
2022-08-19,-14.38,-9.34,-84.05
2022-08-22,-14.46,-9.14,-75.87
