Date,rate_LMT_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,70.61
2019-01-31,2.05,2.79,-0.74,69.66
2019-03-01,5.4,5.82,-0.42,70.07
2019-03-29,2.69,6.59,-3.9,65.6
2019-04-29,12.06,10.42,1.64,72.72
2019-05-28,14.75,5.19,9.56,82.9
2019-06-25,21.77,9.51,12.26,86.37
2019-07-24,23.91,12.59,11.32,85.16
2019-08-21,25.9,8.26,17.64,93.29
2019-09-19,28.51,11.09,17.42,93.01
2019-10-17,22.66,10.2,12.46,86.63
2019-11-14,26.27,13.63,12.64,86.86
2019-12-13,24.52,16.06,8.46,81.49
2020-01-14,33.14,19.31,13.83,88.39
2020-02-12,38.68,22.17,16.51,91.84
2020-03-12,-0.93,-7.39,6.46,78.91
2020-04-09,17.36,4.54,12.82,87.09
2020-05-08,19.25,9.68,9.57,82.91
2020-06-08,29.85,20.77,9.08,82.28
2020-07-07,10.7,16.81,-6.11,62.75
2020-08-04,17.9,22.24,-4.34,65.03
2020-09-01,19.42,26.62,-7.2,61.35
2020-09-30,18.27,22.37,-4.1,65.34
2020-10-28,8.03,18.79,-10.76,56.78
2020-11-25,16.18,31.0,-14.82,51.56
2020-12-24,7.99,32.65,-24.66,38.9
2021-01-26,1.47,37.29,-35.82,24.56
2021-02-24,6.26,39.48,-33.22,27.9
2021-03-24,9.1,38.31,-29.21,33.05
2021-04-22,16.06,44.93,-28.87,33.49
2021-05-20,18.09,45.12,-27.03,35.86
2021-06-18,15.41,44.74,-29.33,32.9
2021-07-19,12.97,46.9,-33.93,26.99
2021-08-16,9.87,52.69,-42.82,15.56
2021-09-14,6.23,50.65,-44.42,13.5
2021-10-12,10.31,46.96,-36.65,23.49
2021-11-09,4.14,57.28,-53.14,2.29
2021-12-08,4.96,57.14,-52.18,3.52
2022-01-06,9.95,55.71,-45.76,11.78
2022-02-04,19.17,48.73,-29.56,32.6
2022-03-07,41.8,38.56,3.24,74.78
2022-04-04,34.7,50.04,-15.34,50.89
2022-05-03,31.48,36.37,-4.89,64.32
2022-06-01,32.37,33.73,-1.36,68.86
2022-06-30,29.58,23.28,6.3,78.71
2022-07-29,24.4,34.14,-9.74,58.09
2022-08-26,28.22,32.25,-4.03,65.43
2022-09-26,22.23,20.34,1.89,73.04
2022-10-24,36.72,24.25,12.47,86.64
2022-11-21,43.15,29.08,14.07,88.7
2022-12-20,43.74,24.09,19.65,95.87
2023-01-20,30.75,28.72,2.03,73.22
2023-02-17,39.69,31.99,7.7,80.51
2023-03-20,39.21,27.76,11.45,85.33
2023-04-18,45.76,33.44,12.32,86.45
2023-05-16,30.49,31.79,-1.3,68.94
2023-06-14,31.5,39.9,-8.4,59.81
2023-07-14,34.48,43.27,-8.79,59.31
2023-08-11,30.87,42.01,-11.14,56.29
2023-09-11,22.75,42.23,-19.48,45.56
2023-10-09,27.07,36.77,-9.7,58.14
2023-11-06,30.64,37.4,-6.76,61.92
2023-12-05,28.92,43.51,-14.59,51.85
2024-01-04,31.89,46.32,-14.43,52.06
2024-02-02,22.51,54.14,-31.63,29.94
2024-03-04,23.96,59.08,-35.12,25.46
2024-04-02,29.7,60.46,-30.76,31.06
2024-04-30,33.02,55.27,-22.25,42.0
2024-05-29,29.2,62.08,-32.88,28.34
2024-06-27,33.12,68.1,-34.98,25.64
2024-07-26,48.99,66.24,-17.25,48.43
