Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,61.46,64.66,65.21,60.54,61.46,2981100,,,,,,,,61.46,,,0.00,False,False,61.46,31000000.00,0,15579686.25,15420313.75,193.00,0.00,31000000,week +buy 50% Monthly invest,,,,ZI,0.00
2022-01-04,58.81,62.28,62.28,55.55,58.81,7462800,,,,,,,,61.46,,,-0.28,False,False,58.81,30335115.50,0,15579686.25,14755429.25,193.00,-2.14,31000000,,,,,ZI,-0.02
2022-01-05,54.32,57.29,57.52,53.67,54.32,4179500,,,,,,,,61.46,,,-0.91,False,False,54.32,29208574.25,0,15579686.25,13628888.00,193.00,-5.78,31000000,,,,,ZI,-0.97
2022-01-06,54.39,53.20,56.19,52.77,54.39,3191200,,,,,,,,61.46,,,-1.26,False,False,54.32,29226137.00,0,15579686.25,13646450.75,193.00,-5.72,31000000,,,,,ZI,-1.04
2022-01-07,52.50,54.28,55.94,52.30,52.50,3363200,,,56.30,,,,,61.46,,,-1.62,False,False,52.50,28751936.25,0,15579686.25,13172250.00,193.00,-7.25,31000000,,,,,ZI,-1.21
2022-01-10,53.24,50.99,53.34,49.72,53.24,4393000,,,54.65,,,,,61.46,,,-1.68,False,False,52.50,28937602.75,0,7827941.96,21109660.79,305.00,-6.65,31000000,week +buy 50% ,,,,ZI,-1.27
2022-01-11,56.73,53.08,56.81,52.61,56.73,5039100,,,54.24,,,,,61.46,,,-1.24,False,False,52.50,30321386.96,0,7827941.96,22493445.00,305.00,-2.19,31000000,,,,,ZI,-0.63
2022-01-12,55.08,57.23,58.73,54.98,55.08,3329300,,,54.39,,,,,61.46,,,-1.06,False,False,52.50,29667162.75,0,7827941.96,21839220.79,305.00,-4.30,31000000,,,,,ZI,-0.40
2022-01-13,52.71,54.92,55.61,52.65,52.71,3945600,,,54.05,,,,,61.46,,,-1.15,False,False,52.50,28727456.56,0,7827941.96,20899514.60,305.00,-7.33,31000000,,,,,ZI,-1.43
2022-01-14,51.44,51.91,53.31,50.29,51.44,3384600,,,53.84,,,,,61.46,,,-1.27,False,False,51.44,28223901.56,0,7827941.96,20395959.60,305.00,-8.96,31000000,,,,,ZI,-1.41
2022-01-18,49.26,49.75,50.40,49.02,49.26,3895200,,,53.04,,,,,61.46,,,-1.52,False,False,49.26,27359531.17,0,7827941.96,19531589.21,305.00,-11.74,31000000,,,,,ZI,-2.70
2022-01-19,48.97,49.27,50.94,48.88,48.97,4186500,,,51.49,,,,,61.46,,,-1.62,False,False,48.97,27244547.36,0,7827941.96,19416605.40,305.00,-12.11,31000000,,,,,ZI,-3.45
2022-01-20,48.11,49.79,51.05,47.66,48.11,4253300,,,50.10,,,,,61.46,,,-1.68,False,False,48.11,26903557.36,0,7827941.96,19075615.40,305.00,-13.21,31000000,,,,,ZI,-4.24
2022-01-21,45.99,47.01,48.35,45.70,45.99,3175300,,,48.75,,,,,61.46,,,-1.86,False,False,45.99,26062977.75,0,7827941.96,18235035.79,305.00,-15.93,31000000,,,,,ZI,-5.63
2022-01-24,49.48,43.72,49.75,42.65,49.48,7838800,,,48.36,,,,,61.46,,,-1.43,False,False,45.99,27446761.96,0,3968501.96,23478260.00,365.00,-11.46,31000000,week +buy 50% ,33.26,,,ZI,-5.34
2022-01-25,47.37,47.64,48.99,46.40,47.37,5314700,,,47.98,,,,,61.46,,,-1.31,False,False,45.99,26445566.49,0,3968501.96,22477064.53,365.00,-14.69,31000000,,29.44,,,ZI,-6.33
2022-01-26,46.68,49.53,50.49,46.38,46.68,5016600,,,47.53,,,,,61.46,,,-1.22,False,False,45.99,26118161.96,0,3968501.96,22149660.00,365.00,-15.75,31000000,,28.30,,,ZI,-6.51
2022-01-27,46.31,47.90,49.52,45.97,46.31,3058700,,,47.17,,,,,61.46,,,-1.10,False,False,45.99,25942597.43,0,3968501.96,21974095.47,365.00,-16.31,31000000,,27.68,,,ZI,-6.91
2022-01-28,48.84,46.43,48.90,45.11,48.84,3411400,,,47.74,,,,,61.46,,,-0.61,False,False,45.99,27143081.96,0,3968501.96,23174580.00,365.00,-12.44,31000000,,37.74,,,ZI,-4.96
2022-01-31,52.86,49.50,52.91,49.25,52.86,4657800,60.06,35.06,48.41,51.73,,,,61.46,,,0.30,False,False,45.99,29050572.43,0,2044397.92,27006174.51,393.00,-6.29,31000000,week +buy 50% ,49.71,,,ZI,-3.46
2022-02-01,54.30,53.57,54.48,51.25,54.30,2825900,58.53,37.05,49.80,51.37,,,,61.46,,,1.08,False,False,45.99,30786267.41,0,3044397.92,27741869.49,393.00,-3.79,32000000,Monthly invest,53.18,,,ZI,-2.79
2022-02-02,52.52,54.67,54.67,51.83,52.52,2068200,57.39,38.39,50.97,51.06,,,,61.46,,,1.34,False,False,45.99,29876865.92,0,3044397.92,26832468.00,393.00,-6.63,32000000,,48.70,55.33,,ZI,-1.97
2022-02-03,49.11,50.26,51.44,48.71,49.11,2804700,56.99,38.40,51.53,50.79,,,,61.46,,,1.06,False,False,45.99,28134697.43,0,3044397.92,25090299.51,393.00,-12.08,32000000,,41.50,53.63,,ZI,-4.00
2022-02-04,52.00,49.03,52.57,48.82,52.00,3041100,56.68,38.66,52.16,50.68,,,,61.46,,,1.22,False,False,45.99,29611197.92,0,3044397.92,26566800.00,393.00,-7.47,32000000,,48.46,53.23,,ZI,-3.60
2022-02-07,52.29,52.21,54.11,51.71,52.29,2306100,56.66,38.68,52.04,50.66,,,,61.46,,,1.34,False,False,45.99,29759359.43,0,1548903.89,28210455.54,415.00,-7.00,32000000,week +buy 50% ,49.11,52.76,,ZI,-3.88
2022-02-08,53.65,51.59,53.70,51.25,53.65,1531300,56.72,38.62,51.91,50.69,,,,61.46,0.00,56.00,1.55,True,False,45.99,30493079.97,0,1548903.89,28944176.08,415.00,-4.71,32000000,,52.18,62.17,,ZI,-3.15
2022-02-09,55.81,54.45,55.93,53.38,55.81,2740500,56.50,38.92,52.57,50.64,,,,61.46,0.00,52.00,1.90,True,False,45.99,31658399.43,0,1548903.89,30109495.54,415.00,-1.07,32000000,,56.65,70.07,,ZI,-1.81
2022-02-10,56.95,54.70,59.89,54.26,56.95,5468200,56.92,38.35,54.14,50.73,,,,61.46,100.00,48.00,2.18,True,False,45.99,32273429.43,0,1548903.89,30724525.54,415.00,0.85,32000000,,58.83,77.73,,ZI,-3.44
