Date,rate_CSIQ,rate_CSIQ_5D,rate_CSIQ_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.25,,,-0.02,,
2022-01-05,-3.46,,,-0.97,,
2022-01-06,-3.44,,,-1.04,,
2022-01-07,-2.47,-1.9240000000000002,,-1.21,-0.648,
2022-01-10,-3.55,-2.634,,-1.27,-0.9019999999999999,
2022-01-11,-2.55,-3.094,,-0.63,-1.024,
2022-01-12,-2.03,-2.808,,-0.4,-0.9099999999999999,
2022-01-13,-6.84,-3.4879999999999995,,-1.43,-0.9879999999999999,
2022-01-14,-5.64,-4.122,,-1.41,-1.028,
2022-01-18,-7.99,-5.01,,-2.7,-1.314,
2022-01-19,-10.18,-6.536,,-3.45,-1.8780000000000001,
2022-01-20,-10.08,-8.146,,-4.24,-2.646,
2022-01-21,-13.17,-9.412,,-5.63,-3.4859999999999998,
2022-01-24,-12.12,-10.708,,-5.34,-4.272,
2022-01-25,-12.97,-11.704,,-6.33,-4.998,
2022-01-26,-11.15,-11.898,,-6.51,-5.609999999999999,
2022-01-27,-13.7,-12.622,,-6.91,-6.144,
2022-01-28,-13.2,-12.627999999999998,,-4.96,-6.01,
2022-01-31,-5.12,-11.228,-6.9955,-3.46,-5.634,-2.8954999999999997
2022-02-01,-5.57,-9.748000000000001,-7.273999999999999,-2.79,-4.926,-3.035
2022-02-02,-9.4,-9.398,-7.7315,-1.97,-4.018,-3.1325
2022-02-03,-11.76,-9.01,-8.1465,-4.0,-3.436,-3.284
2022-02-04,-9.03,-8.176,-8.425999999999998,-3.6,-3.164,-3.4120000000000004
2022-02-07,-8.88,-8.928,-8.746500000000001,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-6.84,-9.181999999999999,-8.911,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-4.06,-8.114,-8.9865,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-5.0,-6.7620000000000005,-9.135,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-6.0,-6.156000000000001,-9.093,-5.24,-3.504,-4.0409999999999995
2022-02-14,-6.78,-5.736,-9.15,-5.53,-3.8340000000000005,-4.247
2022-02-15,-0.24,-4.416,-8.7625,-4.08,-4.0200000000000005,-4.316
2022-02-16,0.49,-3.5060000000000002,-8.229,-3.98,-4.454,-4.3425
2022-02-17,-1.33,-2.772,-7.791500000000001,-5.93,-4.952,-4.427
2022-02-18,-3.39,-2.25,-7.302499999999999,-6.5,-5.204,-4.4704999999999995
2022-02-22,-9.57,-2.808,-7.175,-7.48,-5.593999999999999,-4.5775
2022-02-23,-9.2,-4.6,-6.9864999999999995,-9.06,-6.590000000000001,-4.714
2022-02-24,-1.0,-4.898000000000001,-6.479000000000001,-7.73,-7.340000000000001,-4.775
2022-02-25,1.45,-4.342,-5.7215,-5.81,-7.316,-4.720000000000001
2022-02-28,7.49,-2.1659999999999995,-4.687,-6.04,-7.224000000000001,-4.774
2022-03-01,10.84,1.9160000000000004,-3.8890000000000002,-7.18,-7.164,-4.96
2022-03-02,5.56,4.868,-3.3324999999999996,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,3.79,5.8260000000000005,-2.673,-6.03,-6.128,-5.3025
2022-03-04,4.69,6.474000000000001,-1.8504999999999998,-6.74,-6.314,-5.439500000000001
2022-03-07,8.04,6.5840000000000005,-0.9970000000000001,-9.33,-6.9719999999999995,-5.726
2022-03-08,20.71,8.558,0.48250000000000004,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,22.52,11.95,1.9505000000000003,-7.69,-7.954000000000001,-6.258
2022-03-10,16.54,14.5,2.9805,-8.09,-8.366,-6.572
2022-03-11,11.59,15.88,3.8099999999999996,-9.21,-8.86,-6.8605
2022-03-14,-1.25,14.022000000000002,4.047499999999999,-9.84,-8.962,-7.0905000000000005
2022-03-15,5.26,10.931999999999999,4.6495,-7.92,-8.55,-7.210000000000001
2022-03-16,13.03,9.034,5.313,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,15.47,8.82,6.061999999999999,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,19.04,10.31,7.080499999999999,-3.77,-6.45,-7.235000000000001
2022-03-21,20.51,14.662,8.275500000000001,-3.77,-5.236,-7.0985
2022-03-22,25.92,18.794000000000004,10.05,-2.68,-4.188,-6.858499999999999
2022-03-23,22.46,20.68,11.633,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,25.85,22.756000000000004,12.9755,-2.83,-3.3899999999999997,-6.3555
2022-03-25,21.36,23.220000000000002,13.971,-2.35,-3.106,-6.182499999999999
2022-03-28,20.9,23.298,14.641499999999999,-1.69,-2.69,-5.965000000000001
2022-03-29,22.39,22.592,15.219,-0.48,-2.25,-5.63
2022-03-30,19.01,21.902,15.891500000000002,-1.09,-1.688,-5.4055
2022-03-31,19.87,20.706,16.695500000000003,-2.57,-1.636,-5.2325
2022-04-01,20.77,20.588,17.4995,-2.24,-1.614,-5.0075
2022-04-04,27.63,21.934,18.479,-1.45,-1.566,-4.6135
2022-04-05,19.87,21.43,18.437,-2.62,-1.9939999999999998,-4.2455
2022-04-06,17.06,21.04,18.164,-3.57,-2.4899999999999998,-4.0395
2022-04-07,16.51,20.368000000000002,18.1625,-3.1,-2.596,-3.79
2022-04-08,13.94,19.002000000000002,18.28,-3.33,-2.814,-3.496
2022-04-11,14.97,16.470000000000002,19.091,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,14.6,15.416,19.558,-5.28,-4.044,-3.119
2022-04-13,16.09,15.222,19.711000000000002,-4.23,-4.176,-3.0345
2022-04-14,13.28,14.575999999999999,19.601499999999998,-5.37,-4.630000000000001,-3.063
2022-04-18,13.48,14.484,19.323500000000003,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,16.02,14.693999999999999,19.099,-3.88,-4.822000000000001,-3.1475
2022-04-20,9.71,13.716000000000003,18.2885,-3.95,-4.556,-3.211
2022-04-21,2.4,10.978,17.285500000000003,-5.34,-4.7780000000000005,-3.283
2022-04-22,-0.0,8.322,15.993,-7.86,-5.276,-3.5345
2022-04-25,-2.57,5.112,14.7965,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-6.77,0.5540000000000003,13.413,-9.95,-6.894,-4.1985
2022-04-27,-5.86,-2.56,12.000499999999999,-9.73,-8.05,-4.661
2022-04-28,-4.92,-4.024,10.804,-7.52,-8.485999999999999,-4.9825
2022-04-29,-6.74,-5.372,9.4735,-10.83,-9.08,-5.3955
2022-05-02,-5.6,-5.978,8.155,-9.99,-9.604,-5.7829999999999995
2022-05-03,-1.94,-5.012,6.6765,-9.62,-9.538,-6.1915
2022-05-04,3.39,-3.162,5.8525,-6.99,-8.99,-6.410000000000001
2022-05-05,-0.77,-2.332,4.961,-10.13,-9.512,-6.7379999999999995
2022-05-06,-4.57,-1.8979999999999997,3.907,-10.67,-9.48,-7.1165
2022-05-09,-12.65,-3.308,2.5775,-13.43,-10.168,-7.6215
2022-05-10,-12.35,-5.390000000000001,1.2115,-13.22,-10.888,-8.0355
2022-05-11,-20.69,-10.206,-0.5529999999999998,-14.58,-12.406,-8.500499999999999
2022-05-12,-23.24,-14.7,-2.5195,-14.64,-13.308000000000002,-9.021
2022-05-13,-17.19,-17.224,-4.042999999999999,-12.68,-13.709999999999999,-9.3865
2022-05-16,-17.56,-18.206,-5.595,-12.99,-13.622,-9.7685
2022-05-17,-9.21,-17.578,-6.8565,-11.29,-13.236,-10.139
2022-05-18,-7.32,-14.904,-7.708,-14.71,-13.262,-10.677
2022-05-19,-2.25,-10.706,-7.9405,-15.27,-13.388,-11.1735
2022-05-20,-0.12,-7.292,-7.9465,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-0.97,-3.974,-7.866499999999999,-13.68,-14.040000000000001,-11.8585
2022-05-24,4.05,-1.322,-7.3255,-14.29,-14.64,-12.075500000000002
2022-05-25,-0.8,-0.018000000000000016,-7.0725,-13.59,-14.416,-12.2685
2022-05-26,3.0,1.032,-6.6765,-11.92,-13.745999999999999,-12.4885
2022-05-27,6.35,2.3259999999999996,-6.022,-9.77,-12.65,-12.435500000000001
2022-05-31,8.92,4.304,-5.296,-10.26,-11.966,-12.449
