Date,rate_SOXX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,1.76
2019-01-31,3.48,2.79,0.69,2.23
2019-03-01,8.84,5.82,3.02,3.81
2019-03-29,11.27,6.59,4.68,4.93
2019-04-29,22.14,10.42,11.72,9.71
2019-05-28,2.7,5.19,-2.49,0.07
2019-06-25,9.55,9.51,0.04,1.79
2019-07-24,27.06,12.59,14.47,11.58
2019-08-21,16.19,8.26,7.93,7.14
2019-09-19,21.98,11.09,10.89,9.15
2019-10-17,22.16,10.2,11.96,9.88
2019-11-14,30.72,13.63,17.09,13.36
2019-12-13,35.39,16.06,19.33,14.88
2020-01-14,41.27,19.31,21.96,16.66
2020-02-12,45.43,22.17,23.26,17.55
2020-03-12,3.12,-7.39,10.51,8.89
2020-04-09,18.22,4.54,13.68,11.04
2020-05-08,30.33,9.68,20.65,15.77
2020-06-08,45.92,20.77,25.15,18.83
2020-07-07,46.51,16.81,29.7,21.92
2020-08-04,57.66,22.24,35.42,25.8
2020-09-01,61.59,26.62,34.97,25.49
2020-09-30,58.87,22.37,36.5,26.53
2020-10-28,56.18,18.79,37.39,27.14
2020-11-25,80.25,31.0,49.25,35.19
2020-12-24,87.22,32.65,54.57,38.8
2021-01-26,101.57,37.29,64.28,45.39
2021-02-24,109.83,39.48,70.35,49.51
2021-03-24,93.51,38.31,55.2,39.22
2021-04-22,103.07,44.93,58.14,41.22
2021-05-20,97.01,45.12,51.89,36.98
2021-06-18,100.91,44.74,56.17,39.88
2021-07-19,98.3,46.9,51.4,36.65
2021-08-16,109.95,52.69,57.26,40.62
2021-09-14,114.48,50.65,63.83,45.08
2021-10-12,98.3,46.96,51.34,36.6
2021-11-09,135.83,57.28,78.55,55.07
2021-12-08,144.14,57.14,87.0,60.81
2022-01-06,139.1,55.71,83.39,58.36
2022-02-04,113.26,48.73,64.53,45.56
2022-03-07,89.75,38.56,51.19,36.5
2022-04-04,108.01,50.04,57.97,41.11
2022-05-03,83.09,36.37,46.72,33.47
2022-06-01,82.75,33.73,49.02,35.03
2022-06-30,52.41,23.28,29.13,21.53
2022-07-29,76.74,34.14,42.6,30.67
2022-08-26,69.95,32.25,37.7,27.35
2022-09-26,47.19,20.34,26.85,19.98
2022-10-24,44.76,24.25,20.51,15.68
2022-11-21,63.54,29.08,34.46,25.15
2022-12-20,57.71,24.09,33.62,24.58
2023-01-20,70.36,28.72,41.64,30.02
2023-02-17,82.7,31.99,50.71,36.18
2023-03-20,87.8,27.76,60.04,42.51
2023-04-18,84.55,33.44,51.11,36.45
2023-05-16,81.86,31.79,50.07,35.74
2023-06-14,121.66,39.9,81.76,57.25
2023-07-14,120.93,43.27,77.66,54.47
2023-08-11,109.59,42.01,67.58,47.63
2023-09-11,108.87,42.23,66.64,46.99
2023-10-09,101.65,36.77,64.88,45.8
2023-11-06,98.6,37.4,61.2,43.3
2023-12-05,111.11,43.51,67.6,47.64
2024-01-04,122.75,46.32,76.43,53.63
2024-02-02,144.93,54.14,90.79,63.38
2024-03-04,179.84,59.08,120.76,83.72
2024-04-02,173.68,60.46,113.22,78.61
2024-04-30,162.0,55.27,106.73,74.2
2024-05-29,188.77,62.08,126.69,87.75
2024-06-27,194.73,68.1,126.63,87.71
2024-07-26,178.74,66.24,112.5,78.12
