Date,rate_CMG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,5.33
2019-01-31,2.67,2.79,-0.12,5.28
2019-03-01,15.55,5.82,9.73,9.88
2019-03-29,33.2,6.59,26.61,17.77
2019-04-29,26.28,10.42,15.86,12.75
2019-05-28,26.43,5.19,21.24,15.26
2019-06-25,35.48,9.51,25.97,17.48
2019-07-24,42.06,12.59,29.47,19.11
2019-08-21,46.83,8.26,38.57,23.37
2019-09-19,46.11,11.09,35.02,21.71
2019-10-17,44.46,10.2,34.26,21.35
2019-11-14,29.85,13.63,16.22,12.92
2019-12-13,40.29,16.06,24.23,16.66
2020-01-14,46.71,19.31,27.4,18.14
2020-02-12,52.55,22.17,30.38,19.54
2020-03-12,1.99,-7.39,9.38,9.72
2020-04-09,29.86,4.54,25.32,17.17
2020-05-08,54.76,9.68,45.08,26.41
2020-06-08,73.66,20.77,52.89,30.06
2020-07-07,81.55,16.81,64.74,35.6
2020-08-04,87.9,22.24,65.66,36.03
2020-09-01,104.94,26.62,78.32,41.95
2020-09-30,93.03,22.37,70.66,38.37
2020-10-28,92.48,18.79,73.69,39.78
2020-11-25,94.31,31.0,63.31,34.93
2020-12-24,112.92,32.65,80.27,42.86
2021-01-26,122.37,37.29,85.08,45.11
2021-02-24,114.27,39.48,74.79,40.3
2021-03-24,108.46,38.31,70.15,38.13
2021-04-22,114.78,44.93,69.85,37.99
2021-05-20,93.04,45.12,47.92,27.74
2021-06-18,99.73,44.74,54.99,31.04
2021-07-19,119.35,46.9,72.45,39.21
2021-08-16,161.78,52.69,109.09,56.33
2021-09-14,156.92,50.65,106.27,55.02
2021-10-12,146.74,46.96,99.78,51.98
2021-11-09,146.0,57.28,88.72,46.81
2021-12-08,133.75,57.14,76.61,41.15
2022-01-06,116.09,55.71,60.38,33.56
2022-02-04,96.39,48.73,47.66,27.62
2022-03-07,74.21,38.56,35.65,22.0
2022-04-04,110.21,50.04,60.17,33.46
2022-05-03,87.69,36.37,51.32,29.33
2022-06-01,77.25,33.73,43.52,25.68
2022-06-30,68.56,23.28,45.28,26.5
2022-07-29,100.5,34.14,66.36,36.36
2022-08-26,105.12,32.25,72.87,39.4
2022-09-26,92.51,20.34,72.17,39.07
2022-10-24,93.24,24.25,68.99,37.59
2022-11-21,85.76,29.08,56.68,31.83
2022-12-20,76.48,24.09,52.39,29.83
2023-01-20,91.14,28.72,62.42,34.52
2023-02-17,97.55,31.99,65.56,35.98
2023-03-20,95.52,27.76,67.76,37.01
2023-04-18,114.56,33.44,81.12,43.26
2023-05-16,145.55,31.79,113.76,58.52
2023-06-14,145.11,39.9,105.21,54.52
2023-07-14,142.76,43.27,99.49,51.85
2023-08-11,117.92,42.01,75.91,40.82
2023-09-11,124.39,42.23,82.16,43.74
2023-10-09,109.91,36.77,73.14,39.53
2023-11-06,135.38,37.4,97.98,51.14
2023-12-05,151.53,43.51,108.02,55.83
2024-01-04,149.2,46.32,102.88,53.43
2024-02-02,176.62,54.14,122.48,62.59
2024-03-04,200.92,59.08,141.84,71.65
2024-04-02,218.64,60.46,158.18,79.28
2024-04-30,246.91,55.27,191.64,94.93
2024-05-29,234.85,62.08,172.77,86.11
2024-06-27,237.54,68.1,169.44,84.55
2024-07-26,167.62,66.24,101.38,52.73
