Date,rate_AVGO_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,2950.0
2022-01-05,0.0,0.0,-57.73
2022-01-06,0.0,0.0,-89.42
2022-01-07,-1.25,0.0,-174.38
2022-01-10,-1.88,0.0,-148.82
2022-01-11,-2.61,0.0,-385.71
2022-01-12,-2.92,0.0,-667.5
2022-01-13,-3.71,0.0,-314.69
2022-01-14,-4.25,0.0,-326.95
2022-01-18,-5.25,0.0,-202.59
2022-01-19,-6.59,0.0,-182.9
2022-01-20,-8.3,0.0,-174.29
2022-01-21,-9.78,0.0,-136.41
2022-01-24,-11.04,0.0,-131.09
2022-01-25,-12.08,0.0,-111.22
2022-01-26,-12.17,0.0,-56.53
2022-01-27,-12.29,0.0,-77.13
2022-01-28,-11.58,0.0,-97.18
2022-01-31,-10.36,-2.9,-79.48
2022-02-01,-8.69,-3.04,-80.29
2022-02-02,-7.35,-3.13,-77.16
2022-02-03,-6.25,-3.28,-68.5
2022-02-04,-5.37,-3.41,-50.0
2022-02-07,-5.29,-3.55,-48.71
2022-02-08,-5.05,-3.64,-22.22
2022-02-09,-4.78,-3.7,-19.34
2022-02-10,-4.48,-3.85,-51.16
2022-02-11,-4.98,-4.04,-51.15
2022-02-14,-5.25,-4.25,-29.11
2022-02-15,-5.16,-4.32,17.4
2022-02-16,-5.57,-4.34,-6.28
2022-02-17,-5.95,-4.43,-19.22
2022-02-18,-5.75,-4.47,-6.46
2022-02-22,-5.78,-4.58,2.27
2022-02-23,-6.95,-4.71,-1.88
2022-02-24,-7.49,-4.78,10.48
2022-02-25,-7.21,-4.72,2.41
2022-02-28,-6.98,-4.77,4.64
2022-03-01,-7.16,-4.96,-14.76
2022-03-02,-6.49,-5.1,-4.66
2022-03-03,-6.49,-5.3,-15.09
2022-03-04,-6.21,-5.44,36.65
2022-03-07,-6.69,-5.73,12.65
2022-03-08,-6.51,-6.03,26.55
2022-03-09,-6.14,-6.26,47.72
2022-03-10,-5.85,-6.57,32.26
2022-03-11,-6.4,-6.86,23.67
2022-03-14,-6.49,-7.09,12.6
2022-03-15,-5.95,-7.21,41.41
2022-03-16,-5.62,-7.3,60.14
2022-03-17,-5.14,-7.34,36.04
2022-03-18,-4.1,-7.24,51.19
2022-03-21,-3.04,-7.1,12.73
2022-03-22,-2.45,-6.86,37.31
2022-03-23,-2.69,-6.6,7.95
2022-03-24,-1.94,-6.36,125.44
2022-03-25,-1.35,-6.18,147.23
2022-03-28,-0.34,-5.97,203.55
2022-03-29,0.62,-5.63,752.08
2022-03-30,1.64,-5.41,234.86
2022-03-31,1.74,-5.23,148.25
2022-04-01,1.68,-5.01,135.27
2022-04-04,1.73,-4.61,238.62
2022-04-05,0.85,-4.25,51.53
2022-04-06,-0.08,-4.04,10.92
2022-04-07,-0.93,-3.79,2.9
2022-04-08,-2.2,-3.5,-66.67
2022-04-11,-3.91,-3.25,-32.79
2022-04-12,-4.83,-3.12,-10.8
2022-04-13,-5.13,-3.03,-10.17
2022-04-14,-6.05,-3.06,-42.09
2022-04-18,-6.06,-3.14,-5.05
2022-04-19,-5.52,-3.15,1.03
2022-04-20,-5.12,-3.21,3.04
2022-04-21,-5.11,-3.28,13.48
2022-04-22,-4.69,-3.53,29.39
2022-04-25,-4.65,-3.79,26.73
2022-04-26,-5.85,-4.2,0.9
2022-04-27,-7.07,-4.66,-2.16
2022-04-28,-7.52,-4.98,9.18
2022-04-29,-8.56,-5.4,0.55
2022-05-02,-8.89,-5.78,29.53
