Date,rate_GOOGL,rate_GOOGL_5D,rate_GOOGL_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.2,,,-0.02,,
2022-01-05,-2.48,,,-0.97,,
2022-01-06,-2.49,,,-1.04,,
2022-01-07,-2.74,-1.582,,-1.21,-0.648,
2022-01-10,-2.17,-2.016,,-1.27,-0.9019999999999999,
2022-01-11,-1.61,-2.2980000000000005,,-0.63,-1.024,
2022-01-12,-0.73,-1.948,,-0.4,-0.9099999999999999,
2022-01-13,-2.22,-1.8940000000000001,,-1.43,-0.9879999999999999,
2022-01-14,-1.75,-1.6960000000000002,,-1.41,-1.028,
2022-01-18,-3.57,-1.9760000000000002,,-2.7,-1.314,
2022-01-19,-4.04,-2.4619999999999997,,-3.45,-1.8780000000000001,
2022-01-20,-4.98,-3.3120000000000003,,-4.24,-2.646,
2022-01-21,-6.53,-4.174,,-5.63,-3.4859999999999998,
2022-01-24,-6.3,-5.0840000000000005,,-5.34,-4.272,
2022-01-25,-8.68,-6.106,,-6.33,-4.998,
2022-01-26,-7.27,-6.752,,-6.51,-5.609999999999999,
2022-01-27,-7.41,-7.2379999999999995,,-6.91,-6.144,
2022-01-28,-4.73,-6.878,,-4.96,-6.01,
2022-01-31,-3.52,-6.322000000000001,-3.6710000000000003,-3.46,-5.634,-2.8954999999999997
2022-02-01,-1.91,-4.968,-3.7664999999999997,-2.79,-4.926,-3.035
2022-02-02,4.74,-2.566,-3.5195,-1.97,-4.018,-3.1325
2022-02-03,1.58,-0.768,-3.3165,-4.0,-3.436,-3.284
2022-02-04,1.72,0.522,-3.106,-3.6,-3.164,-3.4120000000000004
2022-02-07,-0.91,1.044,-3.0145,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-0.78,1.27,-2.945,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,0.7,0.462,-2.8295000000000003,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-1.3,-0.11400000000000006,-2.8579999999999997,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-4.23,-1.304,-2.9585,-5.24,-3.504,-4.0409999999999995
2022-02-14,-3.39,-1.8,-3.0405,-5.53,-3.8340000000000005,-4.247
2022-02-15,-2.64,-2.172,-2.994,-4.08,-4.0200000000000005,-4.316
2022-02-16,-1.86,-2.684,-2.8850000000000002,-3.98,-4.454,-4.3425
2022-02-17,-5.45,-3.5140000000000002,-2.9084999999999996,-5.93,-4.952,-4.427
2022-02-18,-6.93,-4.054,-2.9285,-6.5,-5.204,-4.4704999999999995
2022-02-22,-7.33,-4.8420000000000005,-2.98,-7.48,-5.593999999999999,-4.5775
2022-02-23,-8.87,-6.087999999999999,-2.9895,-9.06,-6.590000000000001,-4.714
2022-02-24,-5.35,-6.786,-2.8935000000000004,-7.73,-7.340000000000001,-4.775
2022-02-25,-4.13,-6.522,-2.7295,-5.81,-7.316,-4.720000000000001
2022-02-28,-3.71,-5.877999999999999,-2.6785,-6.04,-7.224000000000001,-4.774
2022-03-01,-4.28,-5.268,-2.7165,-7.18,-7.164,-4.96
2022-03-02,-3.93,-4.279999999999999,-2.8175,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-4.39,-4.087999999999999,-3.274,-6.03,-6.128,-5.3025
2022-03-04,-5.74,-4.41,-3.6399999999999997,-6.74,-6.314,-5.439500000000001
2022-03-07,-9.48,-5.564,-4.2,-9.33,-6.9719999999999995,-5.726
2022-03-08,-8.98,-6.504,-4.6035,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-4.6,-6.638,-4.7945,-7.69,-7.954000000000001,-6.258
2022-03-10,-5.29,-6.818,-5.094,-8.09,-8.366,-6.572
2022-03-11,-7.06,-7.081999999999999,-5.382,-9.21,-8.86,-6.8605
2022-03-14,-9.78,-7.142,-5.6594999999999995,-9.84,-8.962,-7.0905000000000005
2022-03-15,-7.5,-6.845999999999999,-5.865,-7.92,-8.55,-7.210000000000001
2022-03-16,-4.64,-6.853999999999999,-5.965,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-4.25,-6.645999999999999,-6.0845,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-2.64,-5.762,-5.944,-3.77,-6.45,-7.235000000000001
2022-03-21,-2.66,-4.338,-5.7305,-3.77,-5.236,-7.0985
2022-03-22,-0.0,-2.838,-5.364,-2.68,-4.188,-6.858499999999999
2022-03-23,-1.13,-2.136,-4.976999999999999,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,1.2,-1.046,-4.6495,-2.83,-3.3899999999999997,-6.3555
2022-03-25,1.27,-0.264,-4.3795,-2.35,-3.106,-6.182499999999999
2022-03-28,1.12,0.492,-4.138,-1.69,-2.69,-5.965000000000001
2022-03-29,1.86,0.8640000000000001,-3.8309999999999995,-0.48,-2.25,-5.63
2022-03-30,1.46,1.3820000000000001,-3.5615,-1.09,-1.688,-5.4055
2022-03-31,-0.58,1.026,-3.371,-2.57,-1.636,-5.2325
2022-04-01,0.18,0.808,-3.075,-2.24,-1.614,-5.0075
2022-04-04,2.13,1.0100000000000002,-2.4945,-1.45,-1.566,-4.6135
2022-04-05,0.71,0.78,-2.01,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-1.71,0.146,-1.8654999999999997,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-2.1,-0.158,-1.706,-3.1,-2.596,-3.79
2022-04-08,-3.65,-0.924,-1.5355,-3.33,-2.814,-3.496
2022-04-11,-6.31,-2.6119999999999997,-1.3619999999999999,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-7.05,-4.164,-1.3395,-5.28,-4.044,-3.119
2022-04-13,-5.61,-4.944,-1.388,-4.23,-4.176,-3.0345
