Date,rate_BAC_5D,rate_BAC_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,1.6800000000000002,,-0.648,
2022-01-10,2.276,,-0.9019999999999999,
2022-01-11,2.568,,-1.024,
2022-01-12,2.9240000000000004,,-0.9099999999999999,
2022-01-13,3.0439999999999996,,-0.9879999999999999,
2022-01-14,2.664,,-1.028,
2022-01-18,1.8139999999999996,,-1.314,
2022-01-19,0.9339999999999999,,-1.8780000000000001,
2022-01-20,-0.054000000000000006,,-2.646,
2022-01-21,-1.276,,-3.4859999999999998,
2022-01-24,-2.3440000000000003,,-4.272,
2022-01-25,-2.558,,-4.998,
2022-01-26,-2.654,,-5.609999999999999,
2022-01-27,-2.692,,-6.144,
2022-01-28,-2.316,,-6.01,
2022-01-31,-1.72,0.06999999999999998,-5.634,-2.8954999999999997
2022-02-01,-1.1380000000000001,0.09849999999999999,-4.926,-3.035
2022-02-02,-0.75,0.024499999999999984,-4.018,-3.1325
2022-02-03,-0.38,-0.050500000000000024,-3.436,-3.284
2022-02-04,0.5599999999999999,0.0030000000000000027,-3.164,-3.4120000000000004
2022-02-07,1.486,0.021499999999999984,-3.2479999999999998,-3.5454999999999997
2022-02-08,2.45,0.14199999999999996,-3.3200000000000003,-3.6395000000000004
2022-02-09,3.3920000000000003,0.23049999999999998,-3.2879999999999994,-3.6985000000000006
2022-02-10,4.42,0.3235,-3.1759999999999997,-3.8505000000000003
2022-02-11,4.268,0.30900000000000005,-3.504,-4.0409999999999995
2022-02-14,3.8240000000000003,0.3115,-3.8340000000000005,-4.247
2022-02-15,3.18,0.4835,-4.0200000000000005,-4.316
2022-02-16,2.5320000000000005,0.6300000000000001,-4.454,-4.3425
2022-02-17,1.3060000000000003,0.6635000000000001,-4.952,-4.427
2022-02-18,0.4940000000000001,0.7515000000000001,-5.204,-4.4704999999999995
2022-02-22,-0.2799999999999998,0.8275,-5.593999999999999,-4.5775
2022-02-23,-1.5339999999999996,0.7394999999999999,-6.590000000000001,-4.714
2022-02-24,-3.2359999999999993,0.48450000000000004,-7.340000000000001,-4.775
2022-02-25,-3.6739999999999995,0.41800000000000004,-7.316,-4.720000000000001
2022-02-28,-4.4079999999999995,0.2285000000000001,-7.224000000000001,-4.774
2022-03-01,-5.651999999999999,-0.15549999999999992,-7.164,-4.96
2022-03-02,-6.2879999999999985,-0.5479999999999999,-6.467999999999999,-5.099500000000001
2022-03-03,-6.706,-1.0044999999999997,-6.128,-5.3025
2022-03-04,-8.346,-1.5735,-6.314,-5.439500000000001
2022-03-07,-10.713999999999999,-2.59,-6.9719999999999995,-5.726
2022-03-08,-12.3,-3.6020000000000003,-7.531999999999999,-6.031000000000001
2022-03-09,-13.138,-4.445,-7.954000000000001,-6.258
2022-03-10,-13.858,-5.317,-8.366,-6.572
2022-03-11,-14.09,-6.201,-8.86,-6.8605
2022-03-14,-12.886000000000001,-6.8785,-8.962,-7.0905000000000005
2022-03-15,-11.662,-7.4735,-8.55,-7.210000000000001
2022-03-16,-10.914000000000001,-7.968500000000001,-8.196000000000002,-7.302000000000001
2022-03-17,-9.912,-8.428,-7.537999999999999,-7.343000000000001
2022-03-18,-8.824000000000002,-8.7335,-6.45,-7.235000000000001
2022-03-21,-8.128,-9.034,-5.236,-7.0985
2022-03-22,-6.984,-9.1495,-4.188,-6.858499999999999
2022-03-23,-6.859999999999999,-9.3,-3.7840000000000003,-6.600500000000001
2022-03-24,-6.8420000000000005,-9.3295,-3.3899999999999997,-6.3555
2022-03-25,-6.4860000000000015,-9.4365,-3.106,-6.182499999999999
