Date,rate_ED_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,69.22
2019-03-01,8.08,4.45,3.63,73.77
2019-04-29,10.21,7.58,2.63,72.51
2019-06-25,15.43,7.2,8.23,79.53
2019-08-21,14.66,7.24,7.42,78.51
2019-10-17,18.19,8.87,9.32,80.89
2019-12-13,14.13,13.19,0.94,70.4
2020-02-12,20.03,18.03,2.0,71.73
2020-04-09,14.26,3.89,10.37,82.21
2020-06-08,2.29,14.68,-12.39,53.71
2020-08-04,0.17,16.26,-16.09,49.07
2020-09-30,2.4,17.41,-15.01,50.43
2020-11-25,3.4,24.05,-20.65,43.36
2021-01-26,-6.4,29.15,-35.55,24.71
2021-03-24,-2.72,30.35,-33.07,27.81
2021-05-20,3.12,36.67,-33.55,27.21
2021-07-19,-2.32,38.99,-41.31,17.49
2021-09-14,-1.83,43.6,-45.43,12.33
2021-11-09,2.43,49.14,-46.71,10.73
2022-01-06,11.25,49.24,-37.99,21.65
2022-03-07,16.83,37.68,-20.85,43.11
2022-05-03,19.34,36.93,-17.59,47.2
2022-06-30,22.64,27.61,-4.97,63.0
2022-08-26,26.65,34.27,-7.62,59.68
2022-10-24,10.46,27.92,-17.46,47.36
2022-12-20,22.04,28.33,-6.29,61.34
2023-02-17,20.47,34.71,-14.24,51.39
2023-04-18,25.47,36.36,-10.89,55.58
2023-06-14,19.47,41.83,-22.36,41.22
2023-08-11,17.64,43.86,-26.22,36.39
2023-10-09,13.8,40.69,-26.89,35.55
2023-12-05,18.06,46.52,-28.46,33.58
2024-02-02,17.96,55.53,-37.57,22.18
2024-04-02,17.37,61.42,-44.05,14.06
2024-05-29,18.91,63.18,-44.27,13.79
2024-07-26,24.21,67.5,-43.29,15.01
