Ticker,Relative_Divergence
AAPL,89.2
MSFT,81.09
NVDA,91.54
GOOG,69.46
AMZN,43.24
META,77.54
CRM,35.19
ADBE,25.99
AMD,53.29
ACN,23.04
QCOM,55.6
CSCO,9.59
INTU,33.92
IBM,70.34
PDD,27.7
NOW,82.96
MS,42.66
INTC,3.35
ANET,84.18
ADI,69.5
KLAC,85.23
PANW,72.26
AMT,12.64
V,25.38
MA,34.25
BAC,35.4
WFC,72.62
BLK,23.16
BX,57.43
GS,93.89
C,26.91
KKR,98.83
TSLA,44.24
AMZN,43.24
HD,20.63
NKE,5.12
MCD,9.44
SBUX,6.09
TJX,89.45
BKNG,75.62
CMG,53.85
TGT,5.44
LOW,37.62
EXPE,11.46
DG,0.88
JD,2.27
LLY,79.84
UNH,45.66
ABBV,62.82
JNJ,18.03
MRK,55.52
TMO,29.17
ABT,11.19
PFE,11.21
DHR,31.01
CVS,9.64
CI,50.32
GILD,21.36
AMGN,56.59
ISRG,91.29
REGN,89.88
VRTX,96.94
HCA,93.93
META,77.54
GOOGL,68.03
NFLX,65.19
DIS,1.69
VZ,5.54
T,10.59
CMCSA,11.42
SPOT,63.47
ROKU,10.34
LYFT,8.16
UBER,69.98
EA,18.58
GE,95.83
UPS,3.45
BA,7.93
CAT,73.22
MMM,34.69
HON,1.31
RTX,49.25
DE,24.58
LMT,47.2
NOC,23.1
UNP,23.19
WM,49.21
ETN,72.3
CSX,19.48
FDX,45.33
WMT,60.4
KO,24.72
PEP,18.03
PG,15.25
COST,84.81
MDLZ,13.26
CL,37.16
PM,33.58
MO,19.29
KHC,11.52
HSY,10.3
KR,33.74
GIS,13.02
EL,3.71
STZ,14.35
MKC,13.34
XOM,56.98
CVX,27.87
COP,41.89
EOG,45.15
PSX,60.58
MPC,65.36
VLO,69.08
OKE,68.65
KMI,33.72
WMB,66.26
SLB,41.45
HAL,36.68
BKR,55.41
LIN,67.23
ALB,2.03
NEM,21.23
FMC,8.44
APD,10.99
CF,25.25
ECL,36.36
LYB,15.68
PPG,7.7
SHW,52.17
CE,15.49
DD,23.46
AMT,12.64
PLD,14.63
EQIX,8.31
PSA,12.23
AVB,11.93
SPG,44.69
O,13.9
VICI,23.06
EXR,17.96
MAA,7.4
EQR,11.83
NEE,26.26
DUK,19.76
SO,32.77
AEP,19.92
EXC,12.9
D,8.51
SRE,18.83
XEL,13.81
ED,21.26
ES,11.81
PEG,34.08
WEC,10.4
