Date,rate_MMM WD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,0.9
2019-03-01,68.88,5.82,63.06,2.37
2019-04-29,38.0,10.42,27.58,1.54
2019-06-25,25.38,9.51,15.87,1.27
2019-08-21,17.22,8.26,8.96,1.11
2019-10-17,26.61,10.2,16.41,1.28
2019-12-13,29.91,16.06,13.85,1.23
2020-02-12,22.41,22.17,0.24,0.91
2020-04-09,-23.77,4.54,-28.31,0.25
2020-06-08,-1.26,20.77,-22.03,0.39
2020-08-04,4.12,22.24,-18.12,0.48
2020-09-30,179.19,22.37,156.82,4.55
2020-11-25,287.83,31.0,256.83,6.87
2021-01-26,2757.64,37.29,2720.35,64.13
2021-03-24,2335.67,38.31,2297.36,54.3
2021-05-20,686.56,45.12,641.44,15.81
2021-07-19,550.99,46.9,504.09,12.62
2021-09-14,433.67,50.65,383.02,9.81
2021-11-09,453.94,57.28,396.66,10.12
2022-01-06,292.94,55.71,237.23,6.42
2022-03-07,309.63,38.56,271.07,7.2
2022-05-03,275.24,36.37,238.87,6.46
2022-06-30,230.5,23.28,207.22,5.72
2022-08-26,260.08,32.25,227.83,6.2
2022-10-24,192.8,24.25,168.55,4.82
2022-12-20,173.79,24.09,149.7,4.38
2023-02-17,175.44,31.99,143.45,4.24
2023-04-18,167.78,33.44,134.34,4.03
2023-06-14,172.4,39.9,132.5,3.98
2023-08-11,158.63,42.01,116.62,3.61
2023-10-09,134.89,36.77,98.12,3.18
2023-12-05,141.94,43.51,98.43,3.19
2024-02-02,119.52,54.14,65.38,2.42
2024-04-02,113.26,60.46,52.8,2.13
2024-05-29,102.06,62.08,39.98,1.83
2024-07-26,101.77,66.24,35.53,1.73
