Date,rate_NEE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,35.53
2019-03-01,7.25,4.45,2.8,38.31
2019-04-29,9.44,7.58,1.86,37.37
2019-06-25,16.95,7.2,9.75,45.21
2019-08-21,24.78,7.24,17.54,52.94
2019-10-17,29.89,8.87,21.02,56.4
2019-12-13,32.93,13.19,19.74,55.13
2020-02-12,50.26,18.03,32.23,67.53
2020-04-09,37.27,3.89,33.38,68.67
2020-06-08,45.17,14.68,30.49,65.8
2020-08-04,57.95,16.26,41.69,76.92
2020-09-30,54.05,17.41,36.64,71.91
2020-11-25,67.74,24.05,43.69,78.91
2021-01-26,87.0,29.15,57.85,92.97
2021-03-24,61.21,30.35,30.86,66.17
2021-05-20,64.24,36.67,27.57,62.9
2021-07-19,69.86,38.99,30.87,66.18
2021-09-14,85.77,43.6,42.17,77.4
2021-11-09,86.4,49.14,37.26,72.53
2022-01-06,88.12,49.24,38.88,74.13
2022-03-07,84.81,37.68,47.13,82.33
2022-05-03,56.9,36.93,19.97,55.36
2022-06-30,70.84,27.61,43.23,78.45
2022-08-26,92.88,34.27,58.61,93.72
2022-10-24,62.14,27.92,34.22,69.51
2022-12-20,83.44,28.33,55.11,90.25
2023-02-17,67.95,34.71,33.24,68.53
2023-04-18,72.58,36.36,36.22,71.49
2023-06-14,62.39,41.83,20.56,55.94
2023-08-11,53.07,43.86,9.21,44.67
2023-10-09,12.31,40.69,-28.38,7.35
2023-12-05,30.84,46.52,-15.68,19.96
2024-02-02,30.67,55.53,-24.86,10.84
2024-04-02,40.51,61.42,-20.91,14.77
2024-05-29,69.21,63.18,6.03,41.52
2024-07-26,64.18,67.5,-3.32,32.23
