Date,rate_OKE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,85.88
2019-03-01,6.14,4.45,1.69,87.87
2019-04-29,10.07,7.58,2.49,88.81
2019-06-25,7.35,7.2,0.15,86.06
2019-08-21,13.73,7.24,6.49,93.51
2019-10-17,10.14,8.87,1.27,87.37
2019-12-13,16.57,13.19,3.38,89.85
2020-02-12,21.21,18.03,3.18,89.62
2020-04-09,-48.31,3.89,-52.2,24.5
2020-06-08,-15.12,14.68,-29.8,50.84
2020-08-04,-46.97,16.26,-63.23,11.53
2020-09-30,-52.4,17.41,-69.81,3.8
2020-11-25,-32.86,24.05,-56.91,18.97
2021-01-26,-25.12,29.15,-54.27,22.07
2021-03-24,-13.93,30.35,-44.28,33.82
2021-05-20,-5.57,36.67,-42.24,36.21
2021-07-19,-11.47,38.99,-50.46,26.55
2021-09-14,-6.65,43.6,-50.25,26.8
2021-11-09,12.99,49.14,-36.15,43.37
2022-01-06,7.89,49.24,-41.35,37.26
2022-03-07,19.48,37.68,-18.2,64.48
2022-05-03,13.75,36.93,-23.18,58.62
2022-06-30,-2.51,27.61,-30.12,50.46
2022-08-26,13.28,34.27,-20.99,61.2
2022-10-24,-1.14,27.92,-29.06,51.71
2022-12-20,11.01,28.33,-17.32,65.51
2023-02-17,17.37,34.71,-17.34,65.49
2023-04-18,16.49,36.36,-19.87,62.52
2023-06-14,5.82,41.83,-36.01,43.54
2023-08-11,15.64,43.86,-28.22,52.7
2023-10-09,15.15,40.69,-25.54,55.85
2023-12-05,20.78,46.52,-25.74,55.61
2024-02-02,19.11,55.53,-36.42,43.06
2024-04-02,38.9,61.42,-22.52,59.4
2024-05-29,38.2,63.18,-24.98,56.51
2024-07-26,42.31,67.5,-25.19,56.26
