Date,rate_ABT,rate_ABT_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-1.17,0.0,0.0
2022-01-05,-1.38,0.0,0.0
2022-01-06,-1.39,0.0,0.0
2022-01-07,-1.24,-1.036,0.0
2022-01-10,-1.35,-1.3059999999999998,0.0
2022-01-11,-1.11,-1.294,0.0
2022-01-12,-2.18,-1.4540000000000002,0.0
2022-01-13,-4.38,-2.0520000000000005,0.0
2022-01-14,-5.19,-2.842,0.0
2022-01-18,-6.05,-3.782,0.0
2022-01-19,-6.33,-4.8260000000000005,0.0
2022-01-20,-7.05,-5.8,0.0
2022-01-21,-6.45,-6.214,0.0
2022-01-24,-7.54,-6.684,0.0
2022-01-25,-7.89,-7.052,0.0
2022-01-26,-9.94,-7.773999999999999,0.0
2022-01-27,-9.7,-8.303999999999998,0.0
2022-01-28,-6.55,-8.324,0.0
2022-01-31,-5.2,-7.856,-2.8954999999999997
2022-02-01,-5.21,-7.3199999999999985,-3.035
2022-02-02,-3.31,-5.994,-3.1325
2022-02-03,-3.26,-4.706,-3.284
2022-02-04,-3.53,-4.101999999999999,-3.4120000000000004
2022-02-07,-4.64,-3.9899999999999998,-3.5454999999999997
2022-02-08,-4.22,-3.7919999999999994,-3.6395000000000004
2022-02-09,-2.92,-3.714,-3.6985000000000006
2022-02-10,-4.85,-4.032,-3.8505000000000003
2022-02-11,-6.45,-4.616,-4.0409999999999995
2022-02-14,-8.37,-5.361999999999999,-4.247
2022-02-15,-7.5,-6.017999999999999,-4.316
2022-02-16,-7.72,-6.978,-4.3425
2022-02-17,-9.96,-8.0,-4.427
2022-02-18,-12.7,-9.25,-4.4704999999999995
2022-02-22,-12.18,-10.012,-4.5775
2022-02-23,-12.37,-10.986,-4.714
2022-02-24,-11.3,-11.702,-4.775
2022-02-25,-8.64,-11.437999999999999,-4.720000000000001
2022-02-28,-9.93,-10.883999999999999,-4.774
2022-03-01,-11.37,-10.722,-4.96
2022-03-02,-9.81,-10.209999999999999,-5.099500000000001
2022-03-03,-9.38,-9.826,-5.3025
2022-03-04,-9.07,-9.912,-5.439500000000001
2022-03-07,-10.88,-10.102,-5.726
2022-03-08,-12.88,-10.404,-6.031000000000001
2022-03-09,-11.22,-10.686000000000002,-6.258
2022-03-10,-12.23,-11.256,-6.572
2022-03-11,-14.4,-12.322,-6.8605
2022-03-14,-13.31,-12.808000000000002,-7.0905000000000005
2022-03-15,-11.87,-12.606,-7.210000000000001
2022-03-16,-10.39,-12.440000000000001,-7.302000000000001
2022-03-17,-9.13,-11.82,-7.343000000000001
2022-03-18,-8.21,-10.582,-7.235000000000001
2022-03-21,-8.71,-9.662,-7.0985
2022-03-22,-8.62,-9.012,-6.858499999999999
2022-03-23,-12.3,-9.394,-6.600500000000001
2022-03-24,-11.63,-9.894000000000002,-6.3555
2022-03-25,-10.8,-10.412,-6.182499999999999
2022-03-28,-10.03,-10.676,-5.965000000000001
2022-03-29,-9.88,-10.928,-5.63
2022-03-30,-9.73,-10.414,-5.4055
2022-03-31,-11.24,-10.336,-5.2325
2022-04-01,-10.75,-10.326,-5.0075
2022-04-04,-10.53,-10.426,-4.6135
2022-04-05,-10.09,-10.468,-4.2455
2022-04-06,-9.75,-10.472,-4.0395
2022-04-07,-7.24,-9.672,-3.79
2022-04-08,-7.32,-8.986,-3.496
2022-04-11,-9.68,-8.815999999999999,-3.2510000000000003
2022-04-12,-10.9,-8.978,-3.119
2022-04-13,-10.1,-9.048,-3.0345
2022-04-14,-11.42,-9.884,-3.063
2022-04-18,-12.46,-10.912,-3.1420000000000003
2022-04-19,-9.71,-10.918000000000001,-3.1475
2022-04-20,-7.73,-10.284,-3.211
2022-04-21,-7.18,-9.7,-3.283
2022-04-22,-9.96,-9.408,-3.5345
2022-04-25,-9.69,-8.854,-3.7855000000000003
2022-04-26,-11.96,-9.303999999999998,-4.1985
2022-04-27,-12.14,-10.186000000000002,-4.661
2022-04-28,-11.18,-10.986,-4.9825
2022-04-29,-14.54,-11.902000000000001,-5.3955
2022-05-02,-14.61,-12.886000000000001,-5.7829999999999995
2022-05-03,-14.91,-13.475999999999999,-6.1915
2022-05-04,-12.49,-13.545999999999998,-6.410000000000001
2022-05-05,-14.48,-14.206,-6.7379999999999995
2022-05-06,-15.03,-14.303999999999998,-7.1165
2022-05-09,-18.63,-15.107999999999999,-7.6215
2022-05-10,-19.11,-15.947999999999999,-8.0355
2022-05-11,-19.79,-17.408,-8.500499999999999
2022-05-12,-18.2,-18.151999999999997,-9.021
2022-05-13,-16.77,-18.5,-9.3865
2022-05-16,-16.9,-18.154,-9.7685
2022-05-17,-13.28,-16.988,-10.139
2022-05-18,-14.63,-15.956,-10.677
2022-05-19,-14.85,-15.285999999999998,-11.1735
2022-05-20,-14.25,-14.782,-11.543000000000001
2022-05-23,-12.91,-13.984,-11.8585
2022-05-24,-13.86,-14.1,-12.075500000000002
2022-05-25,-14.29,-14.032,-12.2685
2022-05-26,-13.03,-13.668000000000001,-12.4885
2022-05-27,-11.66,-13.15,-12.435500000000001
2022-05-31,-11.09,-12.786,-12.449
2022-06-01,-12.51,-12.516,-12.502500000000001
2022-06-02,-10.71,-11.8,-12.606
2022-06-03,-11.41,-11.476,-12.624500000000001
2022-06-06,-11.53,-11.45,-12.604
2022-06-07,-11.18,-11.468,-12.4025
2022-06-08,-12.83,-11.532,-12.26
2022-06-09,-14.33,-12.256,-12.152
2022-06-10,-16.65,-13.303999999999998,-12.1665
