Date,rate_CI_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,61.68
2019-03-01,-4.31,4.45,-8.76,49.76
2019-04-29,-11.16,7.58,-18.74,36.19
2019-06-25,-11.39,7.2,-18.59,36.39
2019-08-21,-10.51,7.24,-17.75,37.54
2019-10-17,-9.56,8.87,-18.43,36.61
2019-12-13,0.23,13.19,-12.96,44.05
2020-02-12,12.97,18.03,-5.06,54.79
2020-04-09,-2.91,3.89,-6.8,52.43
2020-06-08,10.35,14.68,-4.33,55.79
2020-08-04,-6.16,16.26,-22.42,31.18
2020-09-30,-7.75,17.41,-25.16,27.46
2020-11-25,6.91,24.05,-17.14,38.37
2021-01-26,10.32,29.15,-18.83,36.07
2021-03-24,19.99,30.35,-10.36,47.59
2021-05-20,27.83,36.67,-8.84,49.65
2021-07-19,14.95,38.99,-24.04,28.98
2021-09-14,5.6,43.6,-38.0,10.0
2021-11-09,10.49,49.14,-38.65,9.11
2022-01-06,14.92,49.24,-34.32,15.0
2022-03-07,18.94,37.68,-18.74,36.19
2022-05-03,22.62,36.93,-14.31,42.21
2022-06-30,28.95,27.61,1.34,63.5
2022-08-26,37.28,34.27,3.01,65.77
2022-10-24,45.89,27.92,17.97,86.11
2022-12-20,54.7,28.33,26.37,97.54
2023-02-17,43.59,34.71,8.88,73.75
2023-04-18,27.46,36.36,-8.9,49.57
2023-06-14,29.05,41.83,-12.78,44.29
2023-08-11,39.09,43.86,-4.77,55.19
2023-10-09,39.15,40.69,-1.54,59.58
2023-12-05,26.71,46.52,-19.81,34.73
2024-02-02,52.47,55.53,-3.06,57.51
2024-04-02,67.78,61.42,6.36,70.33
2024-05-29,56.02,63.18,-7.16,51.94
2024-07-26,60.2,67.5,-7.3,51.75
