Date,rate_CMCSA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,72.38
2019-03-01,8.53,4.45,4.08,76.76
2019-04-29,19.84,7.58,12.26,85.55
2019-06-25,18.02,7.2,10.82,84.01
2019-08-21,21.56,7.24,14.32,87.77
2019-10-17,26.29,8.87,17.42,91.1
2019-12-13,20.18,13.19,6.99,79.89
2020-02-12,26.52,18.03,8.49,81.5
2020-04-09,5.67,3.89,1.78,74.29
2020-06-08,18.98,14.68,4.3,77.0
2020-08-04,19.22,16.26,2.96,75.56
2020-09-30,27.15,17.41,9.74,82.85
2020-11-25,41.55,24.05,17.5,91.19
2021-01-26,37.1,29.15,7.95,80.92
2021-03-24,52.26,30.35,21.91,95.93
2021-05-20,49.97,36.67,13.3,86.67
2021-07-19,54.11,38.99,15.12,88.63
2021-09-14,51.4,43.6,7.8,80.76
2021-11-09,46.62,49.14,-2.52,69.67
2022-01-06,38.2,49.24,-11.04,60.51
2022-03-07,27.25,37.68,-10.43,61.17
2022-05-03,11.83,36.93,-25.1,45.4
2022-06-30,8.89,27.61,-18.72,52.26
2022-08-26,2.55,34.27,-31.72,38.28
2022-10-24,-12.32,27.92,-40.24,29.13
2022-12-20,-3.66,28.33,-31.99,37.99
2023-02-17,8.58,34.71,-26.13,44.29
2023-04-18,6.37,36.36,-29.99,40.14
2023-06-14,13.05,41.83,-28.78,41.44
2023-08-11,26.55,43.86,-17.31,53.77
2023-10-09,21.5,40.69,-19.19,51.75
2023-12-05,15.06,46.52,-31.46,38.56
2024-02-02,24.1,55.53,-31.43,38.6
2024-04-02,15.58,61.42,-45.84,23.11
2024-05-29,5.51,63.18,-57.67,10.39
2024-07-26,10.06,67.5,-57.44,10.64
