Date,rate_ADSK_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,37.71
2019-01-31,5.37,2.79,2.58,40.01
2019-03-01,10.81,5.82,4.99,42.16
2019-03-29,8.94,6.59,2.35,39.81
2019-04-29,22.68,10.42,12.26,48.64
2019-05-28,11.42,5.19,6.23,43.27
2019-06-25,12.59,9.51,3.08,40.46
2019-07-24,19.19,12.59,6.6,43.6
2019-08-21,0.12,8.26,-8.14,30.46
2019-09-19,5.67,11.09,-5.42,32.88
2019-10-17,-0.59,10.2,-10.79,28.1
2019-11-14,8.76,13.63,-4.87,33.37
2019-12-13,22.73,16.06,6.67,43.66
2020-01-14,29.97,19.31,10.66,47.22
2020-02-12,39.85,22.17,17.68,53.47
2020-03-12,-8.1,-7.39,-0.71,37.08
2020-04-09,11.1,4.54,6.56,43.56
2020-05-08,23.59,9.68,13.91,50.11
2020-06-08,55.21,20.77,34.44,68.41
2020-07-07,57.61,16.81,40.8,74.08
2020-08-04,57.03,22.24,34.79,68.72
2020-09-01,62.76,26.62,36.14,69.92
2020-09-30,53.46,22.37,31.09,65.42
2020-10-28,56.56,18.79,37.77,71.38
2020-11-25,78.62,31.0,47.62,80.15
2020-12-24,95.21,32.65,62.56,93.47
2021-01-26,87.32,37.29,50.03,82.3
2021-02-24,90.27,39.48,50.79,82.98
2021-03-24,66.42,38.31,28.11,62.77
2021-04-22,80.58,44.93,35.65,69.49
2021-05-20,75.0,45.12,29.88,64.34
2021-06-18,71.8,44.74,27.06,61.83
2021-07-19,76.2,46.9,29.3,63.83
2021-08-16,98.1,52.69,45.41,78.18
2021-09-14,81.2,50.65,30.55,64.94
2021-10-12,77.44,46.96,30.48,64.88
2021-11-09,109.84,57.28,52.56,84.56
2021-12-08,75.12,57.14,17.98,53.74
2022-01-06,66.4,55.71,10.69,47.24
2022-02-04,51.31,48.73,2.58,40.01
2022-03-07,24.65,38.56,-13.91,25.32
2022-04-04,36.38,50.04,-13.66,25.54
2022-05-03,20.29,36.37,-16.08,23.38
2022-06-01,28.68,33.73,-5.05,33.21
2022-06-30,6.81,23.28,-16.47,23.04
2022-07-29,34.06,34.14,-0.08,37.64
2022-08-26,30.78,32.25,-1.47,36.4
2022-09-26,16.79,20.34,-3.55,34.55
2022-10-24,31.0,24.25,6.75,43.73
2022-11-21,31.81,29.08,2.73,40.15
2022-12-20,20.18,24.09,-3.91,34.23
2023-01-20,31.37,28.72,2.65,40.08
2023-02-17,39.8,31.99,7.81,44.68
2023-03-20,27.09,27.76,-0.67,37.12
2023-04-18,24.87,33.44,-8.57,30.08
2023-05-16,21.94,31.79,-9.85,28.94
2023-06-14,34.33,39.9,-5.57,32.75
2023-07-14,34.34,43.27,-8.93,29.76
2023-08-11,29.47,42.01,-12.54,26.54
2023-09-11,33.4,42.23,-8.83,29.85
2023-10-09,28.21,36.77,-8.56,30.09
2023-11-06,22.75,37.4,-14.65,24.66
2023-12-05,33.51,43.51,-10.0,28.8
2024-01-04,38.18,46.32,-8.14,30.46
2024-02-02,54.14,54.14,0.0,37.71
2024-03-04,56.07,59.08,-3.01,35.03
2024-04-02,48.37,60.46,-12.09,26.94
2024-04-30,27.06,55.27,-28.21,12.57
2024-05-29,24.17,62.08,-37.91,3.93
2024-06-27,44.71,68.1,-23.39,16.87
2024-07-26,42.57,66.24,-23.67,16.62
