Date,rate_KKR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.82
2019-01-31,3.83,2.79,1.04,5.33
2019-03-01,3.19,5.82,-2.63,3.53
2019-03-29,7.13,6.59,0.54,5.09
2019-04-29,12.84,10.42,2.42,6.01
2019-05-28,6.88,5.19,1.69,5.65
2019-06-25,8.59,9.51,-0.92,4.37
2019-07-24,23.14,12.59,10.55,10.02
2019-08-21,13.81,8.26,5.55,7.55
2019-09-19,27.1,11.09,16.01,12.71
2019-10-17,19.9,10.2,9.7,9.6
2019-11-14,30.22,13.63,16.59,12.99
2019-12-13,26.75,16.06,10.69,10.09
2020-01-14,26.72,19.31,7.41,8.47
2020-02-12,43.28,22.17,21.11,15.22
2020-03-12,-5.54,-7.39,1.85,5.73
2020-04-09,8.39,4.54,3.85,6.72
2020-05-08,14.08,9.68,4.4,6.99
2020-06-08,34.99,20.77,14.22,11.82
2020-07-07,30.52,16.81,13.71,11.57
2020-08-04,51.88,22.24,29.64,19.42
2020-09-01,53.02,26.62,26.4,17.82
2020-09-30,45.97,22.37,23.6,16.44
2020-10-28,46.63,18.79,27.84,18.53
2020-11-25,62.62,31.0,31.62,20.39
2020-12-24,65.51,32.65,32.86,21.0
2021-01-26,61.51,37.29,24.22,16.75
2021-02-24,85.92,39.48,46.44,27.69
2021-03-24,93.87,38.31,55.56,32.18
2021-04-22,114.12,44.93,69.19,38.89
2021-05-20,118.5,45.12,73.38,40.96
2021-06-18,120.43,44.74,75.69,42.1
2021-07-19,122.16,46.9,75.26,41.88
2021-08-16,146.58,52.69,93.89,51.06
2021-09-14,139.7,50.65,89.05,48.68
2021-10-12,145.09,46.96,98.13,53.15
2021-11-09,191.73,57.28,134.45,71.03
2021-12-08,179.22,57.14,122.08,64.94
2022-01-06,153.73,55.71,98.02,53.09
2022-02-04,152.68,48.73,103.95,56.01
2022-03-07,81.21,38.56,42.65,25.82
2022-04-04,110.64,50.04,60.6,34.66
2022-05-03,89.59,36.37,53.22,31.03
2022-06-01,88.98,33.73,55.25,32.03
2022-06-30,60.64,23.28,37.36,23.22
2022-07-29,91.38,34.14,57.24,33.01
2022-08-26,81.12,32.25,48.87,28.89
2022-09-26,55.1,20.34,34.76,21.94
2022-10-24,63.49,24.25,39.24,24.15
2022-11-21,80.29,29.08,51.21,30.04
2022-12-20,61.54,24.09,37.45,23.26
2023-01-20,84.87,28.72,56.15,32.47
2023-02-17,97.54,31.99,65.55,37.1
2023-03-20,66.99,27.76,39.23,24.14
2023-04-18,81.22,33.44,47.78,28.35
2023-05-16,62.49,31.79,30.7,19.94
2023-06-14,92.84,39.9,52.94,30.89
2023-07-14,102.96,43.27,59.69,34.22
2023-08-11,106.12,42.01,64.11,36.39
2023-09-11,108.97,42.23,66.74,37.69
2023-10-09,102.49,36.77,65.72,37.19
2023-11-06,94.16,37.4,56.76,32.77
2023-12-05,144.94,43.51,101.43,54.77
2024-01-04,157.85,46.32,111.53,59.75
2024-02-02,186.61,54.14,132.47,70.06
2024-03-04,213.36,59.08,154.28,80.8
2024-04-02,208.83,60.46,148.37,77.89
2024-04-30,193.61,55.27,138.34,72.95
2024-05-29,223.21,62.08,161.13,84.17
2024-06-27,232.97,68.1,164.87,86.01
2024-07-26,259.51,66.24,193.27,100.0
