Date,rate_IBM,rate_IBM_5D,rate_IBM_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.72,,,-0.02,,
2022-01-05,0.8,,,-0.97,,
2022-01-06,-0.26,,,-1.04,,
2022-01-07,-0.44,0.164,,-1.21,-0.648,
2022-01-10,-0.37,0.09,,-1.27,-0.9019999999999999,
2022-01-11,-1.56,-0.366,,-0.63,-1.024,
2022-01-12,-1.16,-0.758,,-0.4,-0.9099999999999999,
2022-01-13,-0.52,-0.8099999999999999,,-1.43,-0.9879999999999999,
2022-01-14,-0.82,-0.8859999999999999,,-1.41,-1.028,
2022-01-18,-1.52,-1.116,,-2.7,-1.314,
2022-01-19,-2.26,-1.2559999999999998,,-3.45,-1.8780000000000001,
2022-01-20,-2.68,-1.56,,-4.24,-2.646,
2022-01-21,-3.49,-2.154,,-5.63,-3.4859999999999998,
2022-01-24,-3.78,-2.746,,-5.34,-4.272,
2022-01-25,0.92,-2.258,,-6.33,-4.998,
2022-01-26,-0.27,-1.86,,-6.51,-5.609999999999999,
2022-01-27,-1.39,-1.6019999999999999,,-6.91,-6.144,
2022-01-28,-0.11,-0.9259999999999999,,-4.96,-6.01,
2022-01-31,-0.71,-0.31199999999999994,-0.945,-3.46,-5.634,-2.8954999999999997
2022-02-01,0.62,-0.37199999999999994,-0.914,-2.79,-4.926,-3.035
2022-02-02,1.78,0.038000000000000034,-0.861,-1.97,-4.018,-3.1325
2022-02-03,2.13,0.742,-0.7945,-4.0,-3.436,-3.284
2022-02-04,1.71,1.1059999999999999,-0.696,-3.6,-3.164,-3.4120000000000004
2022-02-07,1.77,1.6019999999999999,-0.5855,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,1.62,1.802,-0.48599999999999993,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,2.16,1.8780000000000001,-0.3,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-0.84,1.284,-0.284,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.43,0.6560000000000001,-0.3295,-5.24,-3.504,-4.0409999999999995
2022-02-14,-3.21,-0.33999999999999997,-0.44899999999999995,-5.53,-3.8340000000000005,-4.247
2022-02-15,-3.36,-1.3359999999999999,-0.541,-4.08,-4.0200000000000005,-4.316
2022-02-16,-3.91,-2.55,-0.6234999999999999,-3.98,-4.454,-4.3425
2022-02-17,-6.96,-3.774,-0.8375,-5.93,-4.952,-4.427
2022-02-18,-7.41,-4.970000000000001,-1.0335,-6.5,-5.204,-4.4704999999999995
2022-02-22,-7.72,-5.872,-1.2305,-7.48,-5.593999999999999,-4.5775
2022-02-23,-9.06,-7.0120000000000005,-1.7295000000000003,-9.06,-6.590000000000001,-4.714
2022-02-24,-9.13,-8.056000000000001,-2.1725,-7.73,-7.340000000000001,-4.775
2022-02-25,-7.53,-8.17,-2.4795,-5.81,-7.316,-4.720000000000001
2022-02-28,-8.74,-8.436000000000002,-2.911,-6.04,-7.224000000000001,-4.774
2022-03-01,-9.3,-8.752,-3.3405,-7.18,-7.164,-4.96
2022-03-02,-7.52,-8.443999999999999,-3.7475,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-6.05,-7.828,-4.139,-6.03,-6.128,-5.3025
2022-03-04,-5.56,-7.434,-4.5235,-6.74,-6.314,-5.439500000000001
2022-03-07,-5.95,-6.876,-4.9065,-9.33,-6.9719999999999995,-5.726
2022-03-08,-6.23,-6.262,-5.306500000000001,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-5.84,-5.926,-5.6795,-7.69,-7.954000000000001,-6.258
2022-03-10,-7.2,-6.156000000000001,-6.1475,-8.09,-8.366,-6.572
2022-03-11,-7.48,-6.540000000000001,-6.4795,-9.21,-8.86,-6.8605
2022-03-14,-7.49,-6.848000000000001,-6.782500000000001,-9.84,-8.962,-7.0905000000000005
2022-03-15,-6.25,-6.852000000000001,-6.934500000000002,-7.92,-8.55,-7.210000000000001
2022-03-16,-5.22,-6.728,-7.027500000000001,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-4.55,-6.1979999999999995,-7.0595,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-3.96,-5.494,-6.9094999999999995,-3.77,-6.45,-7.235000000000001
2022-03-21,-4.44,-4.884,-6.761,-3.77,-5.236,-7.0985
2022-03-22,-3.74,-4.382,-6.562,-2.68,-4.188,-6.858499999999999
2022-03-23,-4.3,-4.198,-6.324,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-3.6,-4.008,-6.0475,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-2.05,-3.626,-5.7735,-2.35,-3.106,-6.182499999999999
2022-03-28,-1.96,-3.13,-5.4345,-1.69,-2.69,-5.965000000000001
2022-03-29,-1.61,-2.7039999999999997,-5.05,-0.48,-2.25,-5.63
2022-03-30,-1.47,-2.138,-4.7475000000000005,-1.09,-1.688,-5.4055
2022-03-31,-3.04,-2.026,-4.5969999999999995,-2.57,-1.636,-5.2325
2022-04-01,-2.85,-2.186,-4.4615,-2.24,-1.614,-5.0075
2022-04-04,-2.77,-2.348,-4.3025,-1.45,-1.566,-4.6135
2022-04-05,-3.77,-2.7800000000000002,-4.179499999999999,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-3.41,-3.168,-4.058000000000001,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-4.02,-3.364,-3.899,-3.1,-2.596,-3.79
2022-04-08,-4.62,-3.718,-3.7560000000000002,-3.33,-2.814,-3.496
2022-04-11,-5.61,-4.286,-3.6620000000000004,-4.94,-3.5120000000000005,-3.2510000000000003
