Date,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.02,0.0,0.0
2022-01-05,-0.97,0.0,0.0
2022-01-06,-1.04,0.0,0.0
2022-01-07,-1.21,-0.648,0.0
2022-01-10,-1.27,-0.9019999999999999,0.0
2022-01-11,-0.63,-1.024,0.0
2022-01-12,-0.4,-0.9099999999999999,0.0
2022-01-13,-1.43,-0.9879999999999999,0.0
2022-01-14,-1.41,-1.028,0.0
2022-01-18,-2.7,-1.314,0.0
2022-01-19,-3.45,-1.8780000000000001,0.0
2022-01-20,-4.24,-2.646,0.0
2022-01-21,-5.63,-3.4859999999999998,0.0
2022-01-24,-5.34,-4.272,0.0
2022-01-25,-6.33,-4.998,0.0
2022-01-26,-6.51,-5.609999999999999,0.0
2022-01-27,-6.91,-6.144,0.0
2022-01-28,-4.96,-6.01,0.0
2022-01-31,-3.46,-5.634,-2.8954999999999997
2022-02-01,-2.79,-4.926,-3.035
2022-02-02,-1.97,-4.018,-3.1325
2022-02-03,-4.0,-3.436,-3.284
2022-02-04,-3.6,-3.164,-3.4120000000000004
2022-02-07,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.24,-3.504,-4.0409999999999995
2022-02-14,-5.53,-3.8340000000000005,-4.247
2022-02-15,-4.08,-4.0200000000000005,-4.316
2022-02-16,-3.98,-4.454,-4.3425
2022-02-17,-5.93,-4.952,-4.427
2022-02-18,-6.5,-5.204,-4.4704999999999995
2022-02-22,-7.48,-5.593999999999999,-4.5775
2022-02-23,-9.06,-6.590000000000001,-4.714
2022-02-24,-7.73,-7.340000000000001,-4.775
2022-02-25,-5.81,-7.316,-4.720000000000001
2022-02-28,-6.04,-7.224000000000001,-4.774
2022-03-01,-7.18,-7.164,-4.96
2022-03-02,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-6.03,-6.128,-5.3025
2022-03-04,-6.74,-6.314,-5.439500000000001
2022-03-07,-9.33,-6.9719999999999995,-5.726
2022-03-08,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-7.69,-7.954000000000001,-6.258
2022-03-10,-8.09,-8.366,-6.572
2022-03-11,-9.21,-8.86,-6.8605
2022-03-14,-9.84,-8.962,-7.0905000000000005
2022-03-15,-7.92,-8.55,-7.210000000000001
2022-03-16,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-3.77,-6.45,-7.235000000000001
2022-03-21,-3.77,-5.236,-7.0985
2022-03-22,-2.68,-4.188,-6.858499999999999
2022-03-23,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-2.35,-3.106,-6.182499999999999
2022-03-28,-1.69,-2.69,-5.965000000000001
2022-03-29,-0.48,-2.25,-5.63
2022-03-30,-1.09,-1.688,-5.4055
2022-03-31,-2.57,-1.636,-5.2325
2022-04-01,-2.24,-1.614,-5.0075
2022-04-04,-1.45,-1.566,-4.6135
2022-04-05,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-3.1,-2.596,-3.79
2022-04-08,-3.33,-2.814,-3.496
2022-04-11,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-5.28,-4.044,-3.119
2022-04-13,-4.23,-4.176,-3.0345
2022-04-14,-5.37,-4.630000000000001,-3.063
2022-04-18,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-3.88,-4.822000000000001,-3.1475
2022-04-20,-3.95,-4.556,-3.211
2022-04-21,-5.34,-4.7780000000000005,-3.283
2022-04-22,-7.86,-5.276,-3.5345
2022-04-25,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-9.95,-6.894,-4.1985
2022-04-27,-9.73,-8.05,-4.661
2022-04-28,-7.52,-8.485999999999999,-4.9825
2022-04-29,-10.83,-9.08,-5.3955
2022-05-02,-9.99,-9.604,-5.7829999999999995
2022-05-03,-9.62,-9.538,-6.1915
2022-05-04,-6.99,-8.99,-6.410000000000001
2022-05-05,-10.13,-9.512,-6.7379999999999995
2022-05-06,-10.67,-9.48,-7.1165
2022-05-09,-13.43,-10.168,-7.6215
2022-05-10,-13.22,-10.888,-8.0355
2022-05-11,-14.58,-12.406,-8.500499999999999
2022-05-12,-14.64,-13.308000000000002,-9.021
2022-05-13,-12.68,-13.709999999999999,-9.3865
2022-05-16,-12.99,-13.622,-9.7685
2022-05-17,-11.29,-13.236,-10.139
2022-05-18,-14.71,-13.262,-10.677
2022-05-19,-15.27,-13.388,-11.1735
2022-05-20,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-13.68,-14.040000000000001,-11.8585
2022-05-24,-14.29,-14.64,-12.075500000000002
2022-05-25,-13.59,-14.416,-12.2685
2022-05-26,-11.92,-13.745999999999999,-12.4885
2022-05-27,-9.77,-12.65,-12.435500000000001
2022-05-31,-10.26,-11.966,-12.449
2022-06-01,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-9.06,-10.34,-12.606
2022-06-03,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-10.26,-10.154,-12.604
2022-06-07,-9.4,-9.982,-12.4025
2022-06-08,-10.37,-9.918000000000001,-12.26
2022-06-09,-12.42,-10.59,-12.152
2022-06-10,-14.93,-11.475999999999999,-12.1665
2022-06-13,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-18.32,-14.831999999999999,-12.705
2022-06-15,-17.18,-16.194,-12.999500000000001
2022-06-16,-19.83,-17.676,-13.255500000000001
2022-06-17,-19.62,-18.614,-13.472999999999999
2022-06-21,-17.71,-18.532,-13.596
2022-06-22,-17.88,-18.444,-13.806000000000001
2022-06-23,-17.04,-18.416,-13.9435
2022-06-24,-14.53,-17.356,-13.9905
2022-06-27,-14.84,-16.4,-14.136499999999998
2022-06-28,-16.63,-16.184,-14.479499999999998
2022-06-29,-16.92,-15.992,-14.8125
2022-06-30,-17.56,-16.096,-15.156
2022-07-01,-16.28,-16.446,-15.517
2022-07-05,-16.14,-16.706,-15.799000000000001
2022-07-06,-15.85,-16.55,-16.0785
2022-07-07,-14.65,-16.096,-16.341
2022-07-08,-14.7,-15.524000000000001,-16.5575
2022-07-11,-15.64,-15.395999999999997,-16.7185
2022-07-12,-16.4,-15.447999999999999,-16.792
2022-07-13,-16.77,-15.632,-16.7245
2022-07-14,-16.99,-16.1,-16.658
2022-07-15,-15.46,-16.252000000000002,-16.572
2022-07-18,-16.14,-16.352,-16.3875
2022-07-19,-13.93,-15.857999999999999,-16.103
2022-07-20,-13.4,-15.184000000000001,-15.8875
2022-07-21,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-13.32,-13.868,-15.434999999999999
2022-07-25,-13.24,-13.288,-15.370499999999998
2022-07-26,-14.25,-13.352,-15.341
2022-07-27,-12.07,-13.086000000000002,-15.113
2022-07-28,-10.99,-12.774,-14.8165
2022-07-29,-9.72,-12.053999999999998,-14.4245
2022-08-01,-9.72,-11.350000000000001,-14.0965
2022-08-02,-10.15,-10.53,-13.797
2022-08-03,-9.12,-9.94,-13.460500000000001
2022-08-04,-9.18,-9.578,-13.187000000000001
2022-08-05,-9.31,-9.496,-12.9175
2022-08-08,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-9.62,-9.319999999999999,-12.265
2022-08-10,-8.33,-9.162,-11.843
2022-08-11,-8.33,-8.992,-11.41
2022-08-12,-7.26,-8.581999999999999,-11.0
2022-08-15,-6.98,-8.104000000000001,-10.542
2022-08-16,-6.87,-7.554,-10.189
2022-08-17,-7.3,-7.348000000000001,-9.884
2022-08-18,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-7.96,-7.244,-9.344
2022-08-22,-9.24,-7.696,-9.144
2022-08-23,-9.38,-8.198,-8.9005
2022-08-24,-9.2,-8.578,-8.757
2022-08-25,-8.33,-8.822,-8.623999999999999
2022-08-26,-10.4,-9.31,-8.658
2022-08-29,-10.79,-9.620000000000001,-8.7115
2022-08-30,-11.42,-10.028,-8.774999999999999
2022-08-31,-11.87,-10.562,-8.9125
2022-09-01,-11.4,-11.175999999999998,-9.0235
2022-09-02,-11.98,-11.492,-9.157
2022-09-06,-12.17,-11.768,-9.297
2022-09-07,-10.9,-11.664,-9.361
2022-09-08,-10.38,-11.366,-9.4635
