Date,rate_UNH,rate_UNH_5D,rate_UNH_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-1.1,,,-0.02,,
2022-01-05,-1.21,,,-0.97,,
2022-01-06,-3.15,,,-1.04,,
2022-01-07,-4.21,-1.934,,-1.21,-0.648,
2022-01-10,-3.6,-2.654,,-1.27,-0.9019999999999999,
2022-01-11,-2.99,-3.032,,-0.63,-1.024,
2022-01-12,-2.28,-3.246,,-0.4,-0.9099999999999999,
2022-01-13,-3.23,-3.2620000000000005,,-1.43,-0.9879999999999999,
2022-01-14,-3.04,-3.028,,-1.41,-1.028,
2022-01-18,-4.2,-3.148,,-2.7,-1.314,
2022-01-19,-3.97,-3.344,,-3.45,-1.8780000000000001,
2022-01-20,-3.9,-3.668,,-4.24,-2.646,
2022-01-21,-4.17,-3.8560000000000003,,-5.63,-3.4859999999999998,
2022-01-24,-4.01,-4.05,,-5.34,-4.272,
2022-01-25,-4.96,-4.202,,-6.33,-4.998,
2022-01-26,-4.68,-4.343999999999999,,-6.51,-5.609999999999999,
2022-01-27,-4.13,-4.39,,-6.91,-6.144,
2022-01-28,-3.34,-4.223999999999999,,-4.96,-6.01,
2022-01-31,-2.19,-3.8600000000000003,-3.218,-3.46,-5.634,-2.8954999999999997
2022-02-01,-2.89,-3.446,-3.3625,-2.79,-4.926,-3.035
2022-02-02,-0.81,-2.6719999999999997,-3.3480000000000003,-1.97,-4.018,-3.1325
2022-02-03,0.84,-1.6780000000000002,-3.2455,-4.0,-3.436,-3.284
2022-02-04,-0.19,-1.048,-3.0974999999999997,-3.6,-3.164,-3.4120000000000004
2022-02-07,-0.09,-0.628,-2.8914999999999997,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,1.76,0.302,-2.6235,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,2.66,0.9960000000000001,-2.341,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,0.49,0.9260000000000002,-2.2024999999999997,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.15,0.734,-2.0985,-5.24,-3.504,-4.0409999999999995
2022-02-14,-1.87,0.37800000000000006,-2.04,-5.53,-3.8340000000000005,-4.247
2022-02-15,-1.12,-0.198,-1.886,-4.08,-4.0200000000000005,-4.316
2022-02-16,-0.76,-0.882,-1.7255000000000003,-3.98,-4.454,-4.3425
2022-02-17,-2.66,-1.512,-1.6635000000000002,-5.93,-4.952,-4.427
