Date,rate_MS_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,21.2
2019-01-31,-0.41,2.79,-3.2,17.3
2019-03-01,0.62,5.82,-5.2,14.87
2019-03-29,-0.02,6.59,-6.61,13.15
2019-04-29,14.51,10.42,4.09,26.18
2019-05-28,-0.51,5.19,-5.7,14.26
2019-06-25,0.69,9.51,-8.82,10.46
2019-07-24,7.26,12.59,-5.33,14.71
2019-08-21,-5.29,8.26,-13.55,4.7
2019-09-19,3.12,11.09,-7.97,11.49
2019-10-17,1.83,10.2,-8.37,11.01
2019-11-14,13.54,13.63,-0.09,21.09
2019-12-13,16.94,16.06,0.88,22.27
2020-01-14,22.52,19.31,3.21,25.11
2020-02-12,29.3,22.17,7.13,29.88
2020-03-12,-24.71,-7.39,-17.32,0.11
2020-04-09,-1.16,4.54,-5.7,14.26
2020-05-08,-3.37,9.68,-13.05,5.31
2020-06-08,20.54,20.77,-0.23,20.92
2020-07-07,13.86,16.81,-2.95,17.61
2020-08-04,17.79,22.24,-4.45,15.78
2020-09-01,23.0,26.62,-3.62,16.79
2020-09-30,14.27,22.37,-8.1,11.34
2020-10-28,12.06,18.79,-6.73,13.0
2020-11-25,46.32,31.0,15.32,39.85
2020-12-24,56.09,32.65,23.44,49.74
2021-01-26,62.07,37.29,24.78,51.37
2021-02-24,78.6,39.48,39.12,68.83
2021-03-24,75.84,38.31,37.53,66.89
2021-04-22,72.28,44.93,27.35,54.5
2021-05-20,88.75,45.12,43.63,74.32
2021-06-18,82.04,44.74,37.3,66.61
2021-07-19,91.85,46.9,44.95,75.93
2021-08-16,114.42,52.69,61.73,96.36
2021-09-14,109.11,50.65,58.46,92.38
2021-10-12,99.44,46.96,52.48,85.1
2021-11-09,101.69,57.28,44.41,75.27
2021-12-08,103.24,57.14,46.1,77.33
2022-01-06,106.03,55.71,50.32,82.47
2022-02-04,105.83,48.73,57.1,90.72
2022-03-07,64.14,38.56,25.58,52.34
2022-04-04,70.6,50.04,20.56,46.23
2022-05-03,62.84,36.37,26.47,53.43
2022-06-01,64.38,33.73,30.65,58.52
2022-06-30,47.12,23.28,23.84,50.23
2022-07-29,62.31,34.14,28.17,55.5
2022-08-26,65.14,32.25,32.89,61.24
2022-09-26,52.94,20.34,32.6,60.89
2022-10-24,51.66,24.25,27.41,54.57
2022-11-21,69.13,29.08,40.05,69.96
2022-12-20,60.85,24.09,36.76,65.96
2023-01-20,80.86,28.72,52.14,84.68
2023-02-17,85.92,31.99,53.93,86.86
2023-03-20,59.21,27.76,31.45,59.49
2023-04-18,66.25,33.44,32.81,61.15
2023-05-16,50.81,31.79,19.02,44.36
2023-06-14,61.39,39.9,21.49,47.36
2023-07-14,56.69,43.27,13.42,37.54
2023-08-11,60.09,42.01,18.08,43.21
2023-09-11,53.65,42.23,11.42,35.1
2023-10-09,46.44,36.77,9.67,32.97
2023-11-06,38.73,37.4,1.33,22.82
2023-12-05,45.95,43.51,2.44,24.17
2024-01-04,66.94,46.32,20.62,46.3
2024-02-02,57.49,54.14,3.35,25.28
2024-03-04,61.82,59.08,2.74,24.53
2024-04-02,65.91,60.46,5.45,27.83
2024-04-30,62.58,55.27,7.31,30.1
2024-05-29,73.3,62.08,11.22,34.86
2024-06-27,69.88,68.1,1.78,23.37
2024-07-26,83.96,66.24,17.72,42.77
