Date,rate_CF_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,33.6
2019-01-31,0.93,2.79,-1.86,32.54
2019-03-01,-1.5,5.82,-7.32,29.42
2019-03-29,-4.68,6.59,-11.27,27.16
2019-04-29,4.72,10.42,-5.7,30.34
2019-05-28,-6.1,5.19,-11.29,27.14
2019-06-25,10.71,9.51,1.2,34.29
2019-07-24,13.65,12.59,1.06,34.21
2019-08-21,14.25,8.26,5.99,37.03
2019-09-19,17.47,11.09,6.38,37.25
2019-10-17,13.48,10.2,3.28,35.48
2019-11-14,8.36,13.63,-5.27,30.59
2019-12-13,5.37,16.06,-10.69,27.49
2020-01-14,5.85,19.31,-13.46,25.9
2020-02-12,-2.84,22.17,-25.01,19.3
2020-03-12,-42.44,-7.39,-35.05,13.56
2020-04-09,-26.2,4.54,-30.74,16.02
2020-05-08,-30.06,9.68,-39.74,10.87
2020-06-08,-19.96,20.77,-40.73,10.31
2020-07-07,-28.44,16.81,-45.25,7.72
2020-08-04,-20.85,22.24,-43.09,8.96
2020-09-01,-18.53,26.62,-45.15,7.78
2020-09-30,-24.7,22.37,-47.07,6.68
2020-10-28,-36.47,18.79,-55.26,2.0
2020-11-25,-5.11,31.0,-36.11,12.95
2020-12-24,-8.39,32.65,-41.04,10.13
2021-01-26,2.86,37.29,-34.43,13.91
2021-02-24,17.32,39.48,-22.16,20.93
2021-03-24,7.99,38.31,-30.32,16.26
2021-04-22,13.57,44.93,-31.36,15.67
2021-05-20,24.99,45.12,-20.13,22.09
2021-06-18,21.68,44.74,-23.06,20.41
2021-07-19,13.42,46.9,-33.48,14.45
2021-08-16,14.07,52.69,-38.62,11.51
2021-09-14,13.34,50.65,-37.31,12.26
2021-10-12,47.09,46.96,0.13,33.68
2021-11-09,51.5,57.28,-5.78,30.3
2021-12-08,43.51,57.14,-13.63,25.81
2022-01-06,63.85,55.71,8.14,38.26
2022-02-04,76.49,48.73,27.76,49.48
2022-03-07,123.11,38.56,84.55,81.96
2022-04-04,135.25,50.04,85.21,82.34
2022-05-03,130.91,36.37,94.54,87.67
2022-06-01,117.48,33.73,83.75,81.5
2022-06-30,95.23,23.28,71.95,74.75
2022-07-29,116.0,34.14,81.86,80.42
2022-08-26,148.34,32.25,116.09,100.0
2022-09-26,98.08,20.34,77.74,78.07
2022-10-24,126.28,24.25,102.03,91.96
2022-11-21,121.7,29.08,92.62,86.58
2022-12-20,100.44,24.09,76.35,77.27
2023-01-20,84.3,28.72,55.58,65.39
2023-02-17,74.52,31.99,42.53,57.93
2023-03-20,53.05,27.76,25.29,48.07
2023-04-18,57.6,33.44,24.16,47.42
2023-05-16,35.83,31.79,4.04,35.91
2023-06-14,41.44,39.9,1.54,34.48
2023-07-14,53.23,43.27,9.96,39.3
2023-08-11,65.52,42.01,23.51,47.05
2023-09-11,67.51,42.23,25.28,48.06
2023-10-09,75.17,36.77,38.4,55.57
2023-11-06,60.59,37.4,23.19,46.87
2023-12-05,47.96,43.51,4.45,36.15
2024-01-04,63.21,46.32,16.89,43.26
2024-02-02,53.34,54.14,-0.8,33.14
2024-03-04,59.37,59.08,0.29,33.77
2024-04-02,64.77,60.46,4.31,36.07
2024-04-30,56.91,55.27,1.64,34.54
2024-05-29,52.67,62.08,-9.41,28.22
2024-06-27,47.49,68.1,-20.61,21.81
2024-07-26,47.59,66.24,-18.65,22.94
