Date,rate_KR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,43.3
2019-03-01,-0.73,6.13,-6.86,35.26
2019-04-29,-8.95,10.74,-19.69,20.23
2019-06-25,-21.53,9.75,-31.28,6.65
2019-08-21,-16.91,9.45,-26.36,12.42
2019-10-17,-13.65,11.38,-25.03,13.98
2019-12-13,-0.41,17.31,-17.72,22.54
2020-02-12,1.75,23.26,-21.51,18.1
2020-04-09,9.77,5.35,4.42,48.48
2020-06-08,16.03,21.76,-5.73,36.59
2020-08-04,23.56,23.27,0.29,43.64
2020-09-30,18.24,22.35,-4.11,38.48
2020-11-25,12.13,30.73,-18.6,21.51
2021-01-26,28.1,37.01,-8.91,32.86
2021-03-24,22.84,38.04,-15.2,25.49
2021-05-20,26.21,45.0,-18.79,21.29
2021-07-19,40.91,46.79,-5.88,36.41
2021-09-14,35.72,49.47,-13.75,27.19
2021-11-09,35.33,55.69,-20.36,19.45
2022-01-06,50.22,54.19,-3.97,38.65
2022-03-07,83.04,37.12,45.92,97.09
2022-05-03,71.33,34.96,36.37,85.91
2022-06-30,47.23,22.0,25.23,72.86
2022-08-26,47.56,30.79,16.77,62.95
2022-10-24,32.97,22.72,10.25,55.31
2022-12-20,33.71,22.59,11.12,56.33
2023-02-17,31.12,30.41,0.71,44.13
2023-04-18,41.21,31.87,9.34,54.24
2023-06-14,38.46,38.27,0.19,43.52
2023-08-11,42.4,40.92,1.48,45.03
2023-10-09,32.16,35.51,-3.35,39.37
2023-12-05,31.1,42.24,-11.14,30.25
2024-02-02,35.11,52.79,-17.68,22.59
2024-04-02,68.01,59.09,8.92,53.75
2024-05-29,50.89,60.75,-9.86,31.75
2024-07-26,56.73,64.89,-8.16,33.74
