Date,rate_COKE_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-3250.0
2022-01-05,0.0,0.0,11.34
2022-01-06,0.0,0.0,168.27
2022-01-07,-0.43,0.0,-10.74
2022-01-10,-0.9,0.0,-82.68
2022-01-11,-0.98,0.0,-69.84
2022-01-12,-0.9,0.0,-22.5
2022-01-13,-0.68,0.0,227.27
2022-01-14,-0.2,0.0,175.89
2022-01-18,-0.09,0.0,33.7
2022-01-19,-0.61,0.0,-6.67
2022-01-20,-1.24,0.0,14.62
2022-01-21,-2.35,0.0,33.39
2022-01-24,-2.72,0.0,85.58
2022-01-25,-2.58,0.0,83.1
2022-01-26,-2.44,0.0,54.07
2022-01-27,-2.83,0.0,19.54
2022-01-28,-2.91,0.0,16.13
2022-01-31,-3.69,-2.9,-35.55
2022-02-01,-4.56,-3.04,-94.27
2022-02-02,-5.14,-3.13,-198.98
2022-02-03,-4.99,-3.28,-19.5
2022-02-04,-5.21,-3.41,-46.11
2022-02-07,-5.5,-3.55,-58.25
2022-02-08,-5.35,-3.64,-48.89
2022-02-09,-5.0,-3.7,-128.18
2022-02-10,-5.53,-3.85,-116.57
2022-02-11,-5.24,-4.04,27.48
2022-02-14,-4.41,-4.25,64.2
2022-02-15,-4.24,-4.32,5.39
2022-02-16,-4.63,-4.34,-52.51
2022-02-17,-4.26,-4.43,5.4
2022-02-18,-4.34,-4.47,35.85
2022-02-22,-4.51,-4.58,62.17
2022-02-23,-8.64,-4.71,-170.75
2022-02-24,-12.36,-4.78,-218.89
2022-02-25,-14.8,-4.72,-206.54
2022-02-28,-17.28,-4.77,-174.34
2022-03-01,-20.34,-4.96,-152.37
2022-03-02,-18.72,-5.1,-195.16
2022-03-03,-17.93,-5.3,-242.62
2022-03-04,-18.83,-5.44,-231.31
2022-03-07,-20.45,-5.73,-164.31
2022-03-08,-21.22,-6.03,-120.04
2022-03-09,-21.79,-6.26,-151.37
2022-03-10,-21.74,-6.57,-152.16
2022-03-11,-21.94,-6.86,-153.64
2022-03-14,-21.66,-7.09,-136.18
2022-03-15,-20.67,-7.21,-115.15
2022-03-16,-19.97,-7.3,-167.23
2022-03-17,-19.16,-7.34,-240.0
2022-03-18,-17.08,-7.24,-244.83
2022-03-21,-15.64,-7.1,-324.67
2022-03-22,-15.43,-6.86,-496.27
2022-03-23,-15.82,-6.6,-356.15
2022-03-24,-16.27,-6.36,-556.54
2022-03-25,-17.2,-6.18,-651.06
2022-03-28,-17.57,-5.97,-956.8
2022-03-29,-17.59,-5.63,-3250.0
2022-03-30,-17.34,-5.41,-1417.43
2022-03-31,-16.76,-5.23,-510.51
2022-04-01,-15.74,-5.01,-459.82
2022-04-04,-14.94,-4.61,-854.48
2022-04-05,-14.72,-4.25,-472.52
2022-04-06,-14.52,-4.04,-335.29
2022-04-07,-14.59,-3.79,-416.45
2022-04-08,-15.42,-3.5,-401.2
2022-04-11,-16.08,-3.25,-247.57
2022-04-12,-16.39,-3.12,-213.45
2022-04-13,-16.42,-3.03,-270.92
2022-04-14,-16.41,-3.06,-196.83
2022-04-18,-16.84,-3.14,-252.15
2022-04-19,-16.65,-3.15,-318.56
2022-04-20,-16.52,-3.21,-302.03
2022-04-21,-16.73,-3.28,-213.86
2022-04-22,-17.32,-3.53,-140.2
2022-04-25,-16.99,-3.79,-133.11
2022-04-26,-17.56,-4.2,-92.06
2022-04-27,-18.58,-4.66,-115.72
2022-04-28,-19.46,-4.98,-181.25
2022-04-29,-20.56,-5.4,-124.93
2022-05-02,-21.62,-5.78,-125.23
2022-05-03,-22.28,-6.19,-132.64
2022-05-04,-21.03,-6.41,-111.44
2022-05-05,-20.62,-6.74,-88.35
2022-05-06,-19.11,-7.12,-57.45
2022-05-09,-17.53,-7.62,-8.71
2022-05-10,-15.79,-8.04,-3.48
2022-05-11,-15.72,-8.5,0.89
2022-05-12,-14.26,-9.02,19.54
2022-05-13,-12.7,-9.39,29.26
2022-05-16,-11.61,-9.77,29.48
2022-05-17,-10.84,-10.14,12.67
2022-05-18,-11.15,-10.68,-8.63
2022-05-19,-11.88,-11.17,-1.18
2022-05-20,-12.63,-11.54,16.66
2022-05-23,-12.18,-11.86,49.63
2022-05-24,-10.98,-12.08,72.78
2022-05-25,-8.04,-12.27,90.65
2022-05-26,-5.92,-12.49,59.31
2022-05-27,-4.13,-12.44,61.82
2022-05-31,-3.5,-12.45,63.16
2022-06-01,-3.22,-12.5,77.08
2022-06-02,-2.58,-12.61,121.19
2022-06-03,-1.2,-12.62,119.43
2022-06-06,1.03,-12.6,172.32
2022-06-07,3.24,-12.4,177.55
2022-06-08,5.1,-12.26,165.77
2022-06-09,4.68,-12.15,98.55
2022-06-10,4.0,-12.17,90.89
2022-06-13,1.24,-12.44,64.96
2022-06-14,-0.89,-12.7,81.44
2022-06-15,-3.56,-13.0,62.11
2022-06-16,-5.4,-13.26,52.75
2022-06-17,-8.23,-13.47,20.9
2022-06-21,-9.4,-13.6,31.06
2022-06-22,-11.52,-13.81,21.87
2022-06-23,-12.49,-13.94,33.27
2022-06-24,-11.89,-13.99,56.16
2022-06-27,-9.69,-14.14,69.34
2022-06-28,-8.78,-14.48,53.94
2022-06-29,-7.26,-14.81,62.35
2022-06-30,-5.87,-15.16,75.0
2022-07-01,-5.09,-15.52,84.71
2022-07-05,-4.45,-15.8,91.64
2022-07-06,-3.18,-16.08,91.86
2022-07-07,-2.34,-16.34,85.05
2022-07-08,-1.68,-16.56,92.59
2022-07-11,-1.75,-16.72,81.78
2022-07-12,-2.17,-16.79,79.02
2022-07-13,-2.28,-16.72,89.15
2022-07-14,-4.33,-16.66,26.84
2022-07-15,-7.03,-16.57,5.5
2022-07-18,-9.56,-16.39,3.9
2022-07-19,-11.62,-16.1,1.29
2022-07-20,-14.2,-15.89,-9.85
2022-07-21,-14.63,-15.62,-16.1
2022-07-22,-14.77,-15.43,-14.71
2022-07-25,-14.81,-15.37,-18.88
2022-07-26,-14.96,-15.34,-1.54
2022-07-27,-14.72,-15.11,-12.34
2022-07-28,-14.53,-14.82,-23.93
2022-07-29,-14.0,-14.42,-29.53
2022-08-01,-13.04,-14.1,-12.76
2022-08-02,-12.54,-13.8,-18.13
2022-08-03,-12.36,-13.46,-38.82
2022-08-04,-12.33,-13.19,-46.3
2022-08-05,-12.53,-12.92,-46.4
2022-08-08,-13.11,-12.6,-47.6
2022-08-09,-13.49,-12.26,-44.49
2022-08-10,-13.7,-11.84,-64.47
2022-08-11,-13.74,-11.41,-63.87
2022-08-12,-13.66,-11.0,-82.23
2022-08-15,-13.46,-10.54,-83.67
2022-08-16,-13.0,-10.19,-68.7
2022-08-17,-12.52,-9.88,-54.93
2022-08-18,-11.73,-9.61,-36.43
2022-08-19,-11.18,-9.34,-31.91
2022-08-22,-10.88,-9.14,-22.29
2022-08-23,-10.94,-8.9,-26.76
2022-08-24,-11.17,-8.76,-35.65
2022-08-25,-11.78,-8.62,-52.7
2022-08-26,-12.51,-8.66,-36.25
2022-08-29,-13.06,-8.71,-30.03
2022-08-30,-13.65,-8.77,-30.04
2022-08-31,-14.45,-8.91,-38.67
2022-09-01,-15.11,-9.02,-40.7
2022-09-02,-15.68,-9.16,-41.99
2022-09-06,-16.58,-9.3,-52.26
2022-09-07,-17.15,-9.36,-62.29
2022-09-08,-17.44,-9.46,-72.83
2022-09-09,-17.72,-9.5,-90.69
2022-09-12,-17.6,-9.55,-99.64
2022-09-13,-18.21,-9.8,-79.85
2022-09-14,-18.72,-10.04,-72.74
2022-09-15,-19.6,-10.31,-76.88
2022-09-16,-20.51,-10.62,-65.51
2022-09-19,-21.51,-10.85,-69.41
2022-09-20,-21.63,-11.07,-62.89
2022-09-21,-22.13,-11.36,-50.86
2022-09-22,-22.43,-11.69,-50.82
2022-09-23,-23.07,-12.13,-47.14
2022-09-26,-23.83,-12.5,-40.68
2022-09-27,-24.57,-12.87,-42.67
2022-09-28,-24.74,-13.15,-39.3
2022-09-29,-24.83,-13.48,-30.4
2022-09-30,-24.89,-13.91,-28.68
2022-10-03,-24.24,-14.17,-26.79
2022-10-04,-23.08,-14.31,-34.79
2022-10-05,-22.35,-14.52,-32.34
2022-10-06,-21.51,-14.79,-26.42
2022-10-07,-20.44,-15.24,-10.89
2022-10-10,-19.77,-15.77,0.69
2022-10-11,-19.64,-16.14,-0.52
2022-10-12,-19.66,-16.53,-2.41
2022-10-13,-19.06,-16.77,2.29
2022-10-14,-19.28,-17.07,-10.16
2022-10-17,-19.53,-17.3,-15.1
2022-10-18,-19.5,-17.44,-17.81
2022-10-19,-19.46,-17.53,-17.15
2022-10-20,-20.39,-17.62,-23.56
2022-10-21,-20.0,-17.54,-23.54
2022-10-24,-19.59,-17.38,-22.01
2022-10-25,-18.71,-17.14,-11.91
2022-10-26,-17.74,-16.99,-7.91
2022-10-27,-15.99,-16.77,9.97
2022-10-28,-14.3,-16.4,12.1
2022-10-31,-13.09,-16.18,9.24
2022-11-01,-12.8,-16.09,-3.0
2022-11-02,-13.11,-16.09,-9.6
2022-11-03,-12.88,-16.1,26.3
2022-11-04,-12.84,-15.93,27.7
2022-11-07,-13.05,-15.69,8.7
2022-11-08,-13.05,-15.4,1.33
2022-11-09,-12.82,-15.19,-1.11
2022-11-10,-13.06,-14.86,-19.61
2022-11-11,-13.84,-14.39,-46.59
2022-11-14,-14.68,-14.06,-59.18
2022-11-15,-15.03,-13.74,-51.91
2022-11-16,-15.12,-13.43,-49.48
2022-11-17,-15.66,-13.09,-44.03
2022-11-18,-15.75,-12.84,-43.47
2022-11-21,-14.99,-12.64,-22.5
2022-11-22,-14.41,-12.46,-26.45
2022-11-23,-13.79,-12.22,-41.03
2022-11-25,-13.18,-11.96,-38.79
2022-11-28,-12.59,-11.86,-14.86
2022-11-29,-12.5,-11.75,-20.08
2022-11-30,-12.17,-11.5,-31.99
2022-12-01,-11.35,-11.13,-12.76
2022-12-02,-10.31,-10.73,5.83
2022-12-05,-10.01,-10.46,-11.31
2022-12-06,-10.13,-10.29,-25.28
2022-12-07,-10.4,-10.16,-9.0
2022-12-08,-9.99,-9.91,34.38
2022-12-09,-8.8,-9.91,86.53
2022-12-12,-7.11,-9.89,78.36
2022-12-13,-5.54,-9.8,37.5
2022-12-14,-4.54,-9.78,27.79
2022-12-15,-5.17,-9.83,15.67
2022-12-16,-6.67,-9.92,29.58
2022-12-19,-8.07,-10.07,32.37
2022-12-20,-8.3,-10.22,50.95
2022-12-21,-7.93,-10.36,59.47
2022-12-22,-7.21,-10.59,54.25
2022-12-23,-6.38,-10.79,63.91
2022-12-27,-5.67,-10.94,58.8
2022-12-28,-5.77,-11.14,50.55
2022-12-29,-5.81,-11.39,59.86
2022-12-30,-5.88,-11.67,50.26
2023-01-03,-7.46,-11.94,5.03
2023-01-04,-8.54,-12.1,13.52
2023-01-05,-9.38,-12.25,16.48
2023-01-06,-10.03,-12.29,27.68
2023-01-09,-10.75,-12.37,13.64
2023-01-10,-10.48,-12.39,-1.25
2023-01-11,-10.12,-12.41,8.63
2023-01-12,-9.93,-12.45,-7.18
2023-01-13,-10.13,-12.45,-0.74
2023-01-17,-9.96,-12.34,2.1
2023-01-18,-10.11,-12.26,-9.74
2023-01-19,-10.74,-12.16,-6.81
2023-01-20,-10.94,-11.98,-14.49
2023-01-23,-11.02,-11.8,-10.4
2023-01-24,-10.94,-11.57,1.11
2023-01-25,-10.16,-11.36,9.77
2023-01-26,-9.26,-11.09,1.86
2023-01-27,-8.76,-10.75,-15.0
2023-01-30,-8.92,-10.54,-19.15
2023-01-31,-8.59,-10.26,4.96
2023-02-01,-7.95,-9.92,23.77
2023-02-02,-7.12,-9.55,28.38
2023-02-03,-6.42,-9.18,12.56
2023-02-06,-5.21,-8.93,31.2
2023-02-07,-4.99,-8.62,-7.49
2023-02-08,-5.39,-8.39,-5.92
2023-02-09,-6.12,-8.25,-1.79
2023-02-10,-6.6,-8.12,-11.33
2023-02-13,-6.57,-7.96,27.67
2023-02-14,-6.46,-7.79,9.98
2023-02-15,-5.79,-7.54,38.93
2023-02-16,-5.23,-7.31,34.38
2023-02-17,-4.24,-7.16,59.14
2023-02-21,-4.34,-7.15,42.44
2023-02-22,-4.18,-7.13,44.76
2023-02-23,-2.6,-7.1,151.2
2023-02-24,-1.05,-7.15,134.84
2023-02-27,0.69,-7.2,165.31
2023-02-28,2.02,-7.21,118.56
2023-03-01,3.15,-7.29,109.09
2023-03-02,2.45,-7.4,108.78
2023-03-03,1.9,-7.51,105.94
2023-03-06,0.82,-7.56,104.92
2023-03-07,0.33,-7.66,91.1
2023-03-08,-0.0,-7.8,90.49
2023-03-09,-0.71,-7.97,72.32
2023-03-10,-1.65,-8.17,62.56
2023-03-13,-2.74,-8.39,55.3
2023-03-14,-3.56,-8.58,51.2
2023-03-15,-4.77,-8.8,35.04
2023-03-16,-5.69,-8.95,18.1
2023-03-17,-6.6,-9.1,12.48
2023-03-20,-6.79,-9.21,34.45
2023-03-21,-6.89,-9.18,33.79
2023-03-22,-6.76,-9.22,35.04
2023-03-23,-6.43,-9.28,38.29
2023-03-24,-5.46,-9.28,57.17
2023-03-27,-4.55,-9.28,83.18
2023-03-28,-3.96,-9.28,73.85
2023-03-29,-3.1,-9.21,75.48
2023-03-30,-2.45,-9.15,66.03
2023-03-31,-2.09,-9.08,64.63
2023-04-03,-2.02,-8.99,79.68
2023-04-04,-2.51,-8.86,20.39
2023-04-05,-2.65,-8.75,57.94
2023-04-06,-2.73,-8.54,51.26
2023-04-10,-2.66,-8.27,69.23
2023-04-11,-2.94,-8.0,57.36
2023-04-12,-2.54,-7.81,54.27
2023-04-13,-2.35,-7.53,66.07
2023-04-14,-2.16,-7.34,61.92
2023-04-17,-2.29,-7.08,50.2
2023-04-18,-2.1,-6.86,68.26
2023-04-19,-1.88,-6.7,63.15
2023-04-20,-1.26,-6.49,126.87
2023-04-21,-0.7,-6.28,114.91
2023-04-24,0.2,-6.09,139.77
2023-04-25,0.99,-5.96,137.79
2023-04-26,2.19,-5.84,162.68
2023-04-27,2.86,-5.71,191.22
2023-04-28,4.23,-5.57,266.89
2023-05-01,5.48,-5.49,284.92
2023-05-02,6.64,-5.49,249.54
2023-05-03,7.33,-5.49,226.64
2023-05-04,10.29,-5.51,391.65
2023-05-05,12.61,-5.47,473.59
2023-05-08,14.66,-5.43,463.21
2023-05-09,15.93,-5.42,364.73
2023-05-10,17.3,-5.36,386.08
2023-05-11,16.43,-5.37,390.25
2023-05-12,15.57,-5.38,379.63
2023-05-15,14.89,-5.39,400.6
2023-05-16,15.13,-5.43,378.94
2023-05-17,15.39,-5.42,448.9
2023-05-18,16.08,-5.33,610.68
2023-05-19,17.08,-5.26,625.0
2023-05-22,18.02,-5.18,630.48
2023-05-23,18.76,-5.1,505.83
2023-05-24,19.43,-5.04,449.55
2023-05-25,19.83,-5.01,538.3
2023-05-26,20.12,-4.96,714.94
2023-05-30,20.26,-4.9,695.36
2023-05-31,20.27,-4.83,593.43
2023-06-01,20.84,-4.67,839.46
2023-06-02,21.53,-4.42,1602.5
2023-06-05,21.2,-4.25,1203.35
2023-06-06,21.61,-4.07,1523.27
2023-06-07,21.66,-3.9,1134.55
2023-06-08,21.29,-3.71,1625.56
2023-06-09,20.46,-3.5,1796.58
2023-06-12,20.08,-3.25,6714.81
2023-06-13,19.1,-2.98,4565.79
2023-06-14,18.46,-2.67,3582.22
2023-06-15,17.51,-2.36,802.33
2023-06-16,17.18,-2.11,1248.89
2023-06-20,17.15,-1.88,1892.13
2023-06-21,17.51,-1.67,5474.29
2023-06-22,18.54,-1.4,2961.97
2023-06-23,19.0,-1.12,44600.0
2023-06-26,18.42,-0.91,3502.22
2023-06-27,18.11,-0.7,2432.81
2023-06-28,17.51,-0.5,2289.86
2023-06-29,16.22,-0.26,2145.59
2023-06-30,15.59,-0.02,694.05
