Date,rate_INTC,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.07,0.0,0.0
2022-01-05,0.62,0.0,0.0
2022-01-06,0.75,0.0,0.0
2022-01-07,0.22,0.304,0.0
2022-01-10,1.88,0.6799999999999999,0.0
2022-01-11,2.54,1.202,0.0
2022-01-12,2.38,1.5539999999999998,0.0
2022-01-13,1.63,1.7299999999999998,0.0
2022-01-14,2.34,2.154,0.0
2022-01-18,1.46,2.07,0.0
2022-01-19,0.39,1.64,0.0
2022-01-20,-1.1,0.944,0.0
2022-01-21,-1.1,0.39799999999999996,0.0
2022-01-24,-1.19,-0.308,0.0
2022-01-25,-2.53,-1.1059999999999999,0.0
2022-01-26,-1.55,-1.494,0.0
2022-01-27,-6.71,-2.616,0.0
2022-01-28,-7.16,-3.8280000000000003,0.0
2022-01-31,-5.62,-4.714,-0.641
2022-02-01,-5.23,-5.2540000000000004,-0.9025000000000001
2022-02-02,-4.32,-5.808000000000001,-1.115
2022-02-03,-6.32,-5.73,-1.4620000000000002
2022-02-04,-6.75,-5.648000000000001,-1.8370000000000002
2022-02-07,-6.48,-5.82,-2.1719999999999997
2022-02-08,-5.36,-5.846,-2.5340000000000003
2022-02-09,-3.4,-5.662,-2.8310000000000004
2022-02-10,-5.27,-5.452,-3.2135
2022-02-11,-7.46,-5.593999999999999,-3.6680000000000006
2022-02-14,-7.54,-5.806,-4.162
2022-02-15,-5.94,-5.922,-4.532
2022-02-16,-6.34,-6.510000000000001,-4.8685
2022-02-17,-7.56,-6.967999999999999,-5.1915
2022-02-18,-12.27,-7.93,-5.75
2022-02-22,-12.92,-9.006,-6.3365
2022-02-23,-13.0,-10.418,-6.859999999999999
2022-02-24,-9.15,-10.98,-7.239999999999999
2022-02-25,-7.3,-10.928,-7.269500000000001
2022-02-28,-7.32,-9.938,-7.277499999999999
2022-03-01,-8.72,-9.098,-7.4325
2022-03-02,-4.94,-7.486,-7.417999999999999
2022-03-03,-6.68,-6.992,-7.536
2022-03-04,-6.42,-6.816000000000001,-7.541000000000001
2022-03-07,-7.14,-6.780000000000001,-7.5605
2022-03-08,-7.48,-6.531999999999999,-7.610499999999999
2022-03-09,-7.23,-6.99,-7.704000000000001
2022-03-10,-9.07,-7.468000000000001,-7.9875
2022-03-11,-10.64,-8.312000000000001,-8.256
2022-03-14,-13.35,-9.554,-8.550500000000001
2022-03-15,-12.56,-10.570000000000002,-8.8015
2022-03-16,-9.06,-10.936,-8.9575
2022-03-17,-8.08,-10.738,-9.0445
2022-03-18,-7.49,-10.108,-9.041
2022-03-21,-7.6,-8.958,-8.807500000000001
2022-03-22,-5.67,-7.580000000000001,-8.445
2022-03-23,-5.9,-6.948,-8.09
2022-03-24,0.58,-5.216,-7.603500000000001
2022-03-25,0.98,-3.5220000000000007,-7.1895
2022-03-28,0.37,-1.9280000000000002,-6.805
2022-03-29,1.8,-0.43400000000000005,-6.279000000000001
2022-03-30,0.21,0.788,-6.0215
2022-03-31,-3.41,-0.010000000000000054,-5.8580000000000005
2022-04-01,-6.04,-1.4140000000000001,-5.839
2022-04-04,-3.99,-2.286,-5.6815
2022-04-05,-6.04,-3.8540000000000005,-5.6095
2022-04-06,-7.17,-5.33,-5.6065000000000005
2022-04-07,-7.13,-6.074,-5.5095
2022-04-08,-8.17,-6.5,-5.386
2022-04-11,-9.03,-7.508,-5.17
2022-04-12,-9.16,-8.132000000000001,-5.0
2022-04-13,-8.18,-8.334,-4.956
2022-04-14,-10.77,-9.062,-5.0905000000000005
2022-04-18,-8.89,-9.206,-5.1605
2022-04-19,-6.39,-8.678,-5.1
2022-04-20,-6.04,-8.053999999999998,-5.1185
2022-04-21,-7.23,-7.864,-5.185
2022-04-22,-9.09,-7.5280000000000005,-5.6685
2022-04-25,-8.08,-7.366,-6.121499999999999
2022-04-26,-11.07,-8.302000000000001,-6.6935
