Date,rate_DE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,25.13
2019-01-31,3.27,2.79,0.48,25.56
2019-03-01,2.7,5.82,-3.12,22.3
2019-03-29,0.55,6.59,-6.04,19.66
2019-04-29,4.5,10.42,-5.92,19.77
2019-05-28,-13.3,5.19,-18.49,8.4
2019-06-25,4.86,9.51,-4.65,20.92
2019-07-24,5.3,12.59,-7.29,18.53
2019-08-21,-3.18,8.26,-11.44,14.78
2019-09-19,3.34,11.09,-7.75,18.11
2019-10-17,8.0,10.2,-2.2,23.14
2019-11-14,9.16,13.63,-4.47,21.08
2019-12-13,7.89,16.06,-8.17,17.73
2020-01-14,8.39,19.31,-10.92,15.25
2020-02-12,7.25,22.17,-14.92,11.63
2020-03-12,-18.34,-7.39,-10.95,15.22
2020-04-09,-8.48,4.54,-13.02,13.35
2020-05-08,-13.56,9.68,-23.24,4.1
2020-06-08,6.4,20.77,-14.37,12.12
2020-07-07,0.09,16.81,-16.72,10.0
2020-08-04,11.88,22.24,-10.36,15.75
2020-09-01,25.9,26.62,-0.72,24.48
2020-09-30,28.13,22.37,5.76,30.34
2020-10-28,27.98,18.79,9.19,33.44
2020-11-25,44.49,31.0,13.49,37.33
2020-12-24,50.38,32.65,17.73,41.17
2021-01-26,64.18,37.29,26.89,49.46
2021-02-24,85.44,39.48,45.96,66.71
2021-03-24,89.81,38.31,51.5,71.72
2021-04-22,91.69,44.93,46.76,67.44
2021-05-20,83.32,45.12,38.2,59.69
2021-06-18,68.56,44.74,23.82,46.68
2021-07-19,70.37,46.9,23.47,46.36
2021-08-16,89.43,52.69,36.74,58.37
2021-09-14,77.69,50.65,27.04,49.59
2021-10-12,64.62,46.96,17.66,41.11
2021-11-09,75.88,57.28,18.6,41.96
2021-12-08,77.28,57.14,20.14,43.35
2022-01-06,83.6,55.71,27.89,50.36
2022-02-04,79.09,48.73,30.36,52.6
2022-03-07,77.72,38.56,39.16,60.56
2022-04-04,99.46,50.04,49.42,69.84
2022-05-03,92.5,36.37,56.13,75.91
2022-06-01,74.27,33.73,40.54,61.81
2022-06-30,48.29,23.28,25.01,47.76
2022-07-29,69.14,34.14,35.0,56.8
2022-08-26,79.52,32.25,47.27,67.9
2022-09-26,60.62,20.34,40.28,61.57
2022-10-24,84.83,24.25,60.58,79.94
2022-11-21,95.9,29.08,66.82,85.59
2022-12-20,105.73,24.09,81.64,99.0
2023-01-20,92.86,28.72,64.14,83.16
2023-02-17,102.23,31.99,70.24,88.68
2023-03-20,83.13,27.76,55.37,75.23
2023-04-18,83.11,33.44,49.67,70.07
2023-05-16,66.63,31.79,34.84,56.65
2023-06-14,82.39,39.9,42.49,63.57
2023-07-14,88.43,43.27,45.16,65.99
2023-08-11,96.13,42.01,54.12,74.1
2023-09-11,82.73,42.23,40.5,61.77
2023-10-09,74.02,36.77,37.25,58.83
2023-11-06,71.11,37.4,33.71,55.63
2023-12-05,62.69,43.51,19.18,42.48
2024-01-04,75.85,46.32,29.53,51.85
2024-02-02,75.46,54.14,21.32,44.42
2024-03-04,62.98,59.08,3.9,28.66
2024-04-02,79.65,60.46,19.19,42.49
2024-04-30,74.07,55.27,18.8,42.14
2024-05-29,61.61,62.08,-0.47,24.7
2024-06-27,66.14,68.1,-1.96,23.35
2024-07-26,69.81,66.24,3.57,28.36
