Date,rate_MRK_5D,rate_MRK_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,0.9800000000000001,,-0.648,
2022-01-10,1.6940000000000002,,-0.9019999999999999,
2022-01-11,2.3,,-1.024,
2022-01-12,2.6,,-0.9099999999999999,
2022-01-13,2.9240000000000004,,-0.9879999999999999,
2022-01-14,3.064,,-1.028,
2022-01-18,2.9579999999999997,,-1.314,
2022-01-19,2.9080000000000004,,-1.8780000000000001,
2022-01-20,2.85,,-2.646,
2022-01-21,2.6759999999999997,,-3.4859999999999998,
2022-01-24,2.3440000000000003,,-4.272,
2022-01-25,2.1119999999999997,,-4.998,
2022-01-26,1.8519999999999999,,-5.609999999999999,
2022-01-27,1.94,,-6.144,
2022-01-28,2.19,,-6.01,
2022-01-31,2.702,2.2725,-5.634,-2.8954999999999997
2022-02-01,3.164,2.482,-4.926,-3.035
2022-02-02,3.7060000000000004,2.6915,-4.018,-3.1325
2022-02-03,3.322,2.678,-3.436,-3.284
2022-02-04,2.7780000000000005,2.642,-3.164,-3.4120000000000004
2022-02-07,1.9120000000000004,2.5055,-3.2479999999999998,-3.5454999999999997
2022-02-08,0.8160000000000001,2.2625,-3.3200000000000003,-3.6395000000000004
2022-02-09,-0.388,2.0195,-3.2879999999999994,-3.6985000000000006
2022-02-10,-0.938,1.7935000000000003,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.3699999999999999,1.5685,-3.504,-4.0409999999999995
2022-02-14,-1.6320000000000001,1.3315,-3.8340000000000005,-4.247
2022-02-15,-1.4060000000000001,1.1715,-4.0200000000000005,-4.316
2022-02-16,-1.2360000000000002,0.9835,-4.454,-4.3425
2022-02-17,-1.2840000000000003,0.76,-4.952,-4.427
2022-02-18,-1.348,0.5625,-5.204,-4.4704999999999995
2022-02-22,-1.476,0.37649999999999995,-5.593999999999999,-4.5775
2022-02-23,-1.9619999999999997,0.15300000000000002,-6.590000000000001,-4.714
2022-02-24,-2.876,-0.19849999999999998,-7.340000000000001,-4.775
2022-02-25,-2.886,-0.4465,-7.316,-4.720000000000001
2022-02-28,-2.836,-0.694,-7.224000000000001,-4.774
2022-03-01,-2.73,-0.9815000000000002,-7.164,-4.96
2022-03-02,-2.5159999999999996,-1.267,-6.467999999999999,-5.099500000000001
2022-03-03,-1.61,-1.5275,-6.128,-5.3025
2022-03-04,-1.23,-1.5845,-6.314,-5.439500000000001
2022-03-07,-0.9400000000000001,-1.6235000000000004,-6.9719999999999995,-5.726
2022-03-08,-0.796,-1.6585,-7.531999999999999,-6.031000000000001
2022-03-09,-0.522,-1.6015000000000001,-7.954000000000001,-6.258
2022-03-10,-0.34199999999999997,-1.5160000000000002,-8.366,-6.572
2022-03-11,-0.23399999999999999,-1.4085,-8.86,-6.8605
2022-03-14,-0.21999999999999997,-1.336,-8.962,-7.0905000000000005
2022-03-15,0.20400000000000001,-1.1995,-8.55,-7.210000000000001
2022-03-16,0.288,-1.178,-8.196000000000002,-7.302000000000001
2022-03-17,0.554,-1.0685,-7.537999999999999,-7.343000000000001
2022-03-18,0.77,-0.8949999999999999,-6.45,-7.235000000000001
2022-03-21,1.0939999999999999,-0.7255,-5.236,-7.0985
2022-03-22,1.262,-0.515,-4.188,-6.858499999999999
2022-03-23,1.6700000000000004,-0.27,-3.7840000000000003,-6.600500000000001
2022-03-24,2.0439999999999996,0.16149999999999998,-3.3899999999999997,-6.3555
2022-03-25,2.612,0.4795,-3.106,-6.182499999999999
2022-03-28,3.1580000000000004,0.773,-2.69,-5.965000000000001
2022-03-29,3.7359999999999998,1.1015000000000001,-2.25,-5.63
