Date,rate_LUCD,rate_LUCD_5D,rate_LUCD_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-1.81,,,-0.02,,
2022-01-05,-6.58,,,-0.97,,
2022-01-06,-6.49,,,-1.04,,
2022-01-07,-6.87,-4.35,,-1.21,-0.648,
2022-01-10,-8.2,-5.99,,-1.27,-0.9019999999999999,
2022-01-11,-5.77,-6.781999999999999,,-0.63,-1.024,
2022-01-12,-4.55,-6.3759999999999994,,-0.4,-0.9099999999999999,
2022-01-13,-10.03,-7.0840000000000005,,-1.43,-0.9879999999999999,
2022-01-14,-9.88,-7.686,,-1.41,-1.028,
2022-01-18,-13.24,-8.693999999999999,,-2.7,-1.314,
2022-01-19,-16.29,-10.798,,-3.45,-1.8780000000000001,
2022-01-20,-16.13,-13.113999999999999,,-4.24,-2.646,
2022-01-21,-16.13,-14.333999999999998,,-5.63,-3.4859999999999998,
2022-01-24,-17.66,-15.89,,-5.34,-4.272,
2022-01-25,-19.89,-17.220000000000002,,-6.33,-4.998,
2022-01-26,-26.76,-19.314,,-6.51,-5.609999999999999,
2022-01-27,-34.56,-23.0,,-6.91,-6.144,
2022-01-28,-30.85,-25.944000000000006,,-4.96,-6.01,
2022-01-31,-27.69,-27.95,-13.969,-3.46,-5.634,-2.8954999999999997
2022-02-01,-23.05,-28.582,-15.121500000000001,-2.79,-4.926,-3.035
2022-02-02,-23.84,-27.998,-16.223,-1.97,-4.018,-3.1325
2022-02-03,-27.62,-26.610000000000003,-17.275,-4.0,-3.436,-3.284
2022-02-04,-25.63,-25.566,-18.232,-3.6,-3.164,-3.4120000000000004
2022-02-07,-23.05,-24.637999999999998,-19.041,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-21.77,-24.381999999999998,-19.719500000000004,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-17.53,-23.12,-20.307499999999997,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-16.04,-20.804,-20.882,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-15.83,-18.844,-21.172,-5.24,-3.504,-4.0409999999999995
2022-02-14,-17.95,-17.823999999999998,-21.575499999999998,-5.53,-3.8340000000000005,-4.247
2022-02-15,-12.49,-15.967999999999998,-21.538,-4.08,-4.0200000000000005,-4.316
2022-02-16,-11.4,-14.741999999999999,-21.2935,-3.98,-4.454,-4.3425
2022-02-17,-11.4,-13.814000000000002,-21.057000000000002,-5.93,-4.952,-4.427
2022-02-18,-16.42,-13.931999999999999,-21.071500000000004,-6.5,-5.204,-4.4704999999999995
2022-02-22,-19.27,-14.196000000000002,-21.152,-7.48,-5.593999999999999,-4.5775
2022-02-23,-24.51,-16.6,-21.383000000000003,-9.06,-6.590000000000001,-4.714
2022-02-24,-20.14,-18.348,-21.052,-7.73,-7.340000000000001,-4.775
2022-02-25,-19.92,-20.052,-20.32,-5.81,-7.316,-4.720000000000001
2022-02-28,-15.99,-19.966,-19.577,-6.04,-7.224000000000001,-4.774
2022-03-01,-15.29,-19.17,-18.957,-7.18,-7.164,-4.96
2022-03-02,-13.57,-16.982,-18.483,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-16.58,-16.27,-18.12,-6.03,-6.128,-5.3025
2022-03-04,-17.87,-15.86,-17.6325,-6.74,-6.314,-5.439500000000001
2022-03-07,-17.44,-16.15,-17.223000000000003,-9.33,-6.9719999999999995,-5.726
2022-03-08,-17.66,-16.624000000000002,-16.9535,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-17.44,-17.398000000000003,-16.737000000000002,-7.69,-7.954000000000001,-6.258
2022-03-10,-17.44,-17.57,-16.7325,-8.09,-8.366,-6.572
2022-03-11,-25.37,-19.07,-17.199,-9.21,-8.86,-6.8605
