Date,rate_NVDA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,3000.0,3000.0,0.0,11.39
2019-03-01,1013.49,1015.42,-1.93,11.15
2019-04-29,782.45,771.98,10.47,12.66
2019-06-25,496.21,514.8,-18.59,9.13
2019-08-21,387.17,386.23,0.94,11.5
2019-10-17,329.79,312.48,17.31,13.49
2019-12-13,297.55,268.82,28.73,14.88
2020-02-12,287.05,238.95,48.1,17.23
2020-04-09,245.01,188.97,56.04,18.2
2020-06-08,274.25,187.8,86.45,21.89
2020-08-04,301.67,171.94,129.73,27.16
2020-09-30,321.98,163.15,158.83,30.69
2020-11-25,294.62,159.56,135.06,27.8
2021-01-26,274.91,155.09,119.82,25.95
2021-03-24,239.32,146.12,93.2,22.72
2021-05-20,258.26,144.93,113.33,25.16
2021-07-19,305.04,138.99,166.05,31.57
2021-09-14,323.01,134.85,188.16,34.26
2021-11-09,396.01,135.23,260.78,43.09
2022-01-06,346.02,128.11,217.91,37.88
2022-03-07,252.86,105.74,147.12,29.27
2022-05-03,221.3,99.37,121.93,26.21
2022-06-30,168.53,84.31,84.22,21.62
2022-08-26,179.99,89.95,90.04,22.33
2022-10-24,141.48,78.76,62.72,19.01
2022-12-20,174.24,75.87,98.37,23.34
2023-02-17,225.68,81.2,144.48,28.95
2023-04-18,284.17,80.3,203.87,36.17
2023-06-14,434.01,84.47,349.54,53.88
2023-08-11,421.51,84.93,336.58,52.3
2023-10-09,417.51,77.57,339.94,52.71
2023-12-05,410.79,82.38,328.41,51.31
2024-02-02,504.5,90.95,413.55,61.66
2024-04-02,610.81,95.34,515.47,74.05
2024-05-29,734.2,96.12,638.08,88.95
2024-07-26,704.9,98.49,606.41,85.1
