Date,rate_VLO_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,53.71
2019-01-31,4.19,2.79,1.4,54.72
2019-03-01,0.3,5.82,-5.52,49.71
2019-03-29,2.84,6.59,-3.75,51.0
2019-04-29,8.23,10.42,-2.19,52.12
2019-05-28,-9.21,5.19,-14.4,43.29
2019-06-25,-1.03,9.51,-10.54,46.08
2019-07-24,4.41,12.59,-8.18,47.79
2019-08-21,-5.6,8.26,-13.86,43.68
2019-09-19,2.1,11.09,-8.99,47.2
2019-10-17,9.95,10.2,-0.25,53.53
2019-11-14,22.38,13.63,8.75,60.04
2019-12-13,13.58,16.06,-2.48,51.91
2020-01-14,15.17,19.31,-4.14,50.71
2020-02-12,2.79,22.17,-19.38,39.68
2020-03-12,-46.15,-7.39,-38.76,25.65
2020-04-09,-37.63,4.54,-42.17,23.18
2020-05-08,-17.61,9.68,-27.29,33.96
2020-06-08,-5.28,20.77,-26.05,34.85
2020-07-07,-32.69,16.81,-49.5,17.88
2020-08-04,-31.92,22.24,-54.16,14.51
2020-09-01,-31.67,26.62,-58.29,11.52
2020-09-30,-42.17,22.37,-64.54,6.99
2020-10-28,-50.88,18.79,-69.67,3.28
2020-11-25,-22.66,31.0,-53.66,14.87
2020-12-24,-23.3,32.65,-55.95,13.21
2021-01-26,-19.51,37.29,-56.8,12.6
2021-02-24,8.44,39.48,-31.04,31.24
2021-03-24,-0.53,38.31,-38.84,25.6
2021-04-22,-5.1,44.93,-50.03,17.5
2021-05-20,6.51,45.12,-38.61,25.76
2021-06-18,4.98,44.74,-39.76,24.93
2021-07-19,-14.48,46.9,-61.38,9.28
2021-08-16,-9.97,52.69,-62.66,8.35
2021-09-14,-10.02,50.65,-60.67,9.79
2021-10-12,9.17,46.96,-37.79,26.36
2021-11-09,8.12,57.28,-49.16,18.13
2021-12-08,-2.21,57.14,-59.35,10.75
2022-01-06,10.7,55.71,-45.01,21.13
2022-02-04,19.41,48.73,-29.32,32.49
2022-03-07,15.46,38.56,-23.1,36.99
2022-04-04,37.77,50.04,-12.27,44.83
2022-05-03,64.99,36.37,28.62,74.43
2022-06-01,79.0,33.73,45.27,86.48
2022-06-30,43.7,23.28,20.42,68.49
2022-07-29,49.18,34.14,15.04,64.6
2022-08-26,58.1,32.25,25.85,72.42
2022-09-26,30.48,20.34,10.14,61.05
2022-10-24,71.09,24.25,46.84,87.61
2022-11-21,78.98,29.08,49.9,89.83
2022-12-20,59.7,24.09,35.61,79.49
2023-01-20,86.09,28.72,57.37,95.24
2023-02-17,68.12,31.99,36.13,79.86
2023-03-20,66.33,27.76,38.57,81.63
2023-04-18,63.16,33.44,29.72,75.22
2023-05-16,40.26,31.79,8.47,59.84
2023-06-14,42.59,39.9,2.69,55.66
2023-07-14,44.15,43.27,0.88,54.35
2023-08-11,72.66,42.01,30.65,75.9
2023-09-11,77.69,42.23,35.46,79.38
2023-10-09,56.37,36.77,19.6,67.9
2023-11-06,54.34,37.4,16.94,65.97
2023-12-05,53.53,43.51,10.02,60.96
2024-01-04,58.56,46.32,12.24,62.57
2024-02-02,66.98,54.14,12.84,63.0
2024-03-04,74.42,59.08,15.34,64.81
2024-04-02,112.27,60.46,51.81,91.21
2024-04-30,91.53,55.27,36.26,79.96
2024-05-29,85.59,62.08,23.51,70.73
2024-06-27,82.76,68.1,14.66,64.32
2024-07-26,87.9,66.24,21.66,69.39
