Date,rate_457480_5D,rate_VOO_20D,Divergence,Relative_Divergence
2023-05-16,0.0,0.0,0.0,96.75
2023-07-13,0.78,4.45,-3.67,89.7
2023-09-08,-7.6,7.58,-15.18,67.58
2023-11-10,-23.66,7.2,-30.86,37.44
2024-01-10,-15.45,7.24,-22.69,53.14
2024-03-11,-25.62,8.87,-34.49,30.46
2024-05-09,-24.21,13.19,-37.4,24.87
2024-07-08,-2.98,18.03,-21.01,56.37
