Date,rate_BKNG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,57.6
2019-03-01,-1.65,6.13,-7.78,47.06
2019-04-29,6.46,10.74,-4.28,51.8
2019-06-25,4.71,9.75,-5.04,50.77
2019-08-21,8.38,9.45,-1.07,56.15
2019-10-17,11.88,11.38,0.5,58.28
2019-12-13,8.59,17.31,-8.72,45.79
2020-02-12,7.24,23.26,-16.02,35.89
2020-04-09,-19.47,5.35,-24.82,23.97
2020-06-08,2.98,21.76,-18.78,32.15
2020-08-04,-5.62,23.27,-28.89,18.46
2020-09-30,-7.4,22.35,-29.75,17.29
2020-11-25,11.33,30.73,-19.4,31.31
2021-01-26,6.92,37.01,-30.09,16.83
2021-03-24,17.68,38.04,-20.36,30.01
2021-05-20,22.07,45.0,-22.93,26.53
2021-07-19,9.66,46.79,-37.13,7.29
2021-09-14,19.96,49.47,-29.51,17.62
2021-11-09,34.01,55.69,-21.68,28.22
2022-01-06,28.27,54.19,-25.92,22.48
2022-03-07,-2.82,37.12,-39.94,3.48
2022-05-03,11.27,34.96,-23.69,25.5
2022-06-30,-6.8,22.0,-28.8,18.58
2022-08-26,1.93,30.79,-28.86,18.5
2022-10-24,-2.0,22.72,-24.72,24.11
2022-12-20,5.73,22.59,-16.86,34.76
2023-02-17,30.37,30.41,-0.04,57.55
2023-04-18,41.35,31.87,9.48,70.45
2023-06-14,36.22,38.27,-2.05,54.82
2023-08-11,58.07,40.92,17.15,80.84
2023-10-09,49.24,35.51,13.73,76.21
2023-12-05,54.58,42.24,12.34,74.32
2024-02-02,72.21,52.79,19.42,83.92
2024-04-02,70.89,59.09,11.8,73.59
2024-05-29,77.79,60.75,17.04,80.69
2024-07-26,78.19,64.89,13.3,75.62
