Date,rate_NKE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,78.1
2019-01-31,4.12,2.79,1.33,79.17
2019-03-01,8.56,5.82,2.74,80.32
2019-03-29,5.37,6.59,-1.22,77.11
2019-04-29,10.16,10.42,-0.26,77.89
2019-05-28,1.28,5.19,-3.91,74.94
2019-06-25,3.05,9.51,-6.46,72.87
2019-07-24,7.92,12.59,-4.67,74.32
2019-08-21,1.73,8.26,-6.53,72.82
2019-09-19,6.34,11.09,-4.75,74.26
2019-10-17,15.46,10.2,5.26,82.35
2019-11-14,10.14,13.63,-3.49,75.28
2019-12-13,17.59,16.06,1.53,79.34
2020-01-14,23.15,19.31,3.84,81.21
2020-02-12,22.79,22.17,0.62,78.6
2020-03-12,-11.4,-7.39,-4.01,74.85
2020-04-09,3.61,4.54,-0.93,77.35
2020-05-08,7.87,9.68,-1.81,76.63
2020-06-08,23.82,20.77,3.05,80.57
2020-07-07,14.97,16.81,-1.84,76.61
2020-08-04,15.25,22.24,-6.99,72.44
2020-09-01,28.32,26.62,1.7,79.47
2020-09-30,38.57,22.37,16.2,91.21
2020-10-28,33.81,18.79,15.02,90.25
2020-11-25,47.7,31.0,16.7,91.61
2020-12-24,53.32,32.65,20.67,94.82
2021-01-26,45.42,37.29,8.13,84.68
2021-02-24,45.15,39.48,5.67,82.69
2021-03-24,43.14,38.31,4.83,82.01
2021-04-22,38.08,44.93,-6.85,72.56
2021-05-20,41.68,45.12,-3.44,75.32
2021-06-18,35.84,44.74,-8.9,70.9
2021-07-19,65.82,46.9,18.92,93.41
2021-08-16,77.86,52.69,25.17,98.46
2021-09-14,66.64,50.65,15.99,91.04
2021-10-12,60.74,46.96,13.78,89.25
2021-11-09,80.84,57.28,23.56,97.16
2021-12-08,75.98,57.14,18.84,93.34
2022-01-06,65.51,55.71,9.8,86.03
2022-02-04,48.8,48.73,0.07,78.16
2022-03-07,27.05,38.56,-11.51,68.79
2022-04-04,36.62,50.04,-13.42,67.24
2022-05-03,24.63,36.37,-11.74,68.6
2022-06-01,20.18,33.73,-13.55,67.14
2022-06-30,3.51,23.28,-19.77,62.1
2022-07-29,16.26,34.14,-17.88,63.63
2022-08-26,11.37,32.25,-20.88,61.21
2022-09-26,-0.68,20.34,-21.02,61.09
2022-10-24,-8.73,24.25,-32.98,51.42
2022-11-21,7.6,29.08,-21.48,60.72
2022-12-20,6.8,24.09,-17.29,64.11
2023-01-20,30.64,28.72,1.92,79.65
2023-02-17,28.44,31.99,-3.55,75.23
2023-03-20,24.43,27.76,-3.33,75.4
2023-04-18,29.23,33.44,-4.21,74.69
2023-05-16,18.98,31.79,-12.81,67.73
2023-06-14,15.2,39.9,-24.7,58.11
2023-07-14,10.08,43.27,-33.19,51.25
2023-08-11,10.69,42.01,-31.32,52.76
2023-09-11,1.75,42.23,-40.48,45.35
2023-10-09,1.89,36.77,-34.88,49.88
2023-11-06,12.61,37.4,-24.79,58.04
2023-12-05,20.94,43.51,-22.57,59.84
2024-01-04,7.11,46.32,-39.21,46.38
2024-02-02,5.39,54.14,-48.75,38.66
2024-03-04,4.11,59.08,-54.97,33.62
2024-04-02,-4.81,60.46,-65.27,25.29
2024-04-30,-3.45,55.27,-58.72,30.59
2024-05-29,-4.03,62.08,-66.11,24.61
2024-06-27,-1.4,68.1,-69.5,21.87
2024-07-26,-23.78,66.24,-90.02,5.27
