Date,rate_NEM_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,49.74
2019-03-01,1.56,6.13,-4.57,46.93
2019-04-29,-7.81,10.74,-18.55,38.36
2019-06-25,13.93,9.75,4.18,52.3
2019-08-21,13.62,9.45,4.17,52.29
2019-10-17,11.27,11.38,-0.11,49.67
2019-12-13,19.25,17.31,1.94,50.93
2020-02-12,25.55,23.26,2.29,51.14
2020-04-09,62.04,5.35,56.69,84.49
2020-06-08,54.33,21.76,32.57,69.71
2020-08-04,90.24,23.27,66.97,90.8
2020-09-30,73.68,22.35,51.33,81.21
2020-11-25,55.87,30.73,25.14,65.15
2021-01-26,63.41,37.01,26.4,65.92
2021-03-24,58.53,38.04,20.49,62.3
2021-05-20,91.25,45.0,46.25,78.09
2021-07-19,54.99,46.79,8.2,54.76
2021-09-14,47.54,49.47,-1.93,48.55
2021-11-09,45.19,55.69,-10.5,43.3
2022-01-06,48.69,54.19,-5.5,46.36
2022-03-07,94.97,37.12,57.85,85.21
2022-05-03,78.51,34.96,43.55,76.44
2022-06-30,46.66,22.0,24.66,64.86
2022-08-26,7.06,30.79,-23.73,35.19
2022-10-24,5.54,22.72,-17.18,39.2
2022-12-20,19.13,22.59,-3.46,47.61
2023-02-17,13.0,30.41,-17.41,39.06
2023-04-18,21.12,31.87,-10.75,43.15
2023-06-14,4.14,38.27,-34.13,28.81
2023-08-11,0.36,40.92,-40.56,24.87
2023-10-09,-4.93,35.51,-40.44,24.94
2023-12-05,0.8,42.24,-41.44,24.33
2024-02-02,-12.93,52.79,-65.72,9.44
2024-04-02,-6.62,59.09,-65.71,9.45
2024-05-29,5.63,60.75,-55.12,15.94
2024-07-26,18.4,64.89,-46.49,21.23
