Date,rate_IONQ,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-2.95,0.0,0.0
2022-01-05,-5.98,0.0,0.0
2022-01-06,-7.52,0.0,0.0
2022-01-07,-8.87,-5.064,0.0
2022-01-10,-10.75,-7.214,0.0
2022-01-11,-6.16,-7.856,0.0
2022-01-12,-8.97,-8.454,0.0
2022-01-13,-14.17,-9.784,0.0
2022-01-14,-14.41,-10.892,0.0
2022-01-18,-17.83,-12.308,0.0
2022-01-19,-19.75,-15.026,0.0
2022-01-20,-20.08,-17.247999999999998,0.0
2022-01-21,-24.01,-19.216,0.0
2022-01-24,-23.96,-21.125999999999998,0.0
2022-01-25,-26.59,-22.878,0.0
2022-01-26,-25.01,-23.93,0.0
2022-01-27,-32.01,-26.315999999999995,0.0
2022-01-28,-28.63,-27.24,0.0
2022-01-31,-20.75,-26.598000000000003,-15.919999999999998
2022-02-01,-15.41,-24.362000000000002,-16.6905
2022-02-02,-19.8,-23.32,-17.533
2022-02-03,-20.42,-21.002000000000002,-18.255
2022-02-04,-11.08,-17.492,-18.433
2022-02-07,-9.29,-15.2,-18.454
2022-02-08,-10.79,-14.276,-18.456
2022-02-09,-2.25,-10.766000000000002,-18.2605
2022-02-10,0.95,-6.491999999999999,-17.7645
2022-02-11,14.39,-1.3979999999999992,-16.3365
2022-02-14,12.56,2.9720000000000004,-14.988000000000003
2022-02-15,12.83,7.696,-13.454999999999998
2022-02-16,7.77,9.7,-12.078999999999999
2022-02-17,5.5,10.610000000000001,-10.8
2022-02-18,0.17,7.766000000000001,-9.591
2022-02-22,-0.83,5.088,-8.4345
2022-02-23,-6.22,1.278,-7.4159999999999995
2022-02-24,6.3,0.984,-5.850499999999999
2022-02-25,2.97,0.47800000000000004,-4.1015
2022-02-28,8.83,2.21,-2.2285000000000004
2022-03-01,-1.1,2.156,-1.246
2022-03-02,-0.06,3.3880000000000003,-0.47850000000000004
2022-03-03,-9.07,0.31400000000000006,0.05800000000000001
2022-03-04,-14.88,-3.2560000000000002,0.3350000000000001
2022-03-07,-18.15,-8.652,-0.01849999999999987
2022-03-08,-18.95,-12.222,-0.5014999999999998
2022-03-09,-14.06,-15.022,-0.6649999999999999
2022-03-10,-12.38,-15.683999999999997,-1.1715
2022-03-11,-15.2,-15.748,-1.9789999999999999
2022-03-14,-21.37,-16.392000000000003,-3.7670000000000003
2022-03-15,-14.03,-15.407999999999998,-5.096500000000001
2022-03-16,-10.09,-14.614,-6.2425
2022-03-17,-4.92,-13.122,-6.877000000000001
2022-03-18,-1.32,-10.346,-7.218000000000001
2022-03-21,0.58,-5.9559999999999995,-7.1975
2022-03-22,1.74,-2.802,-7.069000000000001
2022-03-23,-2.42,-1.268,-6.879
2022-03-24,-4.13,-1.1099999999999999,-7.400499999999999
2022-03-25,-9.39,-2.724,-8.0185
2022-03-28,-9.66,-4.772,-8.943000000000001
2022-03-29,-14.8,-8.080000000000002,-9.628
2022-03-30,-14.94,-10.584,-10.372000000000002
2022-03-31,-12.27,-12.212,-10.532
2022-04-01,-10.31,-12.395999999999999,-10.3035
2022-04-04,-6.45,-11.754000000000001,-9.7185
2022-04-05,-13.56,-11.506,-9.449000000000002
2022-04-06,-15.12,-11.542,-9.501999999999999
2022-04-07,-14.17,-11.922,-9.5915
2022-04-08,-14.98,-12.856,-9.580499999999999
2022-04-11,-25.34,-16.634,-9.779
2022-04-12,-23.97,-18.716,-10.276
2022-04-13,-21.37,-19.966,-10.84
2022-04-14,-26.23,-22.378,-11.9055
2022-04-18,-26.64,-24.71,-13.1715
2022-04-19,-24.43,-24.528,-14.422
2022-04-20,-32.14,-26.162,-16.116
2022-04-21,-34.2,-28.727999999999998,-17.705
2022-04-22,-36.4,-30.762,-19.3185
2022-04-25,-36.68,-32.77,-20.683
2022-04-26,-43.86,-36.656,-22.393
2022-04-27,-43.17,-38.862,-23.811500000000002
2022-04-28,-42.41,-40.504,-25.185000000000002
2022-04-29,-45.44,-42.312,-26.8435
2022-05-02,-44.21,-43.818,-28.5385
2022-05-03,-49.11,-44.868,-30.671499999999998
2022-05-04,-46.69,-45.572,-32.328
2022-05-05,-55.45,-48.17999999999999,-34.3445
2022-05-06,-57.59,-50.61,-36.515499999999996
2022-05-09,-63.39,-54.446000000000005,-38.93599999999999
2022-05-10,-64.8,-57.58399999999999,-40.909000000000006
2022-05-11,-68.6,-61.965999999999994,-43.140499999999996
2022-05-12,-65.64,-64.00399999999999,-45.354
2022-05-13,-62.54,-64.994,-47.1695
2022-05-16,-64.94,-65.304,-49.084500000000006
2022-05-17,-58.88,-64.12,-50.807
2022-05-18,-60.73,-62.54600000000001,-52.2365
2022-05-19,-58.02,-61.022000000000006,-53.427499999999995
2022-05-20,-59.45,-60.403999999999996,-54.58
