Date,rate_F,rate_F_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,5.83,0.0,0.0
2022-01-05,4.34,0.0,0.0
2022-01-06,6.17,0.0,0.0
2022-01-07,6.12,4.492,0.0
2022-01-10,4.77,5.446,0.0
2022-01-11,6.44,5.568,0.0
2022-01-12,6.84,6.0680000000000005,0.0
2022-01-13,8.68,6.57,0.0
2022-01-14,9.25,7.196,0.0
2022-01-18,6.54,7.55,0.0
2022-01-19,0.09,6.28,0.0
2022-01-20,-2.58,4.396,0.0
2022-01-21,-5.92,1.476,0.0
2022-01-24,-6.79,-1.732,0.0
2022-01-25,-8.41,-4.7219999999999995,0.0
2022-01-26,-8.69,-6.478,0.0
2022-01-27,-10.11,-7.984,0.0
2022-01-28,-10.15,-8.83,0.0
2022-01-31,-7.15,-8.902,-2.8954999999999997
2022-02-01,-5.44,-8.308,-3.035
2022-02-02,-5.56,-7.6819999999999995,-3.1325
2022-02-03,-8.62,-7.384,-3.284
2022-02-04,-16.58,-8.669999999999998,-3.4120000000000004
2022-02-07,-16.87,-10.614,-3.5454999999999997
2022-02-08,-17.62,-13.05,-3.6395000000000004
2022-02-09,-14.86,-14.91,-3.6985000000000006
2022-02-10,-16.04,-16.394,-3.8505000000000003
2022-02-11,-18.36,-16.75,-4.0409999999999995
2022-02-14,-18.76,-17.127999999999997,-4.247
2022-02-15,-15.96,-16.796,-4.316
2022-02-16,-16.27,-17.078,-4.3425
2022-02-17,-18.4,-17.55,-4.427
2022-02-18,-16.14,-17.106,-4.4704999999999995
2022-02-22,-19.53,-17.26,-4.5775
2022-02-23,-21.06,-18.28,-4.714
2022-02-24,-20.16,-19.058,-4.775
2022-02-25,-17.09,-18.796,-4.720000000000001
2022-02-28,-18.31,-19.229999999999997,-4.774
2022-03-01,-21.57,-19.637999999999998,-4.96
2022-03-02,-15.35,-18.496,-5.099500000000001
2022-03-03,-17.57,-17.977999999999998,-5.3025
2022-03-04,-20.91,-18.741999999999997,-5.439500000000001
2022-03-07,-24.82,-20.044,-5.726
2022-03-08,-24.54,-20.637999999999998,-6.031000000000001
2022-03-09,-22.99,-22.166,-6.258
2022-03-10,-23.17,-23.285999999999998,-6.572
2022-03-11,-24.5,-24.003999999999998,-6.8605
2022-03-14,-25.87,-24.214000000000002,-7.0905000000000005
2022-03-15,-24.38,-24.182,-7.210000000000001
2022-03-16,-21.97,-23.978,-7.302000000000001
2022-03-17,-21.97,-23.738,-7.343000000000001
2022-03-18,-20.67,-22.972,-7.235000000000001
2022-03-21,-22.43,-22.284,-7.0985
2022-03-22,-19.58,-21.324,-6.858499999999999
2022-03-23,-21.5,-21.23,-6.600500000000001
2022-03-24,-20.8,-20.996000000000002,-6.3555
2022-03-25,-22.48,-21.357999999999997,-6.182499999999999
2022-03-28,-21.55,-21.182,-5.965000000000001
2022-03-29,-16.48,-20.562,-5.63
2022-03-30,-18.73,-20.008000000000003,-5.4055
2022-03-31,-20.42,-19.932,-5.2325
2022-04-01,-21.0,-19.636000000000003,-5.0075
2022-04-04,-20.96,-19.518,-4.6135
2022-04-05,-24.86,-21.194000000000003,-4.2455
2022-04-06,-26.86,-22.82,-4.0395
2022-04-07,-28.86,-24.508000000000003,-3.79
2022-04-08,-28.44,-25.996000000000002,-3.496
2022-04-11,-27.37,-27.278,-3.2510000000000003
2022-04-12,-26.99,-27.703999999999997,-3.119
2022-04-13,-26.29,-27.589999999999996,-3.0345
2022-04-14,-26.43,-27.103999999999996,-3.063
2022-04-18,-25.54,-26.524,-3.1420000000000003
2022-04-19,-23.27,-25.703999999999997,-3.1475
2022-04-20,-23.74,-25.054,-3.211
2022-04-21,-25.4,-24.875999999999998,-3.283
2022-04-22,-28.09,-25.208,-3.5345
2022-04-25,-27.8,-25.660000000000004,-3.7855000000000003
2022-04-26,-30.08,-27.022,-4.1985
2022-04-27,-29.41,-28.156,-4.661
2022-04-28,-30.5,-29.176,-4.9825
2022-04-29,-32.68,-30.094,-5.3955
2022-05-02,-31.24,-30.782,-5.7829999999999995
2022-05-03,-29.88,-30.742,-6.1915
2022-05-04,-27.9,-30.439999999999998,-6.410000000000001
2022-05-05,-30.02,-30.344,-6.7379999999999995
