Date,rate_ADSK_5D,rate_ADSK_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-2.322,,-0.648,
2022-01-10,-3.074,,-0.9019999999999999,
2022-01-11,-3.19,,-1.024,
2022-01-12,-2.87,,-0.9099999999999999,
2022-01-13,-3.05,,-0.9879999999999999,
2022-01-14,-3.224,,-1.028,
2022-01-18,-3.78,,-1.314,
2022-01-19,-4.651999999999999,,-1.8780000000000001,
2022-01-20,-5.576,,-2.646,
2022-01-21,-6.702000000000001,,-3.4859999999999998,
2022-01-24,-7.44,,-4.272,
2022-01-25,-8.536,,-4.998,
2022-01-26,-9.79,,-5.609999999999999,
2022-01-27,-11.232,,-6.144,
2022-01-28,-11.272,,-6.01,
2022-01-31,-10.989999999999998,-5.994,-5.634,-2.8954999999999997
2022-02-01,-9.928,-6.3295,-4.926,-3.035
2022-02-02,-8.952000000000002,-6.646000000000001,-4.018,-3.1325
2022-02-03,-8.364,-7.0105,-3.436,-3.284
2022-02-04,-8.238,-7.3155,-3.164,-3.4120000000000004
2022-02-07,-8.814,-7.616999999999999,-3.2479999999999998,-3.5454999999999997
2022-02-08,-9.388,-7.9079999999999995,-3.3200000000000003,-3.6395000000000004
2022-02-09,-9.120000000000001,-8.1285,-3.2879999999999994,-3.6985000000000006
2022-02-10,-9.076,-8.562000000000001,-3.1759999999999997,-3.8505000000000003
2022-02-11,-10.069999999999999,-9.0705,-3.504,-4.0409999999999995
2022-02-14,-11.03,-9.5685,-3.8340000000000005,-4.247
2022-02-15,-11.565999999999999,-9.8545,-4.0200000000000005,-4.316
2022-02-16,-12.8,-10.1655,-4.454,-4.3425
2022-02-17,-13.876,-10.637,-4.952,-4.427
2022-02-18,-14.62,-11.05,-5.204,-4.4704999999999995
2022-02-22,-15.434000000000001,-11.567,-5.593999999999999,-4.5775
2022-02-23,-17.194,-12.019000000000002,-6.590000000000001,-4.714
2022-02-24,-18.318,-12.297500000000001,-7.340000000000001,-4.775
2022-02-25,-18.589999999999996,-12.4765,-7.316,-4.720000000000001
2022-02-28,-18.344,-12.818000000000001,-7.224000000000001,-4.774
2022-03-01,-18.35,-13.407,-7.164,-4.96
2022-03-02,-17.701999999999998,-13.9625,-6.467999999999999,-5.099500000000001
2022-03-03,-18.176,-14.6035,-6.128,-5.3025
2022-03-04,-18.92,-15.1155,-6.314,-5.439500000000001
2022-03-07,-20.316,-15.8375,-6.9719999999999995,-5.726
2022-03-08,-21.604,-16.6045,-7.531999999999999,-6.031000000000001
2022-03-09,-22.413999999999998,-17.219,-7.954000000000001,-6.258
2022-03-10,-23.136000000000003,-18.107499999999998,-8.366,-6.572
2022-03-11,-24.242,-18.907,-8.86,-6.8605
2022-03-14,-25.004,-19.571,-8.962,-7.0905000000000005
2022-03-15,-25.256,-20.160999999999998,-8.55,-7.210000000000001
2022-03-16,-25.258,-20.642,-8.196000000000002,-7.302000000000001
2022-03-17,-24.354,-20.996000000000002,-7.537999999999999,-7.343000000000001
2022-03-18,-22.776,-21.131999999999998,-6.45,-7.235000000000001
2022-03-21,-21.003999999999998,-21.166999999999998,-5.236,-7.0985
2022-03-22,-19.19,-21.1,-4.188,-6.858499999999999
2022-03-23,-18.977999999999998,-21.088,-3.7840000000000003,-6.600500000000001
2022-03-24,-18.872,-21.1345,-3.3899999999999997,-6.3555
2022-03-25,-18.96,-21.2245,-3.106,-6.182499999999999
2022-03-28,-18.732,-21.264000000000003,-2.69,-5.965000000000001
2022-03-29,-18.258000000000003,-21.077,-2.25,-5.63
2022-03-30,-17.235999999999997,-20.9715,-1.688,-5.4055
