Date,rate_ECL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,70.82
2019-03-01,9.34,6.13,3.21,75.33
2019-04-29,17.96,10.74,7.22,80.97
2019-06-25,21.42,9.75,11.67,87.22
2019-08-21,29.03,9.45,19.58,98.34
2019-10-17,20.86,11.38,9.48,84.15
2019-12-13,14.77,17.31,-2.54,67.25
2020-02-12,26.84,23.26,3.58,75.85
2020-04-09,10.39,5.35,5.04,77.91
2020-06-08,39.88,21.76,18.12,96.29
2020-08-04,13.86,23.27,-9.41,57.6
2020-09-30,17.56,22.35,-4.79,64.09
2020-11-25,27.79,30.73,-2.94,66.69
2021-01-26,22.76,37.01,-14.25,50.79
2021-03-24,21.45,38.04,-16.59,47.51
2021-05-20,23.88,45.0,-21.12,41.14
2021-07-19,20.83,46.79,-25.96,34.34
2021-09-14,26.16,49.47,-23.31,38.06
2021-11-09,29.59,55.69,-26.1,34.14
2022-01-06,28.48,54.19,-25.71,34.69
2022-03-07,-11.49,37.12,-48.61,2.5
2022-05-03,-7.02,34.96,-41.98,11.82
2022-06-30,-13.95,22.0,-35.95,20.3
2022-08-26,-6.96,30.79,-37.75,17.77
2022-10-24,-14.05,22.72,-36.77,19.14
2022-12-20,-16.86,22.59,-39.45,15.38
2023-02-17,-5.2,30.41,-35.61,20.77
2023-04-18,-3.98,31.87,-35.85,20.44
2023-06-14,4.69,38.27,-33.58,23.63
2023-08-11,7.14,40.92,-33.78,23.35
2023-10-09,-2.14,35.51,-37.65,17.91
2023-12-05,10.73,42.24,-31.51,26.54
2024-02-02,15.81,52.79,-36.98,18.85
2024-04-02,31.41,59.09,-27.68,31.92
2024-05-29,30.13,60.75,-30.62,27.79
2024-07-26,40.37,64.89,-24.52,36.36
