Date,rate_AMZN,rate_AMZN_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.83,0.0,0.0
2022-01-05,-1.75,0.0,0.0
2022-01-06,-2.07,0.0,0.0
2022-01-07,-2.27,-1.384,0.0
2022-01-10,-2.58,-1.9,0.0
2022-01-11,-0.86,-1.906,0.0
2022-01-12,-0.93,-1.7420000000000002,0.0
2022-01-13,-2.7,-1.8679999999999999,0.0
2022-01-14,-2.29,-1.8719999999999999,0.0
2022-01-18,-3.72,-2.1,0.0
2022-01-19,-4.89,-2.906,0.0
2022-01-20,-6.95,-4.11,0.0
2022-01-21,-10.96,-5.7620000000000005,0.0
2022-01-24,-10.11,-7.325999999999999,0.0
2022-01-25,-12.54,-9.09,0.0
2022-01-26,-13.13,-10.738,0.0
2022-01-27,-12.72,-11.892,0.0
2022-01-28,-10.41,-11.782,0.0
2022-01-31,-7.43,-11.245999999999999,-2.8954999999999997
2022-02-01,-6.3,-9.998,-3.035
2022-02-02,-6.62,-8.696000000000002,-3.1325
2022-02-03,-13.17,-8.786,-3.284
2022-02-04,-2.71,-7.2459999999999996,-3.4120000000000004
2022-02-07,-2.55,-6.2700000000000005,-3.5454999999999997
2022-02-08,-0.51,-5.112,-3.6395000000000004
2022-02-09,-0.64,-3.9159999999999995,-3.6985000000000006
2022-02-10,-1.92,-1.666,-3.8505000000000003
2022-02-11,-5.26,-2.1759999999999997,-4.0409999999999995
2022-02-14,-4.17,-2.5,-4.247
2022-02-15,-3.36,-3.07,-4.316
2022-02-16,-2.4,-3.4219999999999997,-4.3425
2022-02-17,-4.48,-3.934,-4.427
2022-02-18,-5.71,-4.024,-4.4704999999999995
2022-02-22,-7.15,-4.62,-4.5775
2022-02-23,-10.38,-6.024000000000001,-4.714
2022-02-24,-6.46,-6.836000000000001,-4.775
2022-02-25,-5.0,-6.94,-4.720000000000001
2022-02-28,-5.13,-6.824000000000001,-4.774
2022-03-01,-6.41,-6.676,-4.96
