Date,rate_BKNG,rate_BKNG_5D,rate_BKNG_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.06,,,-0.02,,
2022-01-05,-0.81,,,-0.97,,
2022-01-06,-0.53,,,-1.04,,
2022-01-07,-0.45,-0.346,,-1.21,-0.648,
2022-01-10,-0.59,-0.4640000000000001,,-1.27,-0.9019999999999999,
2022-01-11,0.5,-0.376,,-0.63,-1.024,
2022-01-12,-0.34,-0.28200000000000003,,-0.4,-0.9099999999999999,
2022-01-13,0.23,-0.13,,-1.43,-0.9879999999999999,
2022-01-14,0.03,-0.03400000000000001,,-1.41,-1.028,
2022-01-18,-1.65,-0.246,,-2.7,-1.314,
2022-01-19,-1.83,-0.712,,-3.45,-1.8780000000000001,
2022-01-20,-0.41,-0.7260000000000001,,-4.24,-2.646,
2022-01-21,-2.61,-1.294,,-5.63,-3.4859999999999998,
2022-01-24,-2.52,-1.8039999999999998,,-5.34,-4.272,
2022-01-25,-3.12,-2.098,,-6.33,-4.998,
2022-01-26,-1.9,-2.112,,-6.51,-5.609999999999999,
2022-01-27,-2.22,-2.474,,-6.91,-6.144,
2022-01-28,-0.66,-2.084,,-4.96,-6.01,
2022-01-31,0.61,-1.458,-0.9105000000000001,-3.46,-5.634,-2.8954999999999997
2022-02-01,0.9,-0.654,-0.8654999999999999,-2.79,-4.926,-3.035
2022-02-02,0.1,-0.25400000000000006,-0.8634999999999999,-1.97,-4.018,-3.1325
2022-02-03,-0.02,0.186,-0.8240000000000001,-4.0,-3.436,-3.284
2022-02-04,0.16,0.35,-0.7895000000000001,-3.6,-3.164,-3.4120000000000004
2022-02-07,1.46,0.52,-0.694,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,3.36,1.012,-0.4965,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,6.14,2.2199999999999998,-0.2145,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,6.19,3.4619999999999997,0.11200000000000002,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,2.99,4.0280000000000005,0.25,-5.24,-3.504,-4.0409999999999995
2022-02-14,3.5,4.436,0.42350000000000004,-5.53,-3.8340000000000005,-4.247
2022-02-15,6.77,5.117999999999999,0.8445,-4.08,-4.0200000000000005,-4.316
2022-02-16,9.26,5.741999999999999,1.3989999999999998,-3.98,-4.454,-4.3425
2022-02-17,6.36,5.776,1.7375,-5.93,-4.952,-4.427
2022-02-18,6.08,6.394,2.1719999999999997,-6.5,-5.204,-4.4704999999999995
2022-02-22,2.49,6.191999999999999,2.4225000000000003,-7.48,-5.593999999999999,-4.5775
2022-02-23,0.73,4.984,2.6149999999999998,-9.06,-6.590000000000001,-4.714
2022-02-24,-5.67,1.998,2.4265,-7.73,-7.340000000000001,-4.775
2022-02-25,-6.16,-0.506,2.2295000000000003,-5.81,-7.316,-4.720000000000001
2022-02-28,-10.15,-3.752,1.7550000000000001,-6.04,-7.224000000000001,-4.774
2022-03-01,-13.4,-6.9300000000000015,1.0545,-7.18,-7.164,-4.96
2022-03-02,-10.16,-9.108,0.5015000000000001,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-12.34,-10.442000000000002,-0.12050000000000001,-6.03,-6.128,-5.3025
2022-03-04,-16.48,-12.506,-0.9435,-6.74,-6.314,-5.439500000000001
2022-03-07,-22.44,-14.964000000000002,-2.0735,-9.33,-6.9719999999999995,-5.726
2022-03-08,-19.52,-16.188,-3.1225,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-14.7,-17.096,-4.0255,-7.69,-7.954000000000001,-6.258
2022-03-10,-14.88,-17.604,-5.0765,-8.09,-8.366,-6.572
2022-03-11,-15.34,-17.375999999999998,-6.1530000000000005,-9.21,-8.86,-6.8605
2022-03-14,-15.96,-16.08,-7.100499999999999,-9.84,-8.962,-7.0905000000000005
2022-03-15,-13.11,-14.797999999999998,-7.931,-7.92,-8.55,-7.210000000000001
2022-03-16,-8.78,-13.613999999999999,-8.7085,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-10.24,-12.686,-9.683499999999999,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-9.35,-11.488,-10.469,-3.77,-6.45,-7.235000000000001
