Date,rate_AMT_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-3000.0
2022-01-05,0.0,0.0,-286.6
2022-01-06,0.0,0.0,-254.81
2022-01-07,-2.29,0.0,-180.99
2022-01-10,-3.05,0.0,-197.64
2022-01-11,-3.89,0.0,-663.49
2022-01-12,-4.16,0.0,-1175.0
2022-01-13,-4.65,0.0,-330.07
2022-01-14,-5.45,0.0,-426.24
2022-01-18,-6.2,0.0,-178.52
2022-01-19,-6.81,0.0,-127.54
2022-01-20,-7.52,0.0,-104.25
2022-01-21,-8.08,0.0,-59.33
2022-01-24,-8.2,0.0,-50.0
2022-01-25,-8.17,0.0,-15.96
2022-01-26,-8.56,0.0,-51.0
2022-01-27,-9.18,0.0,-70.33
2022-01-28,-9.09,0.0,-71.77
2022-01-31,-8.9,-2.9,-103.18
2022-02-01,-8.88,-3.04,-160.22
2022-02-02,-8.22,-3.13,-231.98
2022-02-03,-7.29,-3.28,-77.0
2022-02-04,-7.28,-3.41,-135.56
2022-02-07,-7.58,-3.55,-120.1
2022-02-08,-7.9,-3.64,-181.59
2022-02-09,-8.05,-3.7,-301.66
2022-02-10,-8.6,-3.85,-186.34
2022-02-11,-9.27,-4.04,-125.38
2022-02-14,-10.1,-4.25,-130.02
2022-02-15,-10.94,-4.32,-219.61
2022-02-16,-12.17,-4.34,-237.19
2022-02-17,-13.14,-4.43,-148.4
2022-02-18,-13.74,-4.47,-127.85
2022-02-22,-14.17,-4.58,-98.4
2022-02-23,-14.59,-4.71,-67.33
2022-02-24,-14.63,-4.78,-76.33
2022-02-25,-14.28,-4.72,-122.72
2022-02-28,-14.39,-4.77,-154.47
2022-03-01,-14.28,-4.96,-99.44
2022-03-02,-13.94,-5.1,-141.22
2022-03-03,-13.61,-5.3,-98.51
2022-03-04,-13.21,-5.44,-61.87
2022-03-07,-12.75,-5.73,-40.41
2022-03-08,-12.8,-6.03,-45.99
2022-03-09,-12.65,-6.26,-65.15
2022-03-10,-12.82,-6.57,-58.47
2022-03-11,-13.05,-6.86,-31.16
2022-03-14,-12.84,-7.09,-22.46
2022-03-15,-12.25,-7.21,-46.21
2022-03-16,-11.77,-7.3,-74.32
2022-03-17,-10.87,-7.34,-72.92
2022-03-18,-10.3,-7.24,-145.62
2022-03-21,-9.81,-7.1,-154.38
2022-03-22,-9.56,-6.86,-284.7
2022-03-23,-9.97,-6.6,-217.69
2022-03-24,-10.68,-6.36,-318.37
2022-03-25,-10.81,-6.18,-322.98
2022-03-28,-10.57,-5.97,-394.08
2022-03-29,-9.77,-5.63,-1216.67
2022-03-30,-8.53,-5.41,-469.72
2022-03-31,-7.38,-5.23,-136.58
2022-04-01,-6.16,-5.01,-72.32
2022-04-04,-5.2,-4.61,-144.83
2022-04-05,-4.28,-4.25,35.11
2022-04-06,-2.96,-4.04,110.36
2022-04-07,-1.88,-3.79,78.06
2022-04-08,-1.2,-3.5,87.09
2022-04-11,-0.8,-3.25,68.42
2022-04-12,-1.15,-3.12,34.28
2022-04-13,-1.92,-3.03,17.97
2022-04-14,-2.58,-3.06,25.88
2022-04-18,-3.39,-3.14,16.07
2022-04-19,-3.65,-3.15,27.32
2022-04-20,-2.91,-3.21,104.81
2022-04-21,-2.24,-3.28,98.31
2022-04-22,-1.79,-3.53,77.74
2022-04-25,-1.41,-3.79,65.13
2022-04-26,-1.69,-4.2,57.29
2022-04-27,-2.72,-4.66,49.13
2022-04-28,-3.74,-4.98,30.98
2022-04-29,-5.23,-5.4,15.24
2022-05-02,-6.78,-5.78,-3.4
2022-05-03,-7.7,-6.19,7.9
2022-05-04,-8.15,-6.41,-2.72
2022-05-05,-8.85,-6.74,14.22
2022-05-06,-8.56,-7.12,27.37
2022-05-09,-8.99,-7.62,7.3
2022-05-10,-10.17,-8.04,-11.95
2022-05-11,-11.7,-8.5,-1.58
2022-05-12,-12.87,-9.02,0.82
2022-05-13,-13.69,-9.39,6.39
2022-05-16,-13.76,-9.77,1.62
2022-05-17,-13.14,-10.14,-3.99
2022-05-18,-12.71,-10.68,14.21
2022-05-19,-12.13,-11.17,23.77
2022-05-20,-11.26,-11.54,50.62
2022-05-23,-9.83,-11.86,58.99
2022-05-24,-7.92,-12.08,84.53
2022-05-25,-5.71,-12.27,88.59
2022-05-26,-4.11,-12.49,69.46
2022-05-27,-2.86,-12.44,86.69
2022-05-31,-2.36,-12.45,69.79
2022-06-01,-2.78,-12.5,59.68
2022-06-02,-2.61,-12.61,92.38
2022-06-03,-1.69,-12.62,109.05
2022-06-06,-1.19,-12.6,111.5
2022-06-07,-0.43,-12.4,107.77
2022-06-08,0.45,-12.26,100.96
2022-06-09,0.29,-12.15,88.0
2022-06-10,-0.88,-12.17,66.98
2022-06-13,-2.92,-12.44,50.17
2022-06-14,-5.29,-12.7,39.41
2022-06-15,-7.01,-13.0,50.41
2022-06-16,-8.96,-13.26,43.42
2022-06-17,-10.07,-13.47,46.64
2022-06-21,-9.56,-13.6,63.41
2022-06-22,-8.25,-13.81,74.55
2022-06-23,-6.98,-13.94,87.09
2022-06-24,-4.93,-13.99,93.46
2022-06-27,-3.2,-14.14,87.74
2022-06-28,-2.75,-14.48,74.68
2022-06-29,-2.66,-14.81,75.65
2022-06-30,-2.86,-15.16,81.66
2022-07-01,-3.1,-15.52,87.04
2022-07-05,-3.33,-15.8,81.41
2022-07-06,-2.92,-16.08,86.44
2022-07-07,-2.61,-16.34,82.59
2022-07-08,-2.63,-16.56,77.14
2022-07-11,-2.66,-16.72,85.68
2022-07-12,-2.7,-16.79,80.61
2022-07-13,-2.87,-16.72,81.99
2022-07-14,-2.92,-16.66,83.52
2022-07-15,-2.76,-16.57,83.57
2022-07-18,-3.41,-16.39,65.86
2022-07-19,-3.28,-16.1,81.69
2022-07-20,-3.75,-15.89,60.22
2022-07-21,-3.83,-15.62,74.42
2022-07-22,-3.65,-15.43,87.69
2022-07-25,-3.04,-15.37,81.19
2022-07-26,-2.91,-15.34,86.88
2022-07-27,-2.27,-15.11,82.35
2022-07-28,-1.26,-14.82,116.74
2022-07-29,-0.42,-14.42,126.34
2022-08-01,0.42,-14.1,117.39
2022-08-02,1.02,-13.8,111.23
2022-08-03,1.8,-13.46,119.19
2022-08-04,1.91,-13.19,126.47
2022-08-05,1.94,-12.92,128.79
2022-08-08,2.18,-12.6,131.06
2022-08-09,2.7,-12.26,138.67
2022-08-10,3.17,-11.84,149.58
2022-08-11,3.32,-11.41,137.82
2022-08-12,3.6,-11.0,156.61
2022-08-15,4.04,-10.54,172.78
2022-08-16,4.16,-10.19,162.88
2022-08-17,4.15,-9.88,155.89
2022-08-18,4.24,-9.61,150.49
2022-08-19,4.08,-9.34,141.71
2022-08-22,3.5,-9.14,123.48
2022-08-23,2.84,-8.9,111.09
2022-08-24,2.19,-8.76,109.24
2022-08-25,1.83,-8.62,121.49
2022-08-26,1.18,-8.66,100.29
2022-08-29,0.67,-8.71,96.85
2022-08-30,0.08,-8.77,83.1
2022-08-31,-0.44,-8.91,85.09
2022-09-01,-0.97,-9.02,92.63
2022-09-02,-1.48,-9.16,79.05
2022-09-06,-1.75,-9.3,86.11
2022-09-07,-1.36,-9.36,99.91
2022-09-08,-0.86,-9.46,107.13
2022-09-09,-0.55,-9.5,107.89
2022-09-12,0.34,-9.55,123.57
2022-09-13,0.3,-9.8,84.35
2022-09-14,-0.28,-10.04,75.13
2022-09-15,-1.5,-10.31,57.4
2022-09-16,-2.66,-10.62,61.75
2022-09-19,-3.95,-10.85,64.51
2022-09-20,-5.19,-11.07,40.56
2022-09-21,-6.51,-11.36,37.0
2022-09-22,-7.43,-11.69,36.57
2022-09-23,-8.72,-12.13,32.91
2022-09-26,-10.68,-12.5,20.26
2022-09-27,-11.98,-12.87,19.57
2022-09-28,-12.96,-13.15,14.83
2022-09-29,-14.4,-13.48,7.68
2022-09-30,-15.46,-13.91,15.22
2022-10-03,-15.7,-14.17,10.57
2022-10-04,-15.66,-14.31,3.36
2022-10-05,-16.11,-14.52,-10.71
2022-10-06,-16.83,-14.79,-31.01
2022-10-07,-18.28,-15.24,-32.18
2022-10-10,-20.37,-15.77,-38.2
2022-10-11,-22.7,-16.14,-35.03
2022-10-12,-25.0,-16.53,-44.06
2022-10-13,-26.0,-16.77,-47.83
2022-10-14,-26.68,-17.07,-41.92
2022-10-17,-26.45,-17.3,-43.61
2022-10-18,-25.84,-17.44,-40.82
2022-10-19,-25.3,-17.53,-50.27
2022-10-20,-25.44,-17.62,-51.17
2022-10-21,-25.31,-17.54,-71.02
2022-10-24,-25.85,-17.38,-88.38
2022-10-25,-25.98,-17.14,-78.3
2022-10-26,-25.53,-16.99,-66.33
2022-10-27,-24.7,-16.77,-56.38
2022-10-28,-23.38,-16.4,-62.26
2022-10-31,-21.7,-16.18,-47.61
2022-11-01,-20.66,-16.09,-41.85
2022-11-02,-19.92,-16.09,-28.72
2022-11-03,-19.61,-16.1,-30.87
2022-11-04,-19.58,-15.93,-34.66
2022-11-07,-19.87,-15.69,-47.11
2022-11-08,-20.24,-15.4,-49.3
2022-11-09,-20.55,-15.19,-37.57
2022-11-10,-19.05,-14.86,-24.14
2022-11-11,-17.57,-14.39,-25.45
2022-11-14,-16.55,-14.06,-45.41
2022-11-15,-15.28,-13.74,-39.66
2022-11-16,-13.89,-13.43,-32.46
2022-11-17,-14.24,-13.09,-39.34
2022-11-18,-14.8,-12.84,-46.04
2022-11-21,-14.45,-12.64,-27.69
2022-11-22,-14.57,-12.46,-50.21
2022-11-23,-14.64,-12.22,-58.75
2022-11-25,-14.35,-11.96,-50.77
2022-11-28,-14.51,-11.86,-53.52
2022-11-29,-14.72,-11.75,-39.12
2022-11-30,-14.47,-11.5,-66.5
2022-12-01,-14.17,-11.13,-66.62
2022-12-02,-14.16,-10.73,-73.13
2022-12-05,-13.96,-10.46,-59.51
2022-12-06,-14.25,-10.29,-51.87
2022-12-07,-14.96,-10.16,-54.45
2022-12-08,-15.65,-9.91,-60.53
2022-12-09,-16.07,-9.91,-45.48
2022-12-12,-16.05,-9.89,-55.98
2022-12-13,-15.21,-9.8,-34.71
2022-12-14,-14.53,-9.78,-41.47
2022-12-15,-14.07,-9.83,-20.55
2022-12-16,-14.1,-9.92,-25.33
2022-12-19,-14.59,-10.07,-29.61
2022-12-20,-15.73,-10.22,-29.59
2022-12-21,-16.45,-10.36,-36.76
2022-12-22,-17.04,-10.59,-24.74
2022-12-23,-17.12,-10.79,-23.73
2022-12-27,-17.02,-10.94,-25.15
2022-12-28,-16.91,-11.14,-18.34
2022-12-29,-16.51,-11.39,-14.98
2022-12-30,-16.41,-11.67,-24.34
2023-01-03,-16.17,-11.94,-13.36
2023-01-04,-15.47,-12.1,-5.58
2023-01-05,-15.24,-12.25,-17.95
2023-01-06,-14.96,-12.29,-15.84
2023-01-09,-14.3,-12.37,-12.63
2023-01-10,-13.73,-12.39,-9.57
2023-01-11,-13.01,-12.41,2.48
2023-01-12,-11.44,-12.45,15.59
2023-01-13,-10.32,-12.45,14.98
2023-01-17,-9.4,-12.34,9.01
2023-01-18,-9.14,-12.26,0.0
2023-01-19,-9.52,-12.16,-0.86
2023-01-20,-10.36,-11.98,-24.48
2023-01-23,-11.71,-11.8,-64.54
2023-01-24,-12.95,-11.57,-64.93
2023-01-25,-13.46,-11.36,-50.28
2023-01-26,-13.65,-11.09,-56.45
2023-01-27,-13.69,-10.75,-62.82
2023-01-30,-13.51,-10.54,-54.2
2023-01-31,-12.86,-10.26,-52.61
2023-02-01,-12.15,-9.92,-53.07
2023-02-02,-11.61,-9.55,-88.38
2023-02-03,-11.45,-9.18,-92.11
2023-02-06,-11.2,-8.93,-85.74
2023-02-07,-11.45,-8.62,-125.26
2023-02-08,-12.11,-8.39,-102.12
2023-02-09,-13.05,-8.25,-101.24
2023-02-10,-13.47,-8.12,-98.3
2023-02-13,-13.73,-7.96,-123.14
2023-02-14,-14.06,-7.79,-135.27
2023-02-15,-14.21,-7.54,-135.57
2023-02-16,-14.46,-7.31,-127.08
2023-02-17,-14.96,-7.16,-130.54
2023-02-21,-15.95,-7.15,-117.79
2023-02-22,-17.2,-7.13,-139.7
2023-02-23,-18.34,-7.1,-137.17
2023-02-24,-19.62,-7.15,-144.18
2023-02-27,-20.81,-7.2,-153.9
2023-02-28,-21.33,-7.21,-132.86
