Date,rate_WMT,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.91,0.0,0.0
2022-01-05,-0.25,0.0,0.0
2022-01-06,-0.39,0.0,0.0
2022-01-07,0.08,-0.294,0.0
2022-01-10,-0.01,-0.296,0.0
2022-01-11,-0.23,-0.16,0.0
2022-01-12,-0.62,-0.23399999999999999,0.0
2022-01-13,0.43,-0.07,0.0
2022-01-14,0.22,-0.04200000000000001,0.0
2022-01-18,-1.09,-0.258,0.0
2022-01-19,-0.36,-0.284,0.0
2022-01-20,-1.77,-0.514,0.0
2022-01-21,-2.3,-1.06,0.0
2022-01-24,-2.29,-1.5619999999999998,0.0
2022-01-25,-4.15,-2.1740000000000004,0.0
2022-01-26,-4.99,-3.1,0.0
2022-01-27,-4.94,-3.7340000000000004,0.0
2022-01-28,-3.92,-4.058,0.0
2022-01-31,-2.53,-4.106,-1.501
2022-02-01,-1.76,-3.628,-1.589
2022-02-02,-1.8,-2.9899999999999998,-1.6335000000000002
2022-02-03,-1.71,-2.344,-1.7065000000000001
2022-02-04,-2.76,-2.1119999999999997,-1.825
2022-02-07,-3.62,-2.3299999999999996,-2.01
2022-02-08,-3.6,-2.698,-2.1895
2022-02-09,-3.8,-3.098,-2.3680000000000003
2022-02-10,-4.87,-3.7299999999999995,-2.5805
2022-02-11,-5.36,-4.25,-2.87
2022-02-14,-6.28,-4.782,-3.195
2022-02-15,-5.99,-5.26,-3.44
2022-02-16,-6.57,-5.814,-3.7505
2022-02-17,-2.92,-5.424,-3.8080000000000007
2022-02-18,-3.53,-5.058000000000001,-3.8695
2022-02-22,-4.58,-4.718,-3.9840000000000004
2022-02-23,-5.53,-4.626,-4.053
2022-02-24,-5.89,-4.49,-4.098000000000001
2022-02-25,-4.63,-4.832,-4.0825000000000005
2022-02-28,-5.46,-5.217999999999999,-4.1594999999999995
2022-03-01,-4.74,-5.25,-4.2700000000000005
2022-03-02,-4.62,-5.068,-4.412999999999999
2022-03-03,-2.53,-4.396,-4.4495
2022-03-04,-0.17,-3.504,-4.3725000000000005
2022-03-07,-0.94,-2.6,-4.281499999999999
2022-03-08,-2.94,-2.2399999999999998,-4.2475000000000005
2022-03-09,-2.45,-1.8059999999999998,-4.1899999999999995
2022-03-10,-0.28,-1.356,-4.014
2022-03-11,-0.67,-1.456,-3.804
2022-03-14,0.69,-1.1300000000000001,-3.5015
2022-03-15,1.88,-0.1660000000000001,-3.0934999999999997
2022-03-16,1.58,0.6399999999999999,-2.715
2022-03-17,1.35,0.966,-2.319
2022-03-18,1.65,1.43,-2.0904999999999996
2022-03-21,0.81,1.454,-1.8735
2022-03-22,0.51,1.1800000000000002,-1.6190000000000002
2022-03-23,-0.77,0.71,-1.3809999999999998
2022-03-24,-0.16,0.40800000000000003,-1.0944999999999998
2022-03-25,0.27,0.132,-0.8494999999999999
2022-03-28,2.04,0.378,-0.47450000000000003
2022-03-29,2.64,0.804,-0.1055
2022-03-30,3.92,1.7420000000000002,0.3215
2022-03-31,3.46,2.466,0.621
2022-04-01,4.34,3.28,0.8465
2022-04-04,4.36,3.7439999999999998,1.1115
2022-04-05,4.56,4.128,1.4865
2022-04-06,6.22,4.588,1.92
2022-04-07,6.95,5.286,2.2815000000000003
2022-04-08,7.36,5.89,2.683
2022-04-11,5.89,6.196,2.943
2022-04-12,5.35,6.354000000000001,3.1165000000000003
2022-04-13,7.38,6.586,3.4065
2022-04-14,7.31,6.6579999999999995,3.7045000000000003
2022-04-18,6.7,6.526000000000001,3.957
2022-04-19,7.75,6.898000000000001,4.304
2022-04-20,8.93,7.613999999999999,4.725
2022-04-21,9.07,7.952,5.2170000000000005
2022-04-22,7.28,7.946000000000001,5.589
2022-04-25,7.33,8.072,5.942
2022-04-26,6.43,7.808,6.161499999999999
2022-04-27,5.85,7.192,6.322
2022-04-28,6.93,6.764,6.472499999999999
2022-04-29,5.16,6.34,6.5575
2022-05-02,4.47,5.768,6.564
2022-05-03,4.8,5.442,6.586
2022-05-04,6.09,5.49,6.6625
2022-05-05,4.94,5.0920000000000005,6.5985
2022-05-06,3.0,4.659999999999999,6.401000000000001
2022-05-09,4.06,4.578,6.235999999999999
2022-05-10,2.68,4.154,6.0755
2022-05-11,1.67,3.2699999999999996,5.8915
2022-05-12,1.58,2.598,5.6015
2022-05-13,1.95,2.388,5.3335
2022-05-16,2.05,1.986,5.101
2022-05-17,-9.22,-0.39400000000000013,4.2524999999999995
2022-05-18,-15.18,-3.7640000000000002,3.0469999999999997
2022-05-19,-17.43,-7.566,1.722
2022-05-20,-17.34,-11.424000000000001,0.4909999999999998
2022-05-23,-15.07,-14.847999999999999,-0.6290000000000001
2022-05-24,-14.03,-15.809999999999999,-1.652
2022-05-25,-14.55,-15.684000000000001,-2.672
2022-05-26,-12.76,-14.75,-3.6565
2022-05-27,-11.07,-13.495999999999999,-4.468
2022-05-31,-10.97,-12.676,-5.24
2022-06-01,-12.77,-12.424000000000001,-6.118499999999999
2022-06-02,-11.37,-11.788,-6.9915
2022-06-03,-12.87,-11.809999999999999,-7.882000000000001
2022-06-06,-13.19,-12.234,-8.691500000000001
2022-06-07,-14.22,-12.884,-9.605500000000001
2022-06-08,-14.96,-13.322,-10.4875
2022-06-09,-15.85,-14.218,-11.3635
2022-06-10,-15.38,-14.720000000000002,-12.2115
2022-06-13,-16.96,-15.474,-13.157
2022-06-14,-16.93,-16.016,-14.106
2022-06-15,-16.99,-16.422,-14.494499999999999
2022-06-16,-16.13,-16.477999999999998,-14.541999999999998
2022-06-17,-17.74,-16.95,-14.5575
2022-06-21,-15.05,-16.567999999999998,-14.443000000000001
2022-06-22,-16.08,-16.398,-14.493500000000001
2022-06-23,-14.05,-15.809999999999999,-14.494499999999999
2022-06-24,-13.98,-15.38,-14.466000000000003
2022-06-27,-13.7,-14.572,-14.513
2022-06-28,-14.91,-14.544,-14.704999999999998
2022-06-29,-15.22,-14.372,-14.9175
2022-06-30,-15.46,-14.654000000000002,-15.051999999999998
2022-07-01,-14.33,-14.724,-15.199999999999998
2022-07-05,-13.24,-14.632,-15.2185
2022-07-06,-12.64,-14.178,-15.191000000000003
2022-07-07,-12.51,-13.636000000000001,-15.105500000000001
2022-07-08,-12.45,-13.034,-14.98
2022-07-11,-12.41,-12.65,-14.807999999999998
2022-07-12,-12.68,-12.538,-14.672999999999998
2022-07-13,-12.47,-12.504000000000001,-14.448500000000001
2022-07-14,-10.77,-12.156,-14.1405
2022-07-15,-9.9,-11.646,-13.786000000000001
2022-07-18,-10.11,-11.186000000000002,-13.485
2022-07-19,-9.55,-10.559999999999999,-13.0755
2022-07-20,-8.8,-9.825999999999999,-12.763
2022-07-21,-7.47,-9.166,-12.3325
2022-07-22,-7.71,-8.728,-12.0155
2022-07-25,-7.84,-8.274000000000001,-11.7085
2022-07-26,-14.84,-9.331999999999999,-11.7655
2022-07-27,-11.62,-9.896,-11.600999999999999
2022-07-28,-9.42,-10.285999999999998,-11.311
2022-07-29,-7.82,-10.308000000000002,-10.929
2022-08-01,-7.28,-10.196,-10.5765
2022-08-02,-7.21,-8.67,-10.275
2022-08-03,-8.34,-8.014,-10.059999999999999
2022-08-04,-10.89,-8.308,-9.979000000000001
2022-08-05,-10.37,-8.818000000000001,-9.875
2022-08-08,-9.84,-9.33,-9.746500000000001
