Date,rate_WFC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,98.09
2019-01-31,1.02,2.79,-1.77,95.78
2019-03-01,3.21,5.82,-2.61,94.68
2019-03-29,-0.24,6.59,-6.83,89.17
2019-04-29,-0.34,10.42,-10.76,84.03
2019-05-28,-5.78,5.19,-10.97,83.76
2019-06-25,-4.46,9.51,-13.97,79.84
2019-07-24,0.35,12.59,-12.24,82.1
2019-08-21,-6.0,8.26,-14.26,79.46
2019-09-19,1.09,11.09,-10.0,85.03
2019-10-17,2.49,10.2,-7.71,88.02
2019-11-14,10.19,13.63,-3.44,93.6
2019-12-13,10.54,16.06,-5.52,90.88
2020-01-14,1.18,19.31,-18.13,74.4
2020-02-12,-1.83,22.17,-24.0,66.73
2020-03-12,-43.49,-7.39,-36.1,50.92
2020-04-09,-30.19,4.54,-34.73,52.71
2020-05-08,-45.48,9.68,-55.16,26.02
2020-06-08,-27.79,20.77,-48.56,34.64
2020-07-07,-45.96,16.81,-62.77,16.07
2020-08-04,-45.55,22.24,-67.79,9.51
2020-09-01,-44.88,26.62,-71.5,4.66
2020-09-30,-46.23,22.37,-68.6,8.45
2020-10-28,-50.83,18.79,-69.62,7.12
2020-11-25,-32.62,31.0,-63.62,14.96
2020-12-24,-29.09,32.65,-61.74,17.42
2021-01-26,-24.95,37.29,-62.24,16.76
2021-02-24,-9.38,39.48,-48.86,34.25
2021-03-24,-9.61,38.31,-47.92,35.48
2021-04-22,1.31,44.93,-43.62,41.09
2021-05-20,8.32,45.12,-36.8,50.01
2021-06-18,-1.26,44.74,-46.0,37.99
2021-07-19,1.76,46.9,-45.14,39.11
2021-08-16,14.35,52.69,-38.34,47.99
2021-09-14,9.8,50.65,-40.85,44.71
2021-10-12,10.94,46.96,-36.02,51.03
2021-11-09,18.24,57.28,-39.04,47.08
2021-12-08,16.86,57.14,-40.28,45.46
2022-01-06,26.49,55.71,-29.22,59.91
2022-02-04,32.36,48.73,-16.37,76.7
2022-03-07,8.79,38.56,-29.77,59.19
2022-04-04,14.56,50.04,-35.48,51.73
2022-05-03,4.37,36.37,-32.0,56.28
2022-06-01,6.64,33.73,-27.09,62.69
2022-06-30,-7.48,23.28,-30.76,57.9
2022-07-29,3.7,34.14,-30.44,58.32
2022-08-26,3.63,32.25,-28.62,60.7
2022-09-26,-5.26,20.34,-25.6,64.64
2022-10-24,6.95,24.25,-17.3,75.49
2022-11-21,10.68,29.08,-18.4,74.05
2022-12-20,-3.17,24.09,-27.26,62.47
2023-01-20,3.78,28.72,-24.94,65.5
2023-02-17,12.04,31.99,-19.95,72.02
2023-03-20,-11.52,27.76,-39.28,46.77
2023-04-18,-1.05,33.44,-34.49,53.02
2023-05-16,-9.19,31.79,-40.98,44.54
2023-06-14,-0.43,39.9,-40.33,45.39
2023-07-14,3.22,43.27,-40.05,45.76
2023-08-11,4.03,42.01,-37.98,48.46
2023-09-11,0.22,42.23,-42.01,43.2
2023-10-09,-3.72,36.77,-40.49,45.18
2023-11-06,0.25,37.4,-37.15,49.55
2023-12-05,7.77,43.51,-35.74,51.39
2024-01-04,19.11,46.32,-27.21,62.54
2024-02-02,19.04,54.14,-35.1,52.23
2024-03-04,34.32,59.08,-24.76,65.74
2024-04-02,37.57,60.46,-22.89,68.18
2024-04-30,42.12,55.27,-13.15,80.91
2024-05-29,40.21,62.08,-21.87,69.52
2024-06-27,36.64,68.1,-31.46,56.98
2024-07-26,43.26,66.24,-22.98,68.06
