Date,rate_STZ_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,71.99
2019-03-01,3.68,6.13,-2.45,68.02
2019-04-29,27.63,10.74,16.89,99.35
2019-06-25,9.72,9.75,-0.03,71.94
2019-08-21,18.16,9.45,8.71,86.1
2019-10-17,13.09,11.38,1.71,74.76
2019-12-13,4.07,17.31,-13.24,50.54
2020-02-12,13.07,23.26,-10.19,55.48
2020-04-09,-4.57,5.35,-9.92,55.92
2020-06-08,6.83,21.76,-14.93,47.8
2020-08-04,-0.53,23.27,-23.8,33.44
2020-09-30,6.79,22.35,-15.56,46.78
2020-11-25,15.23,30.73,-15.5,46.88
2021-01-26,22.96,37.01,-14.05,49.23
2021-03-24,28.38,38.04,-9.66,56.34
2021-05-20,30.88,45.0,-14.12,49.12
2021-07-19,22.19,46.79,-24.6,32.14
2021-09-14,19.62,49.47,-29.85,23.64
2021-11-09,22.34,55.69,-33.35,17.97
2022-01-06,33.09,54.19,-21.1,37.81
2022-03-07,15.28,37.12,-21.84,36.61
2022-05-03,31.69,34.96,-3.27,66.69
2022-06-30,25.25,22.0,3.25,77.26
2022-08-26,33.22,30.79,2.43,75.93
2022-10-24,21.76,22.72,-0.96,70.44
2022-12-20,21.22,22.59,-1.37,69.77
2023-02-17,18.96,30.41,-11.45,53.44
2023-04-18,18.84,31.87,-13.03,50.88
2023-06-14,28.5,38.27,-9.77,56.16
2023-08-11,38.76,40.92,-2.16,68.49
2023-10-09,22.61,35.51,-12.9,51.09
2023-12-05,22.89,42.24,-19.35,40.64
2024-02-02,29.46,52.79,-23.33,34.2
2024-04-02,37.38,59.09,-21.71,36.82
2024-05-29,25.08,60.75,-35.67,14.21
2024-07-26,29.31,64.89,-35.58,14.35
