Date,rate_DIS_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,77.83
2019-03-01,2.07,6.13,-4.06,74.37
2019-04-29,22.66,10.74,11.92,87.98
2019-06-25,21.85,9.75,12.1,88.14
2019-08-21,19.9,9.45,10.45,86.73
2019-10-17,15.66,11.38,4.28,81.47
2019-12-13,26.69,17.31,9.38,85.82
2020-02-12,21.69,23.26,-1.57,76.49
2020-04-09,-9.84,5.35,-15.19,64.88
2020-06-08,9.89,21.76,-11.87,67.71
2020-08-04,1.14,23.27,-22.13,58.97
2020-09-30,2.75,22.35,-19.6,61.12
2020-11-25,23.32,30.73,-7.41,71.51
2021-01-26,38.87,37.01,1.86,79.41
2021-03-24,47.43,38.04,9.39,85.83
2021-05-20,35.28,45.0,-9.72,69.54
2021-07-19,35.26,46.79,-11.53,68.0
2021-09-14,39.32,49.47,-10.15,69.18
2021-11-09,32.81,55.69,-22.88,58.33
2022-01-06,18.64,54.19,-35.55,47.53
2022-03-07,0.78,37.12,-36.34,46.86
2022-05-03,-14.07,34.96,-49.03,36.04
2022-06-30,-28.31,22.0,-50.31,34.95
2022-08-26,-14.6,30.79,-45.39,39.14
2022-10-24,-22.76,22.72,-45.48,39.07
2022-12-20,-33.36,22.59,-55.95,30.14
2023-02-17,-18.83,30.41,-49.24,35.86
2023-04-18,-21.56,31.87,-53.43,32.29
2023-06-14,-27.53,38.27,-65.8,21.75
2023-08-11,-29.68,40.92,-70.6,17.66
2023-10-09,-30.25,35.51,-65.76,21.78
2023-12-05,-24.58,42.24,-66.82,20.88
2024-02-02,-18.84,52.79,-71.63,16.78
2024-04-02,2.61,59.09,-56.48,29.69
2024-05-29,-15.6,60.75,-76.35,12.76
2024-07-26,-24.45,64.89,-89.34,1.69
