Date,rate_DG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,63.73
2019-01-31,1.23,2.79,-1.56,62.52
2019-03-01,3.79,5.82,-2.03,62.15
2019-03-29,3.73,6.59,-2.86,61.5
2019-04-29,8.58,10.42,-1.84,62.3
2019-05-28,3.99,5.19,-1.2,62.8
2019-06-25,17.29,9.51,7.78,69.81
2019-07-24,19.48,12.59,6.89,69.11
2019-08-21,17.26,8.26,9.0,70.76
2019-09-19,26.99,11.09,15.9,76.15
2019-10-17,31.11,10.2,20.91,80.06
2019-11-14,27.72,13.63,14.09,74.73
2019-12-13,23.28,16.06,7.22,69.37
2020-01-14,25.39,19.31,6.08,68.48
2020-02-12,25.38,22.17,3.21,66.24
2020-03-12,11.77,-7.39,19.16,78.69
2020-04-09,32.42,4.54,27.88,85.5
2020-05-08,37.04,9.68,27.36,85.1
2020-06-08,43.0,20.77,22.23,81.09
2020-07-07,43.43,16.81,26.62,84.52
2020-08-04,47.77,22.24,25.53,83.67
2020-09-01,49.21,26.62,22.59,81.37
2020-09-30,55.75,22.37,33.38,89.8
2020-10-28,55.35,18.79,36.56,92.28
2020-11-25,58.67,31.0,27.67,85.34
2020-12-24,53.5,32.65,20.85,80.01
2021-01-26,48.83,37.29,11.54,72.74
2021-02-24,38.4,39.48,-1.08,62.89
2021-03-24,40.92,38.31,2.61,65.77
2021-04-22,52.9,44.93,7.97,69.96
2021-05-20,44.23,45.12,-0.89,63.04
2021-06-18,49.51,44.74,4.77,67.46
2021-07-19,56.69,46.9,9.79,71.38
2021-08-16,63.79,52.69,11.1,72.4
2021-09-14,52.55,50.65,1.9,65.22
2021-10-12,46.15,46.96,-0.81,63.1
2021-11-09,53.59,57.28,-3.69,60.85
2021-12-08,53.59,57.14,-3.55,60.96
2022-01-06,62.57,55.71,6.86,69.09
2022-02-04,39.04,48.73,-9.69,56.17
2022-03-07,39.41,38.56,0.85,64.4
2022-04-04,53.94,50.04,3.9,66.78
2022-05-03,60.29,36.37,23.92,82.41
2022-06-01,47.47,33.73,13.74,74.46
2022-06-30,65.32,23.28,42.04,96.56
2022-07-29,66.39,34.14,32.25,88.91
2022-08-26,61.01,32.25,28.76,86.19
2022-09-26,60.23,20.34,39.89,94.88
2022-10-24,63.72,24.25,39.47,94.55
2022-11-21,71.29,29.08,42.21,96.69
2022-12-20,59.39,24.09,35.3,91.29
2023-01-20,51.84,28.72,23.12,81.78
2023-02-17,49.37,31.99,17.38,77.3
2023-03-20,37.44,27.76,9.68,71.29
2023-04-18,40.82,33.44,7.38,69.5
2023-05-16,39.45,31.79,7.66,69.71
2023-06-14,5.23,39.9,-34.67,36.66
2023-07-14,5.8,43.27,-37.47,34.48
2023-08-11,7.14,42.01,-34.87,36.51
2023-09-11,-9.55,42.23,-51.78,23.31
2023-10-09,-26.55,36.77,-63.32,14.3
2023-11-06,-13.82,37.4,-51.22,23.74
2023-12-05,-3.86,43.51,-47.37,26.75
2024-01-04,-2.82,46.32,-49.14,25.37
2024-02-02,-1.8,54.14,-55.94,20.06
2024-03-04,6.96,59.08,-52.12,23.04
2024-04-02,11.69,60.46,-48.77,25.66
2024-04-30,0.94,55.27,-54.33,21.31
2024-05-29,1.03,62.08,-61.05,16.07
2024-06-27,-5.45,68.1,-73.55,6.31
2024-07-26,-14.22,66.24,-80.46,0.91
